rank	username	minecraft:crafted/minecraft:green_terracotta
1	EMC_	5184
2	Werbe	2576
3	TheShyPig	2184
4	Rumpletaezer	2040
5	Steelynan	1552
6	joethahobo	1544
7	EveryonesUncle	1472
8	YungMaki	1288
9	Inbefour	1040
10	ProfessorBee	1024
10	AltnumberF4	1024
12	Sral7	1016
13	thewindmillman	960
14	Frozil12	904
15	Wooptey	840
16	TheSecondLord	768
17	lordpipe	728
18	titanlax	704
19	Kowcio_	608
20	Mahoose	588
21	pintsizedrogue	572
22	Merv__	560
23	H72l9w	544
24	Spacewardharpy7	448
25	kekhon	400
26	Snowflowe	352
27	Jackattack53	320
27	ApophisNova	320
27	MyNamaSheff	320
30	SuperPooch06	312
31	ImpavidArcher	300
32	RefluxRatio	296
33	rarrq	256
33	epiksk8erduck	256
33	Barlycorn	256
36	oxfordschool	252
37	Kim_Jong_eel	240
38	Jiminie	239
39	PlasticOtari	232
40	Smoke____	221
41	PortlyPete69	216
42	ROY4LE	192
43	EcksD	180
44	Legendosh	176
45	MyNameIsJobo	136
46	PegLegPete93	128
46	Deathkob	128
48	Kakolbus	120
48	Soplight	120
50	Ssor69	112
50	Arceus1975	112
52	noam464	96
53	yatsuta	88
54	500am	72
54	XxCookiequeenxX	72
54	_Bguette_	72
57	cowgirlkasia	64
57	bloodbiter	64
57	Awyrlas	64
57	UncleDanDan	64
57	CarltheCuck	64
57	CalebDHawk	64
63	Freak_Genius	49
64	SellyZ	48
65	fluddd	40
66	Quotary	34
67	HellsSponge	28
68	T045RTY	24
68	pixelviolin	24
70	2Stout	16
70	Di_infiri	16
70	Hiryu27	16
73	gcaisawesome	12
73	Eraxa	12
75	Bandito_Roamer	8
75	beeperbeeper5	8
75	ratglock	8
75	NameGenerat0r	8
