rank	username	minecraft:crafted/minecraft:bookshelf
1	pintsizedrogue	47197
2	Hyp3rion_	13591
3	HellsSponge	12841
4	Lez_	9601
5	TechnoNinja64	8642
6	joethahobo	6740
7	Smashic	4937
8	beeperbeeper5	3706
9	noam464	3651
10	YungMaki	3067
11	Historical_Sand	2938
12	500am	2810
13	pixelviolin	2575
14	Kowcio_	2358
15	EveryonesUncle	2246
16	gcaisawesome	1856
17	Lord_Jord	1817
18	Mahoose	1816
19	Merv__	1595
20	skitzxo	1340
21	PigDab	1222
22	Ezekson	1183
23	TheShyPig	1124
24	Huwulling	1122
25	Di_infiri	1028
26	hermmm_	991
27	Steelynan	964
28	pretty_pink_reno	956
29	ConnorDanky_	890
30	Legendosh	881
31	EMC_	871
32	Tyrannosplart	800
33	thescout7	787
34	kekhon	759
35	TheSecondLord	719
36	Racengan	697
37	royal_2	657
38	xxPipperDipperxx	644
39	eitanzaki	642
40	Werbe	581
41	SteveCraftBlocks	580
42	Kakolbus	570
43	Marbz_	569
44	PazinGaming	563
45	luseis	558
46	Yamdalorian	553
47	mihimihimihi	523
48	Inchef	492
49	Tersea_	483
50	tuckerdoodle	450
51	diamondgolem35	444
52	Jackattack53	432
53	Comma__	428
54	Arceus1975	408
55	fffMike	402
56	El_Jalapeno	396
57	hanaryheatwave	393
58	Rumpletaezer	389
59	m_be9	386
60	k_ce	373
61	Soplight	370
62	Apollo_993	344
63	aec9	320
64	Frozil20	299
65	Pumpkin_P_Patch	298
66	Snowflowe	273
67	Ryker	271
68	Enderxz3	268
69	EdGalbraith	262
70	rarrq	248
71	sp00ky_ghost977	247
72	Akoot_	246
72	Blaiku	246
72	Spacewardharpy7	246
75	MightyWertu	244
76	oscminus	240
77	Onennon	228
78	12Magner05	222
79	Xclax101	210
80	EfficientC52	208
81	Fullut	206
81	mariominejedi	206
83	Karetoko	200
84	Spenduh	199
85	himak1	194
86	mwrty	193
86	robonya_	193
88	bl1ss0	192
89	MilleGrug	188
90	TheWickedBird	187
91	fragrantmonke444	186
92	FreakGenius	184
93	Bumpy419	183
94	Buuck_	177
95	KarlKaek	173
95	The_slideV3	173
97	thewindmillman	170
98	Ryan_GEMS	168
99	MattieHD	164
100	_Karmaa	163
100	THEKINGLyric10	163
102	OreTheBear	157
103	Skylord_Luke	155
103	DairyNickel756	155
105	NotMeanttoChange	147
106	Mattesco	146
107	Inbefour	145
108	ROY4LE	143
109	Frxnkz	141
110	SaucyDark	138
111	DanTheBuilderino	137
112	SkateboardR6	133
113	PlasticOtari	132
114	H0UNDFRMH3LL	129
114	shadowthemonkey	129
116	CharlieButt	127
117	Touched_Bread	125
117	U_Mos_	125
119	PlzNoBM	122
120	RebelAndroid	121
121	Moss_2006	120
121	SpacesickPrism	120
121	Zoeyfortnite	120
124	RatatJuice	119
125	Mr_Byzantine	118
125	fw3xy74	118
127	JayToe	117
128	Alteriity	116
129	burbankbuilder28	114
130	XxCookiequeenxX	112
131	Secret_Canary	111
131	33sudo	111
133	titanlax	108
133	Manaateee	108
135	fkGrim	107
135	StarCookiees_	107
137	intropass	104
138	Cocoamallows	103
138	Sral7	103
140	Winklepicker279	100
141	VentiHilton	98
142	soundad	97
142	SmashingPump	97
142	MinttyFressh	97
145	Blackberry1310	93
146	_Huge_Male_	92
146	Hoid_the_Roamer	92
148	GooseWithin	90
148	Deathkob	90
150	ShedJr_	89
150	Malorn_Aetherius	89
152	fluddd	88
153	dudcreeper	87
153	Cowison	87
153	Saucepeh	87
153	Luminad3	87
157	corvidpartyfor6	86
157	Wolverine4302	86
159	XboxPanda	84
160	ZeroKraken	82
161	ZaneABrain	81
161	TheBananaKat	81
163	myaccountwasgone	80
164	_Dean_123	78
164	ApophisNova	78
164	MyNamaSheff	78
167	Krowuss	77
168	OfficerAnvil	76
168	Jimb0nat0r	76
170	EngagedGrub41	75
171	claivin	74
171	miramyu	74
171	Nicserso	74
174	AlphaWolfPlaysMC	73
175	rotten_mango	72
175	Sheldor097	72
175	little_dUki	72
175	00000000-0000-0000-0009-01ff0c3e5e4f	72
179	KingFaenor	70
179	jacxhadow	70
181	Bandito_Roamer	68
181	TheDankPlatypus	68
183	Hisiste	66
183	Factoroni	66
183	The_SlideV5	66
186	bloodbiter	64
186	zorin123	64
188	Hpdinosaur	63
189	Burge_r	62
190	Gregward_Smith	61
190	Raspberry_Sodas	61
190	vandmanden	61
193	Rasmanden	60
194	starbits140	59
194	annebolyn	59
196	Cache3	58
197	wobn	57
197	tsitrawhy	57
199	wwwwinnebagoooo	56
200	skroobiez	55
200	PegLegPete93	55
200	Fuhrer_Teemo	55
200	Quotary	55
204	6king6colt6	54
204	Kubelz	54
204	Meatlaugh	54
204	JESS_THE_RERE	54
204	FelixPSY375	54
204	WYFYoyo	54
210	Eraxa	53
211	Tiberonus	52
211	censorsheep	52
211	Skippeh	52
211	CattSoup	52
211	diggydog67	52
216	TooManyDuck	51
216	ZeroAbyssTTV	51
216	PaperCanvas	51
216	Njensen7	51
216	FishisTTV	51
221	ImpavidArcher	50
221	Windo_licker	50
221	Chromary	50
224	Matemkas	49
224	SyntheticSurgeon	49
224	Kamflame	49
224	NameGenerat0r	49
224	djancak	49
229	Niklas20114552	48
229	2Stout	48
231	Felenov	47
232	lorywithay	46
232	excelsionprime	46
232	kars0n	46
232	underscore_2	46
232	2blox_	46
237	RoskobiOne	45
237	Awyrlas	45
237	HoltGrim	45
237	IamCL4SSY	45
237	TheEnderMan548	45
237	__tomato	45
243	set67	44
243	BRRRN179	44
245	Dakar_	43
