rank	username	minecraft:crafted/minecraft:chainmail_boots
1	Hyp3rion_	179
2	robertsnose	36
2	OreTheBear	36
4	akap47	35
5	joethahobo	34
6	luseis	30
7	Werbe	25
8	pintsizedrogue	23
9	Apollo_993	16
10	TheShyPig	15
11	Merv__	14
11	PlasticOtari	14
13	ActualPatbaf	12
13	beeperbeeper5	12
13	royal_2	12
13	Smashic	12
13	ROY4LE	12
13	gamerlord1324	12
13	noam464	12
13	PigDab	12
13	Enderxz3	12
13	Paguz01	12
23	nonarso	10
24	T045RTY	9
25	CoffeeNoir	7
25	philandr	7
25	stavgod	7
28	Luigipunch989	5
29	JESS_THE_RERE	4
30	CLG_Kata	3
30	Ryan_GEMS	3
30	Fullut	3
33	eitanzaki	2
33	Mahoose	2
33	Historical_Sand	2
33	himak1	2
33	xxPipperDipperxx	2
33	LunarRedPanda	2
33	ooga47	2
33	MangoSalad316	2
33	censorsheep	2
42	Mr_Byzantine	1
42	Sleek_Storm_721	1
42	Jahara	1
42	abdomera	1
42	Huwulling	1
42	Literally_Rat	1
42	rarrq	1
42	Blackberry1310	1
42	BobDeBouwer1337	1
42	John6970	1
42	mads388a	1
42	Arceus1975	1
42	MonitorLizards	1
42	Jiminbub	1
42	Travka100	1
42	Soplight	1
42	robonya_	1
42	KingMatthew506	1
42	JayToe	1
