rank	username	minecraft:crafted/minecraft:cobbled_deepslate_wall
1	EMC_	2034
2	Nicserso	798
3	MC_Gamer_Geek	384
4	Mr_Byzantine	369
5	milltesco	318
6	PazinGaming	270
7	corvidpartyfor6	210
8	Kubelz	192
9	Smashic	182
9	prizm_	182
11	FormulaNewt3627	156
12	Mattesco	147
13	11Brewer	126
14	bl1ss0	120
14	mobunni	120
16	tuckerdoodle	114
17	CattSoup	102
18	mihimihimihi	66
19	Ev0luti0nz	60
19	akap47	60
19	Sleepy_Evelyn	60
19	Jackattack53	60
23	CoffeeNoir	48
23	Tersea_	48
25	skroobiez	42
25	Buuck_	42
27	Invintic	36
27	AltnumberF4	36
29	pintsizedrogue	35
29	PlasticOtari	35
31	Rani_R	30
31	JETrotter	30
31	dartwaffle	30
31	Wowful	30
31	LeEricc	30
31	ZoomieZoomie	30
31	Yamdalorian	30
38	HUNTERmaun	24
39	Huwulling	18
40	Niklas20114552	12
40	lorywithay	12
40	Sleepy_Time_	12
40	MAns_44	12
40	Jimb0nat0r	12
40	LuvLuvLove	12
46	philandr	10
46	Manaateee	10
48	k_ce	6
48	hydrothebot	6
48	500am	6
48	Mookle96	6
48	gamerlord1324	6
48	Mr_Sun15	6
48	Samificator	6
48	Lutres_	6
48	Moss_2006	6
48	00000000-0000-0000-0009-01ff0c3e5e4f	6
58	U_Mos_	5
59	EveryonesUncle	4
60	Blackberry1310	3
61	beeperbeeper5	2
61	pixelviolin	2
61	Soplight	2
64	StarCookiees_	1
64	kyouma777	1
64	Kowcio_	1
64	doublemaki	1
64	SpacesickPrism	1
