rank	username	minecraft:crafted/minecraft:brown_dye
1	thewindmillman	101245
2	hanaryheatwave	20939
3	noam464	13850
4	ConnorDanky_	3660
5	Lez_	3601
6	beeperbeeper5	2523
7	YungMaki	2065
8	joethahobo	1765
9	PlasticOtari	1747
10	Sral7	1729
11	Jackattack53	1460
12	CoffeeNoir	1250
13	EveryonesUncle	1152
14	Rumpletaezer	1091
15	bigstankyy	979
16	Huwulling	883
17	TheShyPig	841
18	ApophisNova	792
18	MyNamaSheff	792
20	luseis	574
21	emreknugrlu	518
22	lordpipe	423
23	Snowflowe	316
24	500am	306
25	Frozil20	284
26	QuiCreans	260
27	KarlKaek	240
28	kekhon	234
29	Blackberry1310	233
30	Manaateee	224
31	Akoot_	220
32	Hyp3rion_	219
33	teslawolf38	200
34	xxPipperDipperxx	187
35	pretty_pink_reno	175
36	pintsizedrogue	172
37	TheSecondLord	171
38	Blaiku	160
39	Kowcio_	153
40	KingMatthew506	143
41	Mr_Byzantine	140
42	Kubeusz2010	138
43	Onennon	136
44	UrbanPlanningEx	128
45	royal_2	123
45	ROY4LE	123
47	Jimb0nat0r	120
48	diamondgolem35	110
49	HellsSponge	102
50	Mahoose	96
50	Marbz_	96
52	DarlaMeow	84
53	Historical_Sand	82
54	_Virify_	74
55	BreadBacon	72
56	TechnoNinja64	70
57	titanlax	68
58	Merv__	67
58	FreakGenius	67
60	_Huge_Male_	65
60	Werbe	65
60	sp00ky_ghost977	65
60	Cocoamallows	65
60	Enderxz3	65
65	PazinGaming	64
65	Incinere	64
65	Groundler	64
68	Karbl	62
69	MousePlays	58
70	TheWickedBird	56
71	fluddd	54
72	bl1ss0	53
73	pixelviolin	43
74	MattieHD	41
74	Bumpy419	41
76	_witch_craft_	40
76	Kakolbus	40
78	Iamthejo	37
79	seramalen	36
80	Hiryu27	34
80	Spacewardharpy7	34
82	Quotary	33
83	CalebDHawk	32
83	TheBananaKat	32
85	Cache3	31
86	Soplight	29
87	__tomato	25
88	_Dean_123	24
88	crashomon	24
90	LordSpeed37	21
90	00000000-0000-0000-0009-01ff0c3e5e4f	21
92	XxCookiequeenxX	19
92	miramyu	19
94	StinkyDiplomat	18
94	Druid95	18
94	PortlyPete69	18
94	Steelynan	18
98	bloodbiter	17
98	KeruNatsema	17
100	Alteriity	16
101	Tersea_	15
101	olliebollie48	15
103	Zythose	14
103	Deathkob	14
105	6king6colt6	13
105	Kamflame	13
105	Moofyman	13
105	Ezekson	13
105	Nicserso	13
110	RadarHz	10
111	ItsDeltaMC	9
111	robonya_	9
113	EMC_	8
113	lorywithay	8
113	r123moore	8
113	Galactic_Badger	8
113	Legendosh	8
113	Yamdalorian	8
119	Cryptacity	7
119	mwrty	7
119	Jiminbub	7
119	JayToe	7
123	Groovy_MoonBird	6
123	I_Am_Mushkin	6
123	ZaneABrain	6
123	ProfessorBee	6
123	thescout7	6
123	Tropiicant	6
123	The_slideV3	6
130	Apollo_993	5
130	whoaluv	5
130	Kim_Jong_eel	5
130	wezzzi	5
130	Inbefour	5
130	07shiny	5
130	laron58	5
137	Saucepeh	4
137	Scathra	4
137	oscminus	4
137	Avocadogerms	4
137	claivin	4
137	Xclax101	4
137	Luigipunch989	4
144	CLG_Kata	3
144	hollowww	3
144	Myszoaz	3
144	12Magner05	3
144	SteveCraftBlocks	3
144	MyNameIsJobo	3
144	Kynigito	3
144	Lord_Jord	3
144	SammiWolfGirl	3
144	SpacesickPrism	3
144	calamariclam_I	3
155	Bandito_Roamer	2
155	Niklas20114552	2
155	Ryker	2
155	eitanzaki	2
155	Sleepy_Evelyn	2
155	dawerty	2
155	Zaridey	2
155	SirPiccardo	2
155	Mattesco	2
155	yulgur1	2
155	Lutres_	2
155	Quaintster	2
155	El_Jalapeno	2
155	Buuck_	2
155	iSammael	2
155	Razzgriz	2
171	PhantomsGhost_	1
171	AuroraValkyrie	1
171	Ryan_GEMS	1
171	TooManyDuck	1
171	RebelAndroid	1
171	TAKrules	1
171	KomputerDude	1
171	Prismyst	1
171	NieToksikpl	1
171	Crowman1	1
171	jushykins	1
171	corvidpartyfor6	1
171	Xalithia	1
171	LeauVox4921	1
171	SellyZ	1
171	theonlymagikarp	1
171	M_Patata	1
171	yheece	1
171	Eczbox	1
171	pappaberg	1
171	Skylord_Luke	1
171	AlexxO_o	1
171	Shortest_Man	1
171	Ender_Souls	1
171	GooseWithin	1
171	_Karmaa	1
171	NameGenerat0r	1
171	Gus2005	1
171	Barlycorn	1
171	Hisiste	1
171	MasterNueve	1
171	CornOnTheCobalt	1
171	ElectricDragon81	1
171	StarCookiees_	1
171	Soul_Atreus	1
171	starbits140	1
171	SSytex_X	1
171	xzvu	1
171	Eczbek	1
171	Skippeh	1
171	FelixPSY375	1
171	annebolyn	1
