rank	username	minecraft:crafted/minecraft:bamboo_slab
1	lpinfinity	4468
2	_witch_craft_	2900
3	_Duckery	1809
4	Cache3	1362
5	EveryonesUncle	1344
6	pintsizedrogue	1290
7	k_ce	1222
8	Mr_Byzantine	1116
9	Mattesco	876
10	Yamdalorian	816
11	akap47	630
12	U_Mos_	546
13	Werbe	438
14	Fullbit_	432
15	Merv__	402
16	TheKingK_	384
17	Synthoum	342
18	Mr_Sun15	336
19	Buuck_	312
20	kalzor	270
21	bl1ss0	214
22	LuvLuvLove	180
23	Hoid_the_Roamer	174
24	Napoleonpancake	168
25	SpacesickPrism	132
26	Bambuino	108
27	robonya_	96
28	Dark_Crusader21	72
29	PazinGaming	54
30	Steelynan	30
31	pixelviolin	24
32	Kowcio_	12
32	Enderxz3	12
34	CLG_Kata	6
34	TheSecondLord	6
34	craaaash	6
