rank	username	minecraft:crafted/minecraft:blue_carpet
1	YungMaki	34939
2	beeperbeeper5	7794
3	Rumpletaezer	4200
4	EcksD	4044
5	Xclax101	3498
6	Smoke____	3354
7	joethahobo	2397
8	mwrty	1710
9	kekhon	1543
10	Swexti	1344
11	Snowflowe	1260
12	TheSecondLord	963
13	Spacewardharpy7	770
14	HellsSponge	560
15	TheShyPig	486
16	Legendosh	477
17	Ezekson	321
18	noam464	318
19	fw3xywashere	315
20	Mr_Worthless	288
21	Njensen7	264
22	Jackattack53	261
23	IWorkAtIkea	210
24	h2p_emrld	192
25	heckface	162
25	wezzzi	162
27	RebelAndroid	144
28	Skippeh	138
29	awesomeoneme	133
30	ShedJr_	99
30	Blackberry1310	99
30	bloodbiter	99
30	KingMatthew506	99
34	cedric72	96
34	bruh072	96
34	Cocoamallows	96
34	EcksDofficial	96
38	oxfordschool	90
39	Zoeyfortnite	88
40	Steelynan	81
41	Merv__	78
42	Groundler	66
43	MinuteMira	57
44	Dali1465	56
45	Mr_Byzantine	54
45	PlasticOtari	54
47	EveryonesUncle	51
47	Sral7	51
49	500am	48
49	Di_infiri	48
49	BumbleBeever	48
52	Werbe	45
52	Inbefour	45
54	TechnoNinja64	42
55	Kijiki	36
55	GlitchyPlate810	36
55	jcool7	36
58	MustardDrinker	33
59	Soplight	30
60	Freak_Genius	27
61	MrExplorer	24
61	MattieHD	24
61	xxPipperDipperxx	24
61	The_Fulgurator	24
61	Meatlaugh	24
61	The_slideV3	24
67	KarlKaek	18
67	TheMaster972	18
67	SSytex_X	18
70	teslawolf38	15
71	Bandito_Roamer	12
71	Drlzyy	12
71	GLLogan2	12
71	benediktine1	12
71	Drewen24	12
71	Maenara	12
71	Kyrum2169	12
71	lcvezra	12
79	Rox_The_Box	9
79	Cartoonmaniac	9
79	r123moore	9
79	Blaiku	9
79	Kubeusz2010	9
84	Kubelz	8
84	MethylRadical	8
84	Bazongoman	8
87	Sparky_KT	6
87	Smashic	6
87	pappaberg	6
87	420BreadLizard	6
87	NomadicRobin_	6
87	Enderslayerxz3	6
87	jnp_gaming	6
94	pintsizedrogue	3
94	Mahoose	3
94	tsohomie	3
94	H72l9w	3
94	rarrq	3
94	Prodiginus	3
94	titanlax	3
94	Fullut	3
94	M_Patata	3
94	Winklepicker279	3
94	SuperPooch06	3
94	Arceus1975	3
94	Deathkob	3
94	chipklip	3
94	MasterNueve	3
94	Western_1	3
94	xof_on_microwave	3
94	Hermanni__	3
94	xorompole	3
94	Lowjinx	3
