rank	username	minecraft:crafted/minecraft:lime_carpet
1	YungMaki	18625
2	Spacewardharpy7	8641
3	noam464	3001
4	_Virify_	2492
5	FishyBoy3811	1749
6	AlexxO_o	1701
7	Ezekson	1671
8	Legendosh	1413
9	Hyp3rion_	1155
10	Smoke____	1065
11	eitanzaki	867
12	stavgod	768
13	beeperbeeper5	633
14	KingMatthew506	576
15	HellsSponge	401
16	joethahobo	312
17	Kyrum2169	237
18	xxPipperDipperxx	208
19	Inbefour	195
20	RebelAndroid	192
20	Swexti	192
22	jnp_gaming	153
23	Xclax101	150
24	mwrty	144
25	Groundler	127
26	Kakolbus	117
27	Blackberry1310	99
28	EMC_	96
28	Werbe	96
28	CJPerson	96
28	Njensen7	96
28	oxfordschool	96
28	Quotary	96
28	EcksDofficial	96
35	kekhon	75
35	Lord_Jord	75
37	TechnoNinja64	66
38	Rumpletaezer	60
39	heckface	57
39	Skylord_Luke	57
41	_Dean_123	48
41	500am	48
41	Di_infiri	48
41	lordpipe	48
41	pixelviolin	48
41	Sral7	48
47	CoffeeNoir	42
48	AuroraSkies	39
49	Fullut	27
50	Enderslayerxz3	24
51	RoskobiOne	21
51	I_Am_Mushkin	21
53	M_Patata	18
53	MasterNueve	18
55	The_slideV3	15
56	teslawolf38	12
56	Soplight	12
58	SaucyDark	9
58	HollieDaNugget	9
58	Mahoose	9
58	Rebytre	9
58	EveryonesUncle	9
58	Eraxa	9
64	Dusk_95	8
65	Merv__	6
65	420BreadLizard	6
65	NomadicRobin_	6
68	Huwulling	3
68	Ssor69	3
68	titanlax	3
68	Marbz_	3
68	NameGenerat0r	3
68	Freak_Genius	3
68	Blaiku	3
68	lcvezra	3
68	Hermanni__	3
68	EcksD	3
