rank	username	minecraft:crafted/minecraft:jungle_fence
1	mwrty	1386
2	El_Jalapeno	978
3	cedric72	750
4	SvenskaHugo	645
5	BronkerBrum	618
6	Steelynan	615
7	Hyp3rion_	420
8	Prodiginus	336
9	Blu3beast	327
10	titanlax	249
11	PigDab	243
12	Mr_Byzantine	231
13	Smoke____	228
14	coobert42	210
15	beeperbeeper5	201
16	soundad	192
16	Zaridey	192
16	DemTechAlpha	192
19	Soplight	189
20	Xalithia	183
21	SaucyDark	168
22	Airem_Core	147
23	Toiton	144
24	PlasticOtari	138
25	WhyTho_1	135
26	HellsSponge	121
27	Maenara	117
27	jnp_gaming	117
29	kinas45y5	111
30	Winklepicker279	105
31	benediktine1	102
31	MyNameIsJobo	102
33	Factoroni	95
34	himak1	93
35	jessemgaming	90
36	_Karmaa	87
36	Freak_Genius	87
38	MovingFish7	84
39	eviltunix	78
40	Bandito_Roamer	72
40	ROY4LE	72
42	Di_infiri	66
42	ItsDeltaMC	66
44	TableTim	63
44	chipklip	63
46	Deathkob	60
47	TheSecondLord	57
48	CoffeeNoir	54
48	EveryonesUncle	54
50	PegLegPete93	51
51	NatrixxddxYT	48
51	T045RTY	48
51	TAKrules	48
51	Lez_	48
51	Windo_licker	48
51	lillips	48
57	CarltheCuck	45
58	Comma__	42
58	Kim_Jong_eel	42
58	Inbefour	42
61	Dabatha	39
61	KASAN420	39
63	ShedJr_	36
64	Merv__	30
64	Stiar	30
66	Dedalus36	24
66	Kubelz	24
66	MightyWertu	24
69	TheShyPig	21
69	Xclax101	21
71	Groovy_MoonBird	18
71	kekhon	18
71	Ecplosive	18
71	The_slideV3	18
71	Racengan	18
76	InfernalMound	15
76	Inchef	15
76	TechnoNinja64	15
79	IWorkAtIkea	12
79	fred870d	12
79	binman420	12
82	500am	9
82	Fullut	9
82	fluddd	9
82	RadarHz	9
82	00000000-0000-0000-0009-01f9013b764e	9
87	Cats_Fly	6
87	rarrq	6
87	Cryptacity	6
87	WET_WET_WET	6
87	ItsAki_	6
87	SvenskaAlvar	6
87	Lord_Jord	6
87	ese_wn_po	6
87	Groundler	6
87	MineMaster0012	6
87	SammiWolfGirl	6
87	IronicUwU1	6
99	Frozil20	3
99	Incinere	3
99	Mahoose	3
99	H72l9w	3
99	Swexti	3
99	Da_Boss_Rani	3
99	_Crimson_Legate	3
99	Jiminie	3
99	Nycteus_	3
99	sp00ky_ghost977	3
99	OfficerAnvil	3
