rank	username	minecraft:crafted/minecraft:smooth_stone_slab
1	Hyp3rion_	77988
2	joethahobo	55205
3	noam464	45844
4	thewindmillman	39126
5	Spacewardharpy7	36628
6	Frozil12	24355
7	MightyWertu	13569
8	m_be9	12638
9	TheShyPig	12120
10	Di_infiri	10212
11	El_Jalapeno	9120
12	eitanzaki	5398
13	Kakolbus	5088
14	Nicserso	4862
15	Wolverine4302	4416
16	Blackberry1310	3816
17	Marbz_	3730
18	MyNameIsJobo	3258
19	ImpavidArcher	2970
20	Scathra	2916
21	DTwenty	2878
22	Winklepicker279	2616
23	Blaiku	2352
24	mwrty	2184
25	Xclax101	2122
26	fred870d	1926
27	wezzzi	1908
28	EcksD	1770
29	Dogcorn69420	1542
30	EveryonesUncle	1448
31	teslawolf38	1386
32	thescout7	1305
33	sxc_	1260
34	Smoke____	1210
35	burbankbuilder28	1194
36	anbbang	1125
37	ssleepless	1116
38	AlphaWolfPlaysMC	1068
39	Enderslayerxz3	1056
40	oxfordschool	1034
41	ApophisNova	1032
41	MyNamaSheff	1032
43	Patwannabegamer	1022
44	Eraxa	948
45	MilleGrug	936
46	DanTheBuilderino	902
47	lcvezra	900
48	Jackattack53	894
49	Akoot_	874
49	JayToe	874
51	SHAOBADMAN	858
52	YungMaki	772
53	The_Quack_Dealer	768
54	Mahoose	696
55	Steelynan	654
56	rarrq	642
57	Menthas	636
57	censorsheep	636
59	DemTechAlpha	630
60	AuroraValkyrie	593
61	bigstankyy	570
61	MattieHD	570
63	Merv__	546
63	CoffeeNoir	546
65	Fuhrer_Teemo	534
66	set67	532
67	stellarjay	526
68	Cowison	516
69	Zaridey	504
69	Strangemonkey71	504
71	r123moore	468
72	T045RTY	460
73	Myszoaz	448
74	Reamdin	438
75	_czarny	414
76	Paintz	402
77	pintsizedrogue	396
77	Spenduh	396
79	PigDab	390
79	SvenskaHugo	390
81	Zythose	384
82	lordpipe	378
83	PlasticOtari	374
84	WyngGoy	354
85	HellsSponge	343
86	wobn	342
87	himak1	336
88	Lowjinx	330
89	__Fanda__	318
90	NameGenerat0r	294
91	VentiHilton	282
92	SaucyDark	276
93	Zielo2017PL	264
93	Lord_Jord	264
95	TheSeismicDuck	258
96	Groundler	246
97	RobotMinion101	240
97	Ze_BaronKrigler	240
99	ayamefag	234
100	titanlax	228
101	Skylord_Luke	222
102	Hoid_the_Roamer	210
103	avalan64	192
104	Windo_licker	174
105	EMC_	168
105	pixelviolin	168
107	proxivitoid	162
107	JESS_THE_RERE	162
109	ivorico	156
109	The11thDoctor	156
109	Maenara	156
