rank	username	minecraft:crafted/minecraft:green_dye
1	Rumpletaezer	10254
2	Skylord_Luke	5505
3	Fullut	2969
4	slkiey	2537
5	Eraxa	1712
6	Jackattack53	1697
7	Ryan_GEMS	1657
8	F_Uhre	1574
9	Steelynan	1528
10	ConnorDanky_	1467
11	TheSecondLord	1226
12	thescout7	1182
13	Valoth	1163
14	EveryonesUncle	1152
15	YungMaki	1122
16	PhantomsGhost_	1110
17	FGamerJ	1023
18	TheShyPig	995
19	Kakolbus	705
20	stellarjay	690
21	_Virify_	684
22	ApophisNova	646
22	MyNamaSheff	646
24	Quotary	640
25	Snowflowe	601
26	MyNameIsJobo	600
27	Covalents	579
28	lordpipe	576
29	yulgur1	558
30	Hyp3rion_	536
31	Kyrum2169	512
32	HellsSponge	500
33	AdmiralSmoke	497
34	hollowww	493
35	Frozil20	448
36	500am	443
37	Hpdinosaur	440
38	Tjhodskins19	439
39	eviltunix	421
40	sp00ky_ghost977	411
41	Blaiku	396
42	Euclidoris	387
43	surfinggiraffejp	384
44	Groovy_MoonBird	377
45	Optiprimus	348
46	oscminus	347
46	claivin	347
48	Zedducius	340
49	legal_tax_evader	322
50	Karbl	321
51	CornOnTheCobalt	309
52	ZaneABrain	287
53	Inbefour	280
54	Enderxz3	272
55	Spacewardharpy7	265
56	Alteriity	260
57	r123moore	256
57	mobunni	256
59	luseis	249
60	MovingFish7	235
61	MousePlays	214
61	Soplight	214
63	Powowowow	194
64	EngagedGrub41	193
65	MakeHistory157	192
65	AltnumberF4	192
65	UrbanPlanningEx	192
68	abramgray	186
69	XxCookiequeenxX	166
70	youhjjhhhjj	164
71	Franco093	163
72	DarlaMeow	159
73	Crowman1	157
74	ProfessorBee	156
75	NieToksikpl	152
76	vandmanden	151
77	underscore_2	148
78	T045RTY	145
79	epiksk8erduck	144
80	Deathkob	139
81	_KuruKuru	138
82	xxPipperDipperxx	137
83	Njensen7	135
84	Syropatathe	132
85	Blackberry1310	131
86	SuperPooch06	130
87	_Dean_123	129
87	corpsecity	129
89	Apollo_993	128
89	Scathra	128
89	Quaintster	128
89	Nicserso	128
93	QuiCreans	127
94	Arceus1975	126
95	XboxPanda	115
96	Kim_Jong_eel	114
97	Wooptey	113
98	Jordan_R	111
99	Rocketlaunchers	109
100	alderban107	108
101	heckface	105
102	CoffeeNoir	101
103	pintsizedrogue	94
104	kekhon	93
105	Barlycorn	91
106	Xclax101	88
107	H72l9w	81
108	Blu3beast	77
109	Mahoose	76
109	WyngGoy	76
109	Legendosh	76
112	Druid95	74
113	PortlyPete69	67
114	Historical_Sand	65
114	titanlax	65
116	Paint	64
116	PazinGaming	64
116	EMC_	64
116	Jackster03	64
116	Frxnkz	64
116	Blazebit	64
116	wordboy107	64
116	audiocracked	64
116	DTwenty	64
116	_Bguette_	64
116	ItsDeltaMC	64
116	Shin69	64
128	Steve897	63
129	StormPool	58
