rank	username	minecraft:crafted/minecraft:jungle_fence_gate
1	Zaridey	863
2	PigDab	648
3	MightyWertu	640
4	Xalithia	489
5	MyNameIsJobo	190
6	_Virify_	182
7	Merv__	130
8	Di_infiri	66
9	noam464	64
9	thewindmillman	64
11	The_slideV3	52
12	Freak_Genius	50
13	BronkerBrum	40
14	Hyp3rion_	39
15	joethahobo	32
15	Winklepicker279	32
17	T045RTY	25
18	dimondking777	21
18	chipklip	21
18	DemTechAlpha	21
18	Hermanni__	21
22	Felenov	20
22	CalebDHawk	20
24	JESS_THE_RERE	14
25	Racengan	13
26	Kim_Jong_eel	10
26	Blu3beast	10
28	HellsSponge	6
28	Njensen7	6
30	Bandito_Roamer	5
30	Jiminie	5
32	jessemgaming	4
32	mwrty	4
32	ItsAki_	4
32	Groundler	4
32	TechnoNinja64	4
32	Smoke____	4
38	SaucyDark	3
38	TAKrules	3
38	beeperbeeper5	3
38	rarrq	3
38	Blaiku	3
43	ShedJr_	2
43	H72l9w	2
43	InfernalMound	2
43	Smashic	2
43	thescout7	2
43	ROY4LE	2
43	Lord_Jord	2
43	Deathkob	2
43	Toiton	2
43	El_Jalapeno	2
43	ItsDeltaMC	2
43	jnp_gaming	2
43	Jordan_R	2
43	KASAN420	2
57	titanlax	1
57	500am	1
57	xxPipperDipperxx	1
57	Kynigito	1
57	SvenskaAlvar	1
57	Dabatha	1
57	_Karmaa	1
57	Nycteus_	1
57	PlasticOtari	1
57	kinas45y5	1
