rank	username	minecraft:crafted/minecraft:light_blue_glazed_terracotta
1	Smoke____	1052
2	beeperbeeper5	258
3	ImpavidArcher	192
3	lordpipe	192
5	Werbe	76
6	Merv__	64
6	xxPipperDipperxx	64
6	Blaiku	64
9	eitanzaki	60
9	joethahobo	60
11	KarlKaek	48
12	thewindmillman	36
13	Onennon	32
14	Wooptey	15
15	Mahoose	12
15	KingMatthew506	12
15	Quotary	12
18	Prismyst	8
18	Arceus1975	8
18	Bumpy419	8
18	Inbefour	8
18	YungMaki	8
23	PlasticOtari	7
24	chipklip	6
25	Freak_Genius	5
26	m_be9	4
26	noam464	4
28	TheShyPig	3
29	CharlieButt	2
29	AJplaysMC_	2
29	mobunni	2
32	Bandito_Roamer	1
32	NameGenerat0r	1
32	ItsDeltaMC	1
