rank	username	minecraft:crafted/minecraft:rabbit_stew
1	thewindmillman	84
2	Werbe	60
3	beeperbeeper5	58
4	Tyrannosplart	33
5	starbits140	31
6	AdmiralSmoke	29
7	Historical_Sand	26
8	RebelAndroid	23
8	Soplight	23
10	TheShyPig	22
10	Akoot_	22
12	xxPipperDipperxx	21
13	PhantomsGhost_	18
14	ROY4LE	14
15	Manaateee	13
16	HellsSponge	12
17	Merv__	11
17	Rumpletaezer	11
17	Skylord_Luke	11
20	Bandito_Roamer	10
20	diamondgolem35	10
20	youhjjhhhjj	10
20	EngagedGrub41	10
20	Powowowow	10
20	PlasticOtari	10
26	TheSecondLord	7
26	JESS_THE_RERE	7
28	Luigipunch989	6
29	geekbird	4
30	Kynigito	3
31	Jimb0nat0r	2
32	pintsizedrogue	1
32	k_ce	1
32	jspwn	1
32	Hpdinosaur	1
32	Mahoose	1
32	Lez_	1
32	FirsTimeGamingTV	1
32	rarrq	1
32	corvidpartyfor6	1
32	Fullut	1
32	excelsionprime	1
32	mwrty	1
32	noam464	1
32	Jackattack53	1
32	oscminus	1
32	Deathkob	1
32	claivin	1
32	Blu3beast	1
32	Spacewardharpy7	1
32	Eraxa	1
32	pixelviolin	1
32	Kowcio_	1
32	lcvezra	1
32	obzii	1
32	FelixPSY375	1
32	Enderxz3	1
