rank	username	minecraft:crafted/minecraft:red_nether_bricks
1	MilleGrug	8449
2	k_ce	6798
3	Legendosh	5734
4	thewindmillman	4606
5	Snowflowe	3912
6	beeperbeeper5	3572
7	himak1	2995
8	doublemaki	2760
9	TheShyPig	2200
10	kekhon	2059
11	FreakGenius	1937
12	Kowcio_	1194
13	ooga47	1154
14	Vorlice	1083
15	m_be9	896
16	rarrq	775
17	PazinGaming	749
18	Lord_Jord	667
19	mymayowasgone	439
20	ApophisNova	432
20	MyNamaSheff	432
22	12Magner05	414
23	shadowthemonkey	404
24	Xalithia	339
25	Merv__	321
26	Eraxa	320
26	h2p_emrld	320
28	Yamdalorian	277
29	Blu3beast	265
30	noam464	256
30	Sral7	256
32	joethahobo	255
33	Marbz_	233
34	shineh10	230
35	Lez_	224
36	LuvLuvLove	192
37	Eczbek	172
38	Bandito_Roamer	141
39	Steelynan	140
40	Jackattack53	128
40	The_slideV3	128
42	Pumpkin_P_Patch	107
43	lordpipe	84
44	stavgod	81
45	EMC_	64
45	Fullut	64
45	hanaryheatwave	64
45	Hyp3rion_	64
45	master9067	64
50	pintsizedrogue	62
51	TheSecondLord	59
52	mobunni	53
53	royal_2	46
53	ROY4LE	46
55	Manaateee	40
56	HellsSponge	38
57	Paint	37
58	livingdaydreams	32
58	PigDab	32
58	GravitySaint	32
61	Mr_Byzantine	29
62	Enderxz3	28
63	Kynigito	25
64	JitteryJared2	24
65	00000000-0000-0000-0009-01ff0c3e5e4f	18
66	mihimihimihi	17
67	MAns_44	11
68	Studio4x32	8
69	AnnieBathory	7
69	wwwwinnebagoooo	7
69	pixelviolin	7
72	Jimb0nat0r	6
73	Zythose	4
74	MattieHD	1
74	Freeman666	1
74	Moofyman	1
74	ItsDeltaMC	1
