rank	username	minecraft:crafted/minecraft:quartz_block
1	Hyp3rion_	242711
2	joethahobo	97963
3	beeperbeeper5	36946
4	hanaryheatwave	30219
5	Jackattack53	29630
6	EcksD	28394
7	pintsizedrogue	27396
8	Lord_Jord	21534
9	Di_infiri	20240
10	Buuck_	19875
11	Frozil20	19858
12	lordpipe	18184
13	Yamdalorian	17867
14	PigDab	15712
15	Mahoose	13728
16	Lez_	13708
17	shineh10	13577
18	wwwwinnebagoooo	12981
19	Deerfoot	11299
20	ImpavidArcher	10483
21	eitanzaki	10132
22	Snowflowe	10083
23	Blaiku	10044
24	noam464	9923
25	Fuad_R	9717
26	Ezekson	9428
27	TheSecondLord	8600
28	Groundler	8059
29	Sral7	7698
30	Spaghettatron	7118
31	MyMawgDonaldsGon	6606
32	Spacewardharpy7	6436
33	RebelAndroid	6352
34	EngagedGrub41	6049
35	U_Mos_	6042
36	doublemaki	5936
37	Rumpletaezer	5930
38	oscminus	5663
39	Lutres_	5468
40	Manaateee	5424
41	Merv__	5401
42	Skylord_Luke	5353
43	himak1	5317
44	Comma__	4819
45	ConnorDanky_	4792
46	EveryonesUncle	4693
47	EMC_	4689
48	Inbefour	4111
49	m_be9	4102
50	MattieHD	4033
51	FiguraDei	3433
52	thewindmillman	3412
53	emreknugrlu	3304
54	iSammael	3276
55	Alteriity	3192
56	F_Uhre	3110
57	Mattesco	3101
58	Xclax101	2905
59	500am	2904
60	HellsSponge	2804
61	Rocco_Lane	2592
62	Marbz_	2546
63	Krowuss	2485
64	_Karmaa	2476
65	Huwulling	2446
66	Apollo_993	2422
67	RadarHz	2407
68	TheWickedBird	2351
69	Mr_Byzantine	2260
70	Skippeh	2225
71	Winklepicker279	2203
72	Kowcio_	2174
73	luseis	2038
74	rarrq	2004
75	MakeHistory157	1985
76	Mewar	1937
77	Optiprimus	1836
78	TooManyDuck	1827
79	yulgur1	1823
80	craaaash	1813
81	Truckoss	1807
82	Kouridragon	1747
83	ApophisNova	1726
83	MyNamaSheff	1726
85	SuperPooch06	1718
86	CoffeeNoir	1710
87	xzvu	1705
88	Reamdin	1670
89	Elastiq	1641
90	Akoot_	1607
91	PlasticOtari	1569
92	set67	1561
93	AltnumberF4	1558
94	NameGenerat0r	1534
95	cedric72	1511
96	xPixelRainx	1504
97	sp00ky_ghost977	1467
98	UltraZombie	1446
99	blackeemperor	1347
100	kekhon	1342
101	Strangemonkey71	1339
102	Cowison	1332
103	FreakGenius	1330
104	The_slideV3	1301
105	TheShyPig	1270
105	Tyrannosplart	1270
107	XxCookiequeenxX	1263
108	NatalieTW	1241
109	nocturne78	1235
110	McCakeAh	1219
111	SingedBread	1207
112	tobinwilliams	1189
113	Blackberry1310	1170
114	fade_emerge78823	1158
115	BlancoFlaco	1134
115	Legendosh	1134
117	knarian	1092
118	NomadicRobin_	1077
119	Hahaa_0	1037
120	Whiterooster001	1036
121	philandr	1035
122	CharlieButt	1033
123	GooseWithin	1025
124	xxPipperDipperxx	999
125	SSytex_X	989
126	NinjaKnifeKill	984
127	ActualPatbaf	967
128	Pumpkin_P_Patch	964
129	milltesco	909
130	PhantomsGhost_	908
131	Soplight	898
132	Incinere	889
132	Nicserso	889
134	Froste131	877
135	Barlycorn	849
136	Studio4x32	846
137	yheece	832
138	Fullut	831
139	FishyBoy3811	814
140	livingdaydreams	811
140	Batman922	811
142	MAns_44	807
143	Chromary	804
144	The_SlideV5	796
145	Valoth	788
146	Rasmanden	768
147	CacheOut	759
148	Yatitay	758
149	geekbird	741
150	AJplaysMC_	726
151	DisgruntledKoala	724
152	jnp_gaming	717
153	Enderxz3	701
154	fw3xy	694
155	StinkyDiplomat	689
156	mwrty	672
157	AlexxO_o	656
158	ssleepless	651
159	KartivGal	650
160	Caribouse	630
161	Maenara	629
162	Jovaphobic	622
163	Jekyll	608
164	Zaridey	604
165	diamondgolem35	602
166	pixelviolin	600
167	Razzgriz	594
168	shadowthemonkey	577
169	TheSandwhich_	572
170	BadenOnGod	570
171	Segotep999	562
172	TheWildMateo	560
173	Druid95	545
174	DebbieBrunswick	541
175	00000000-0000-0000-0009-01ff0c3e5e4f	536
176	KingMatthew506	522
177	Cortexia	515
178	Jonafrog99	510
179	NotMeanttoChange	504
180	Saucepeh	502
181	Werbe	497
182	RefluxRatio	496
183	_Huge_Male_	490
184	_Nuf	488
185	royal_2	486
186	Historical_Sand	484
187	Crowman1	483
188	j5ylim	471
189	Xalithia	456
190	hermmm_	455
191	Eraxa	452
192	Wooptey	451
193	RoskobiOne	449
194	trexgb	445
195	ReSynced	444
196	Sleepy_Evelyn	443
197	ROY4LE	435
198	thescout7	432
198	BeardBois	432
200	MightyWertu	427
201	marumochis	423
202	__tomato	419
