rank	username	minecraft:crafted/minecraft:stone_sword
1	eitanzaki	282
2	Werbe	115
3	noam464	99
4	LordSpeed37	75
5	TechnoNinja64	70
6	Blazebit	59
7	TheSecondLord	57
8	Cryptacity	43
9	C0oOK13M0N5T3R	42
10	Thaumatarge	36
11	AlphaWolfPlaysMC	29
12	teslawolf38	28
13	LeonelSalamanca	26
14	CalebDHawk	25
15	ApophisNova	24
15	EngagedGrub41	24
15	MyNamaSheff	24
15	PlasticOtari	24
19	Guillemet	23
19	500am	23
19	Jackattack53	23
22	masskedman	22
23	Prismyst	21
23	luseis	21
25	AdmiralSmoke	19
26	BreadBacon	17
26	JayToe	17
28	Mahoose	16
28	Zythose	16
30	Groovy_MoonBird	15
30	Mewar	15
30	Jij0	15
33	himak1	14
34	ooga47	13
34	_TCARREIRA_	13
34	FishisTTV	13
37	RefluxRatio	12
37	Skyle169	12
39	beeperbeeper5	11
40	Smashic	10
40	ROY4LE	10
40	Akoot_	10
40	Tyrannosplart	10
44	fr0stss	9
44	RadarHz	9
46	Ninzyyy	8
46	_darky1_	8
46	KingFaenor	8
46	Frozil20	8
46	BreadFruggis	8
46	Bobby808	8
46	SellyZ	8
46	Katsuragi0243218	8
46	Jamstroxian	8
55	Blackberry1310	7
55	AJplaysMC_	7
55	DreadVegas2k	7
55	brycepants	7
55	frankosgf	7
55	_Meow_Mix	7
55	Professor_x8	7
62	soundad	6
62	youhjjhhhjj	6
62	jedi_george	6
62	Snowflowe	6
62	pappaberg	6
62	E775	6
62	RedcatVII	6
62	Warlord324	6
62	Soul_Atreus	6
62	Moetis	6
62	Jimb0nat0r	6
73	chipklip	5
73	RebelAndroid	5
73	AngalexikCZ	5
73	Kubelz	5
73	Di_infiri	5
73	CaptainAvenger7	5
73	groofles	5
73	rotten_mango	5
73	ori0le	5
73	SwooshBoi	5
73	fluddd	5
73	YungMaki	5
73	__tomato	5
73	PlzNoBM	5
73	Skippeh	5
73	ConnorDanky_	5
89	TAKrules	4
89	Sleepy_Time_	4
89	m_be9	4
89	ToxicHauntling	4
89	Fullut	4
89	ConcretePirate	4
89	Touched_Bread	4
89	FennYuzuna	4
89	ZeroAbyssTTV	4
89	Winklepicker279	4
89	IamCL4SSY	4
89	aldplaysmc	4
89	Steve897	4
89	DamagedSin	4
89	babyjimmyneutron	4
89	Ripzch	4
89	mawileite	4
89	Ezekson	4
89	blackmage426	4
89	mountaingirl311	4
89	jnp_gaming	4
89	skrongus	4
111	Whalezz	3
111	ImpavidArcher	3
111	Historical_Sand	3
111	IWorkAtIkea	3
111	rarrq	3
111	heckface	3
111	Koffeeinz	3
111	tortillatitan	3
111	bloodbiter	3
111	Jakobo1337	3
111	12Magner05	3
111	ProfessorBee	3
111	minersam1	3
111	thescout7	3
111	LavenderBi1ch	3
111	Ithaca19	3
111	__TheNorseMan__	3
111	hcb238	3
111	gcaisawesome	3
111	ehunt54	3
111	SHAOBADMAN	3
111	TakeThis2UrGrave	3
111	KillerNekoRain	3
111	Donutt	3
111	jewbacaman	3
111	Austinizzle	3
111	FreakGenius	3
111	Groundler	3
111	bothan13	3
111	NebulousBadger	3
111	Eraxa	3
111	PirreJR	3
111	UCP_TheKingK	3
111	Segotep999	3
111	Soplight	3
111	lcvezra	3
111	Kferno	3
111	Kubeusz2010	3
111	Oxygen16	3
111	UrbanPlanningEx	3
111	Yahrto	3
111	Teebone15	3
111	Northernrabbit	3
111	00000000-0000-0000-0009-01f16526f034	3
155	Im_SMX	2
155	ThreeAmMan	2
155	Mr_Byzantine	2
155	Jalvajar	2
155	Mowelan	2
155	BigBootyHudge	2
155	Merv__	2
155	milkedit	2
155	SlowMoNinja1994	2
155	xXTheWolfmanXx	2
155	Houstonion	2
155	Hyugo	2
