rank	username	minecraft:crafted/minecraft:mossy_stone_brick_stairs
1	soundad	300
2	cedric72	204
3	Zythose	160
4	Eraza	136
5	thewindmillman	106
6	layabout100	98
7	Comma__	68
8	thescout7	44
9	HellsSponge	42
10	Tommhh	36
10	RoofTyler	36
12	kekhon	32
13	Inchef	28
13	Iamthejo	28
15	pintsizedrogue	18
16	SquadMonster	16
17	Elastiq	12
17	Fuhrer_Teemo	12
19	luseis	11
20	Mr_Byzantine	8
20	Merv__	8
20	Winklepicker279	8
20	SuperPooch06	8
20	Onennon	8
20	MinuteMira	8
20	Shogunite	8
20	wwwwinnebagoooo	8
28	Kowcio_	7
28	UCP_TheKingK	7
30	FreakGenius	5
31	chipklip	4
31	beeperbeeper5	4
31	PegLegPete93	4
31	burbankbuilder28	4
31	fkGrim	4
31	HELLO_I_AM_BEAR	4
31	Eraxa	4
38	Soplight	2
39	Kubeusz2010	1
