rank	username	minecraft:crafted/minecraft:grindstone
1	AdmiralSmoke	563
2	PazinGaming	475
3	Kowcio_	277
4	PlasticOtari	258
5	Hyp3rion_	232
6	Nicserso	209
7	Soplight	208
8	mihimihimihi	197
9	12Magner05	155
10	Mahoose	144
11	NomadicRobin_	128
12	Manaateee	112
13	LexMakesHistory	108
14	500am	107
15	Jackattack53	102
16	pintsizedrogue	98
17	HellsSponge	97
18	luseis	88
19	noam464	79
20	YungMaki	78
21	rarrq	74
22	EngagedGrub41	73
23	FreakGenius	69
24	eitanzaki	67
25	lillips	64
25	pixelviolin	64
27	beeperbeeper5	54
28	Steelynan	51
29	ProfessorDiaper	49
30	Huwulling	46
31	MineMaster0012	41
32	SlayerCrypto	38
33	EMC_	36
34	Werbe	33
35	Mattesco	19
36	TheSecondLord	16
36	thewindmillman	16
36	Luigipunch989	16
39	Merv__	13
39	ImpavidArcher	13
39	Smashic	13
39	Xalithia	13
39	TheShyPig	13
44	_Huge_Male_	12
44	Vizzoid	12
44	gcaisawesome	12
44	DemTechAlpha	12
48	thescout7	11
48	EveryonesUncle	11
50	joethahobo	10
51	Fullut	9
51	SpacesickPrism	9
53	Mr_Byzantine	8
53	Apollo_993	8
53	Blackberry1310	8
53	Inchef	8
53	F_Uhre	8
53	Jimb0nat0r	8
59	SmashingPump	7
59	ooga47	7
59	Akoot_	7
59	Racengan	7
63	Groovy_MoonBird	6
63	Btabtab	6
63	sp00ky_ghost977	6
63	UCP_TheKingK	6
63	starbits140	6
63	ConnorDanky_	6
69	_Virify_	5
69	jacxhadow	5
69	excelsionprime	5
69	pappaberg	5
69	Xclax101	5
69	SvenskaHugo	5
69	Enderxz3	5
69	TechnoNinja64	5
77	Historical_Sand	4
77	Saucepeh	4
77	lorpus	4
77	MyNameIsJobo	4
77	Arceus1975	4
77	Snowflowe	4
77	burbankbuilder28	4
77	yulgur1	4
77	JESS_THE_RERE	4
77	Spacewardharpy7	4
87	Bandito_Roamer	3
87	teslawolf38	3
87	6king6colt6	3
87	diamondgolem35	3
87	Minimize501	3
