rank	username	minecraft:crafted/minecraft:grindstone
1	Yamdalorian	563
2	PazinGaming	475
3	Kowcio_	277
4	PlasticOtari	258
5	Hyp3rion_	232
6	Nicserso	209
7	Soplight	208
8	mihimihimihi	197
9	12Magner05	155
10	Mahoose	144
11	NomadicRobin_	128
12	Manaateee	112
13	LexMakesHistory	108
14	500am	107
15	Jackattack53	102
16	pintsizedrogue	98
17	HellsSponge	97
18	luseis	88
19	noam464	79
20	YungMaki	78
21	rarrq	74
22	EngagedGrub41	73
23	FreakGenius	69
24	eitanzaki	67
25	emreknugrlu	64
25	pixelviolin	64
27	beeperbeeper5	54
28	Steelynan	53
29	ProfessorDiaper	49
30	Huwulling	46
31	Pumpkin_P_Patch	41
32	SlayerCrypto	38
33	EMC_	36
34	Werbe	33
35	Mattesco	19
36	TheSecondLord	16
36	thewindmillman	16
36	Luigipunch989	16
39	_Huge_Male_	15
40	Merv__	13
40	ImpavidArcher	13
40	Smashic	13
40	Xalithia	13
40	TheShyPig	13
45	Vizzoid	12
45	gcaisawesome	12
45	DemTechAlpha	12
48	thescout7	11
48	EveryonesUncle	11
50	Mr_Byzantine	10
50	joethahobo	10
52	Fullut	9
52	SpacesickPrism	9
54	Apollo_993	8
54	Blackberry1310	8
54	Inchef	8
54	F_Uhre	8
54	Jimb0nat0r	8
59	SmashingPump	7
59	ooga47	7
59	Akoot_	7
59	Racengan	7
59	TheKingK_	7
64	Groovy_MoonBird	6
64	Btabtab	6
64	sp00ky_ghost977	6
64	starbits140	6
64	ConnorDanky_	6
69	_Virify_	5
69	jacxhadow	5
69	excelsionprime	5
69	pappaberg	5
69	Xclax101	5
69	SvenskaHugo	5
69	Enderxz3	5
69	TechnoNinja64	5
77	Historical_Sand	4
77	Saucepeh	4
77	lorpus	4
77	MyNameIsJobo	4
77	Arceus1975	4
77	Snowflowe	4
77	burbankbuilder28	4
77	yulgur1	4
77	JESS_THE_RERE	4
77	AstreaTSS	4
77	pretty_pink_reno	4
77	Spacewardharpy7	4
89	Bandito_Roamer	3
89	teslawolf38	3
89	6king6colt6	3
89	diamondgolem35	3
89	Minimize501	3
89	Lez_	3
89	Ssor69	3
89	Malorn_Aetherius	3
89	Kakolbus	3
89	whoaluv	3
89	OreTheBear	3
89	oscminus	3
89	Skylord_Luke	3
89	ClemenPine	3
89	Deathkob	3
89	Hisiste	3
89	ayamefag	3
89	Eraxa	3
89	Kyrum2169	3
89	Ezekson	3
89	Legendosh	3
89	Sral7	3
111	Jovaphobic	2
111	Paint	2
111	soundad	2
111	Iagoku	2
111	Ryan_GEMS	2
111	RebelAndroid	2
111	Ryker	2
111	abdomera	2
111	ZaneABrain	2
111	SpaceGrenadier	2
111	IgnoredBee	2
111	Dblikstad	2
111	QuiCreans	2
111	Stynxy	2
