rank	username	minecraft:crafted/minecraft:oak_fence_gate
1	thewindmillman	9294
2	m_be9	2903
3	HellsSponge	2118
4	rarrq	949
5	PhantomsGhost_	706
6	2Stout	576
7	Myntsys	558
8	Spacewardharpy7	541
9	Lez_	524
10	TechnoNinja64	481
11	noam464	406
12	ooga47	376
13	joethahobo	348
14	eitanzaki	291
15	EveryonesUncle	258
16	EMC_	246
17	Reneedium	240
18	SlayerCrypto	224
19	_Dean_123	184
20	pixelviolin	183
21	Smashic	170
22	RebelAndroid	164
23	Hyp3rion_	161
24	Racengan	155
25	Mahoose	154
26	PigDab	150
27	Yamdalorian	146
28	Jackattack53	130
29	StinkyDiplomat	123
30	FreakGenius	121
31	Kowcio_	110
32	YungMaki	105
33	Di_infiri	99
34	non089	93
34	hermmm_	93
36	Enderxz3	88
37	Hisiste	83
38	Alteriity	80
38	Shogunite	80
40	AlphaWolfPlaysMC	77
40	tsitrawhy	77
42	Ryan_GEMS	74
43	Werbe	71
44	thescout7	67
45	Winklepicker279	64
45	MyNameIsJobo	64
47	seramalen	62
48	Mr_Byzantine	57
49	Merv__	54
50	Sral7	53
51	pintsizedrogue	50
52	Blackberry1310	49
52	MousePlays	49
54	titanlax	48
54	catandmoose	48
56	Lord_Jord	47
57	beeperbeeper5	46
57	DemTechAlpha	46
59	dopplexd	42
59	AuroraSkies	42
61	Frozil20	40
62	TheKingK_	37
63	SmashingPump	35
63	4774	35
65	El_Jalapeno	34
66	CLG_Kata	32
66	Skylord_Luke	32
66	Kferno	32
69	KingFaenor	30
69	_k2x	30
69	vandmanden	30
72	HuangMeiHua	29
73	lotarp	28
73	Saucepeh	28
73	TheShyPig	28
73	ConnorDanky_	28
77	TheSecondLord	27
77	SuperPooch06	27
79	bloodbiter	26
79	SpacesickPrism	26
81	DanTheBuilderino	25
82	Masssonnn	24
82	crashomon	24
82	DaviusMaximoose	24
85	Frxnkz	23
85	CalebDHawk	23
87	T045RTY	22
88	Fullut	21
88	ClemenPine	21
88	Dakar_	21
88	mihimihimihi	21
92	Meatlaugh	20
92	Luigipunch989	20
94	NatalieTW	19
94	AstreaTSS	19
94	Xclax101	19
94	_Tilariel_	19
94	jcool7	19
94	LeeMcGee30	19
100	301851	18
100	WET_WET_WET	18
100	emreknugrlu	18
100	mawileite	18
100	EngagedGrub41	18
105	andy_rex	17
105	Skomo	17
105	markaus77	17
105	Soplight	17
109	slkiey	16
109	fade_emerge78823	16
109	prizm_	16
109	Bazongoman	16
109	ApophisNova	16
109	Elastiq	16
109	kkatsuragi	16
109	MovingFish7	16
109	MyNamaSheff	16
118	PazinGaming	15
118	mariominejedi	15
118	Windo_licker	15
118	txxskx	15
118	MAns_44	15
118	Legendosh	15
118	PlasticOtari	15
125	CoffeeNoir	14
125	Secret_Canary	14
125	Pineapplesugr	14
125	Manaateee	14
125	The_slideV3	14
125	Groundler	14
125	_i_ERROR_i_	14
132	ActualPatbaf	13
132	jacxhadow	13
132	Gzrdy	13
132	Rumpletaezer	13
132	Bumpy419	13
132	MightyWertu	13
132	jnp_gaming	13
139	The11thDoctor	12
139	Darkgon	12
139	Pumpkin_P_Patch	12
139	miramyu	12
143	6king6colt6	11
143	NieToksikpl	11
143	Ravenbie	11
143	xxPipperDipperxx	11
143	Akoot_	11
143	Bloo2406	11
143	SvenskaHugo	11
143	__tomato	11
143	stellarjay	11
152	abdomera	10
152	Dblikstad	10
152	shdesolt	10
152	excelsionprime	10
152	burbankbuilder28	10
152	Felenov	10
152	Fuhrer_Teemo	10
152	PortlyPete69	10
152	Dogcorn69420	10
161	_Virify_	9
161	hollowww	9
161	Hetti301	9
161	crying_wolf_13	9
161	Vorlice	9
161	Eczbek	9
161	cichy096	9
168	Natty	8
168	Vizzoid	8
168	Jokerman369	8
168	Nach0Bear	8
168	eiC_	8
168	Marbz_	8
168	U_Mos_	8
168	Eczbox	8
168	AlexxO_o	8
168	Cyntrical	8
168	Gus2005	8
168	ReyTheLegend	8
168	_3Stump_	8
181	AshleeCW	7
181	IWorkAtIkea	7
181	zMarciano	7
181	whoaluv	7
181	Solar_Power	7
181	F_Uhre	7
181	fkGrim	7
181	LordAurum	7
189	ssleepless	6
189	HollieDaNugget	6
189	Morgf	6
189	Raspberry_Sodas	6
189	GingerNeutron	6
189	Mewar	6
189	TheDankPlatypus	6
189	TableTim	6
189	AvaRosey	6
189	PabloGonza02	6
189	SSytex_X	6
189	jaimshae	6
189	CoryJJ	6
189	EcksD	6
189	Quotary	6
204	Matemkas	5
204	Wooptey	5
204	ROY4LE	5
204	CharlieButt	5
204	CarltheCuck	5
204	CaptainAvenger7	5
204	groofles	5
204	EdGalbraith	5
204	yulgur1	5
204	DarkS0L	5
204	yatsuta	5
204	taengoos	5
216	MixerDixer	4
216	abramgray	4
216	DepressedCubic	4
216	Sleek_Storm_721	4
216	Flores991	4
216	ShedJr_	4
216	Ssor69	4
216	ccormacs	4
216	chlorinex	4
216	Crowman1	4
216	Tiberonus	4
216	500am	4
216	minersam1	4
216	hcb238	4
216	Arceus1975	4
216	RyuNeko932000	4
216	Moofyman	4
216	epiksk8erduck	4
216	skelctal	4
216	Rasmanden	4
216	Maenara	4
216	parodypatient	4
216	TheSeismicDuck	4
216	Inbefour	4
216	Lord_Zacler	4
216	majlin16	4
216	_Karmaa	4
216	fluddd	4
216	CheifJumbo	4
216	sp00ky_ghost977	4
216	SpicyDuckMan	4
