rank	username	minecraft:crafted/minecraft:rail
1	HellsSponge	34450
2	Di_infiri	11920
3	PigDab	10176
4	Franco093	6416
5	thewindmillman	5168
6	IAmTheWalrus910	4670
7	Smoke____	4078
8	Mahoose	3532
9	Werbe	3472
10	noam464	3302
11	Jackattack53	3264
12	Skylord_Luke	3248
13	beeperbeeper5	2522
14	mariominejedi	2512
15	PlasticOtari	2372
16	Hyp3rion_	1936
17	Freak_Genius	1888
18	EveryonesUncle	1840
19	Spacewardharpy7	1839
20	TheShyPig	1808
21	RebelAndroid	1712
22	ToastedGamingYT	1687
23	eitanzaki	1648
24	obzii	1632
25	Comma__	1584
26	Legendosh	1504
27	Skomo	1488
27	vandmanden	1488
29	Inbefour	1456
30	Kakolbus	1424
31	Jimi7hits	1359
32	Jordan_R	1344
33	MattieHD	1280
33	Njensen7	1280
35	_Virify_	1168
36	Akoot_	1152
37	Fuad_R	1120
38	DanTheBuilderino	1031
39	FishyBoy3811	1008
40	Blaiku	992
41	CruncyIsTaken	991
42	TechnoNinja64	982
43	YungMaki	960
44	WyngGoy	912
45	Frozil12	880
46	censorsheep	848
47	jacxhadow	800
48	EcksD	784
49	thescout7	688
49	Steelynan	688
51	q_wq	672
51	gcaisawesome	672
51	kyouma777	672
51	fffMike	672
51	MilleGrug	672
56	Bandito_Roamer	656
56	_NieToksikpl_	656
56	Soplight	656
59	Hermanni__	640
60	oxfordschool	624
61	rarrq	576
61	DolphinLaugh	576
61	Eraxa	576
64	RustyKedel	560
65	xxPipperDipperxx	544
65	OfficerAnvil	544
67	Hisiste	528
68	Hanselhoof	512
68	Hoid_the_Roamer	512
68	audiocracked	512
68	Racengan	512
72	PhantomsGhost_	496
73	El_Jalapeno	480
74	The_slideV3	478
75	soundad	464
75	Typadopoulos	464
77	Ezekson	463
78	MightyWertu	448
78	TheOuterCore	448
80	Blu3beast	432
81	InfernalMound	416
81	Chromary	416
81	Snowflowe	416
84	Mowelan	400
84	awesomeoneme	400
84	Rebytre	400
84	lordpipe	400
88	cedric72	384
88	masskedman	384
88	Groundler	384
88	ReyTheLegend	384
92	gabriels543	368
92	AuroraSkies	368
92	DTwenty	368
92	pixelviolin	368
92	KingMatthew506	368
97	Bolete	352
97	Xclax101	352
97	ProbsNotNova	352
97	Quotary	352
101	pintsizedrogue	336
101	dimondking777	336
101	Dedalus36	336
101	Base_Tempest	336
101	TheThomas69	336
101	ROY4LE	336
101	Hiryu27	336
101	TheSeismicDuck	336
101	Nycteus_	336
101	tsitrawhy	336
111	T045RTY	320
111	Smashic	320
111	eviltunix	320
111	Winklepicker279	320
111	Quincannon	320
111	07shiny	320
117	Cowison	304
117	youhjjhhhjj	304
117	Megarboh	304
117	BlankityMcBlank	304
121	anbbang	290
122	TheSecondLord	288
122	12Magner05	288
124	ShedJr_	272
124	Truckoss	272
124	Nicserso	272
127	tuckerdoodle	256
127	Frxnkz	256
127	slkiey	256
127	Xalithia	256
127	CharlieButt	256
127	Rumpletaezer	256
127	ElderRifken	256
127	Sral7	256
135	Lord_Jord	246
136	Prismyst	240
136	Historical_Sand	240
136	2Stout	240
136	Arceus1975	240
136	MakeHistory157	240
141	Jovaphobic	224
141	Laykon	224
141	Rasmanden	224
141	GravitySaint	224
141	ayamefag	224
141	mawileite	224
147	kekhon	208
147	spencersolberg	208
147	Warlord324	208
147	FelixPSY375	208
151	diamondgolem35	192
151	H72l9w	192
151	_Boipl_	192
151	Drewen24	192
151	SingedBread	192
151	The_SlideV5	192
157	MyNameIsJobo	176
157	Darkgon	176
157	2blox	176
160	Froste131	160
160	Blackberry1310	160
160	Ecplosive	160
160	MinuteMira	160
160	Soap_Bender	160
160	radioactv_jelly	160
160	LetsDoItLive	160
160	Luigipunch989	160
168	joethahobo	144
168	mwrty	144
168	prizm_	144
168	Nyxiom_	144
168	kars0n	144
168	ApophisNova	144
168	fred870d	144
168	MyNamaSheff	144
168	jnp_gaming	144
177	Malorn_Aetherius	128
177	emrekn	128
177	Inchef	128
177	AlexStrange	128
177	Gryglu583	128
177	JESS_THE_RERE	128
177	stavgod	128
177	Kijiki	128
177	cichy096	128
186	Jackster03	112
186	bloodbiter	112
