rank	username	minecraft:crafted/minecraft:jungle_wood
1	Jackattack53	2543
2	Hyp3rion_	1518
3	TheSecondLord	405
4	AdmiralSmoke	327
5	noam464	213
6	Onennon	174
7	MineMaster0012	150
8	Kferno	138
9	CollinMH06	120
10	BronkerBrum	105
11	Kowcio_	99
12	joethahobo	96
13	beeperbeeper5	81
14	12Magner05	75
15	Mahoose	54
15	hanaryheatwave	54
17	Mattesco	51
18	SvenskaHugo	45
18	Jimb0nat0r	45
20	Cryptacity	42
21	Bumpy419	36
21	SaintJosie	36
23	EngagedGrub41	30
24	MyNameIsJobo	27
25	07shiny	24
26	Huwulling	21
26	RefluxRatio	21
28	Groundler	18
29	epiksk8erduck	15
29	jnp_gaming	15
31	Lekol	12
32	H72l9w	9
32	Prodiginus	9
32	xxPipperDipperxx	9
32	Airem_Core	9
32	Soplight	9
32	ConnorDanky_	9
32	PlasticOtari	9
39	Merv__	6
39	ShedJr_	6
39	Maenara	6
39	Manaateee	6
43	Mr_Byzantine	3
43	SaucyDark	3
43	Incinere	3
43	Michaelelelelele	3
43	InfernalMound	3
43	thescout7	3
43	RobotMinion101	3
43	PigDab	3
43	Inbefour	3
43	HellsSponge	3
