rank	username	minecraft:crafted/minecraft:purple_bed
1	Hyp3rion_	394
2	Mahoose	94
3	EngagedGrub41	67
4	ItsColin11	64
5	HellsSponge	62
6	Elastiq	55
7	bigstankyy	47
8	500am	25
9	Jovaphobic	23
10	TooManyDuck	20
10	Chromary	20
10	thewindmillman	20
13	Merv__	18
14	Fizznut909	17
15	ConnorDanky_	14
16	Chickenchaser2	10
17	beeperbeeper5	7
17	TheShyPig	7
17	MyNameIsDakar	7
20	TheSecondLord	6
20	MinttyFressh	6
22	pintsizedrogue	5
22	Lord_Jord	5
24	Batman922	4
24	fkGrim	4
26	Foof13	3
26	RebelAndroid	3
28	TheBiggestFeller	2
28	ROY4LE	2
28	r123moore	2
28	AnnieBathory	2
28	luseis	2
28	IdeallyGrey	2
28	Kowcio_	2
28	YungMaki	2
28	__tomato	2
28	_Dri_	2
38	hollowww	1
38	KarlKaek	1
38	SaucyDark	1
38	Wooptey	1
38	AlazelTheReal	1
38	joethahobo	1
38	heckface	1
38	Cryptacity	1
38	Smashic	1
38	Scathra	1
38	ImDisconnected_	1
38	SuperPooch06	1
38	AJplaysMC_	1
38	Parcc	1
38	Mattesco	1
38	mehen_hokker	1
38	Akoot_	1
38	duqboy	1
38	lillips	1
38	censorsheep	1
38	lolpoottoot	1
38	pixelviolin	1
38	BlankityMcBlank	1
38	Sheldor097	1
38	ThisUserIsStump	1
38	TechnoNinja64	1
