rank	username	minecraft:crafted/minecraft:magenta_wool
1	MakeHistory157	298
2	lillips	128
3	Kowcio_	96
4	PeteO1995	88
4	Werbe	88
6	Wooptey	83
7	TheEnderMan548	71
8	TheSecondLord	64
8	Njensen7	64
8	Hermanni__	64
8	ConnorDanky_	64
12	pintsizedrogue	28
12	Inbefour	28
14	Smoke____	27
15	Legendosh	24
16	Quotary	22
17	_Dean_123	19
18	beeperbeeper5	16
18	thewindmillman	16
18	lordpipe	16
21	Jokerman369	15
22	YungMaki	14
22	PlasticOtari	14
24	pixelviolin	12
24	Soplight	12
24	lcvezra	12
27	wrinkledpiglet	10
27	TheShyPig	10
29	xolstoi	7
30	Onennon	6
30	KeruNatsema	6
30	luseis	6
30	RoofTyler	6
30	SingedBread	6
35	Scathra	4
35	Maenara	4
37	Jorrdi	3
37	SmashingPump	3
37	Mahoose	3
37	KillerNekoRain	3
37	Voxin2K	3
37	tt4yy4	3
43	nocturne78	2
43	kekhon	2
43	ROY4LE	2
43	Rumpletaezer	2
43	Leyna3	2
43	KingMatthew506	2
43	Enderxz3	2
50	Hyp3rion_	1
50	fluddd	1
50	PortlyPete69	1
50	Invintic	1
