rank	username	minecraft:crafted/minecraft:magenta_wool
1	MakeHistory157	298
2	lillips	128
3	Kowcio_	96
4	PeteO1995	88
4	Werbe	88
6	Wooptey	83
7	TheEnderMan548	71
8	TheSecondLord	64
8	Njensen7	64
8	Hermanni__	64
8	ConnorDanky_	64
12	pintsizedrogue	28
12	Inbefour	28
14	AdmiralSmoke	27
15	Legendosh	24
16	Quotary	22
17	_Dean_123	19
18	beeperbeeper5	16
18	thewindmillman	16
18	lordpipe	16
21	Jokerman369	15
22	YungMaki	14
22	PlasticOtari	14
24	pixelviolin	12
24	Soplight	12
24	lcvezra	12
27	wrinkledpiglet	10
27	TheShyPig	10
29	xolstoi	7
30	Onennon	6
30	KeruNatsema	6
30	luseis	6
30	Manaateee	6
30	SingedBread	6
35	Avocadogerms	5
36	Scathra	4
36	Maenara	4
38	Jorrdi	3
38	SmashingPump	3
38	Mahoose	3
38	excelsionprime	3
38	KillerNekoRain	3
38	Voxin2K	3
38	tt4yy4	3
45	nocturne78	2
45	kekhon	2
45	ROY4LE	2
45	Rumpletaezer	2
45	Leyna3	2
45	KingMatthew506	2
45	Enderxz3	2
52	imcombxt	1
52	Hyp3rion_	1
52	fluddd	1
52	PortlyPete69	1
52	Invintic	1
