rank	username	minecraft:crafted/minecraft:purple_banner
1	beeperbeeper5	1801
2	thewindmillman	711
3	Lez_	250
4	_i_ERROR_i_	106
5	Apollo_993	72
6	Huwulling	60
7	luseis	59
8	Froste131	49
9	TheShyPig	33
10	pintsizedrogue	26
11	Merv__	23
11	Ssor69	23
13	Soplight	22
14	noam464	18
15	Touched_Bread	17
16	gustarlep	16
17	lordpipe	12
18	Fullut	11
18	ConnorDanky_	11
20	ShedJr_	10
20	ZoomieZoomie	10
22	6king6colt6	8
22	Kowcio_	8
24	diamondgolem35	6
25	Mattesco	5
26	pixelviolin	4
27	SaucyDark	3
27	NomadicRobin_	3
27	Deerfoot	3
30	Groovy_MoonBird	2
30	Mr_Byzantine	2
30	Blackberry1310	2
30	HellsSponge	2
34	Jovaphobic	1
34	Sleek_Storm_721	1
34	RatatJuice	1
34	Mahoose	1
34	MattieHD	1
34	MyNameIsJobo	1
34	ApophisNova	1
34	Lord_Jord	1
34	SingedBread	1
34	SammiWolfGirl	1
34	Luigipunch989	1
34	_3Stump_	1
34	Ezekson	1
34	MyNamaSheff	1
34	UrbanPlanningEx	1
