rank	username	minecraft:crafted/minecraft:white_dye
1	thewindmillman	331307
2	noam464	48482
3	joethahobo	28163
4	Hyp3rion_	23469
5	oxfordschool	19773
6	beeperbeeper5	17131
7	Spacewardharpy7	16277
8	Zythose	13518
9	eitanzaki	9723
10	lordpipe	8464
11	Di_infiri	7666
12	Blaiku	7356
13	Smoke____	6829
14	Jackattack53	6571
15	YungMaki	5841
16	HyperCave	5568
17	rarrq	5473
18	Marbz_	5312
19	PlasticOtari	4748
20	thescout7	4341
21	Mahoose	4139
22	Werbe	4077
23	xxPipperDipperxx	3622
24	Jiminie	3619
25	Miko_Fullbuster	3482
26	TheSecondLord	3301
27	EveryonesUncle	3087
28	Blackberry1310	3086
29	Swexti	2922
30	Ezekson	2844
31	kekhon	2636
32	EcksD	2602
33	Freak_Genius	2576
34	fred870d	2455
35	Frozil12	2431
36	DarlaMeow	2413
37	KG1999	2287
38	jnp_gaming	2031
39	Rumpletaezer	1976
40	Franco093	1963
41	Inchef	1920
42	500am	1913
43	Snowflowe	1822
44	Merv__	1803
45	MilleGrug	1792
46	ROY4LE	1784
47	bigstankyy	1776
48	Steelynan	1739
49	HellsSponge	1569
50	Avrelion	1564
51	lillips	1558
52	r123moore	1529
53	PigDab	1517
54	pintsizedrogue	1479
55	set67	1478
56	Blu3beast	1460
57	_Karmaa	1436
58	RobotMinion101	1354
59	Hiryu27	1334
60	Xalithia	1274
61	TheShyPig	1266
62	BumbleBeever	1224
63	__tomato	1208
64	RodSerlingCringe	1196
65	stavgod	1190
66	Akoot_	1175
67	Inbefour	1111
68	_k2x	1047
69	Groundler	1025
70	__Fanda__	1017
71	alderban107	1002
72	MakeHistory157	968
73	Enderslayerxz3	961
74	JEWISHBadenBeele	939
75	Hoid_the_Roamer	932
76	teslawolf38	922
77	_Dean_123	915
78	Ssor69	864
79	ImpavidArcher	836
80	PeteO1995	816
81	Dogcorn69420	772
82	Njensen7	768
83	_Virify_	757
84	titanlax	755
85	Kyrum2169	751
86	XboxPanda	733
87	Chromary	711
88	T045RTY	710
89	cedric72	704
90	NameGenerat0r	703
91	himak1	702
92	NomadicRobin_	685
93	Sral7	682
94	Onennon	671
95	MyNameIsJobo	667
96	Quotary	665
97	Soplight	650
98	sp00ky_ghost977	639
99	Zoeyfortnite	631
100	mwrty	616
101	TechnoNinja64	613
102	jushykins	612
103	Mewar	606
104	Legendosh	603
105	diamondgolem35	594
106	surfinggiraffejp	583
107	Hyugo	576
108	beeleg	568
109	CollinMH06	531
110	CoffeeNoir	529
111	Arceus1975	526
112	Incinere	524
113	SuperPooch06	518
114	SkateboardR6	512
115	Syropatathe	507
116	Racengan	494
117	Drlzyy	490
118	obzii	478
119	ApophisNova	472
119	MyNamaSheff	472
121	Kowcio_	455
122	ssleepless	453
123	m_be9	445
124	claivin	421
125	Groovy_MoonBird	416
126	stellarjay	402
127	Comma__	399
127	Sheldor097	399
129	Sky_light_KING	394
130	yulgur1	389
131	Iagoku	388
132	Lord_Jord	386
133	ProfessorBee	377
133	Windo_licker	377
135	The_slideV3	376
136	Menthas	362
136	12Magner05	362
138	Xovalt_	355
139	_Bguette_	352
139	EcksDofficial	352
141	M_Patata	348
142	MasterNueve	347
143	NLKBuilder	342
144	Winklepicker279	341
145	Kakolbus	335
146	1442	326
147	audiocracked	317
148	Deathkob	313
149	Skippeh	293
150	XxCookiequeenxX	289
151	MattieHD	288
152	LordSpeed37	281
153	MightyWertu	267
154	fluddd	264
155	nataliecool	256
156	SpookyDraggin	252
157	ShedJr_	249
158	AssFullaCum	243
159	JESS_THE_RERE	240
160	Powowowow	238
161	Dan_Scha	226
162	chipklip	224
163	LexMakesHistory	212
164	Lutres_Torane	209
165	RebelAndroid	205
166	Hermanni__	202
167	pixelviolin	198
168	egglapras	197
168	ibarker21	197
168	Fuad_R	197
168	CalebDHawk	197
172	Maenara	196
173	Yatitay	192
173	Paintz	192
173	WET_WET_WET	192
173	MousePlays	192
173	Quincannon	192
173	El_Jalapeno	192
173	WyngGoy	192
180	Euclidoris	190
180	bloodbiter	190
182	Alteriity	189
183	NinjaKnifeKill	186
184	Truckoss	183
185	anbbang	182
186	Darkgon	178
187	h2p_emrld	177
188	ProbablyNick	176
189	Eraxa	174
190	groofles	172
191	Rich_Kat	169
191	TheTrueClipse	169
193	ExtraDumb	165
193	Winston_Ingram	165
195	EMC_	163
196	Steven1282598	161
197	Dusk_95	160
198	q_wq	158
199	Jeteight	156
200	Bumpy419	153
201	iHuntWeeaboos	150
202	Leyna3	149
203	Tobinator_007	145
204	kinas45y5	136
204	JayToe	136
206	MyNameIsDakar	135
206	AltnumberF4	135
208	stahouo	132
209	BlankityMcBlank	129
210	felincaus	128
210	YoshikageBites	128
212	Huwulling	126
213	Fullut	125
214	SingedBread	123
215	Historical_Sand	119
216	Awyrlas	115
216	ZoomieZoomie	115
218	lcvezra	114
218	mawileite	114
220	oreee	113
221	SellyZ	111
222	Xclax101	110
223	jimintyy	108
224	Motsaro	105
224	wobn	105
224	Luigipunch989	105
227	Kubelz	103
228	SaucyDark	102
229	theonlymagikarp	101
230	The11thDoctor	99
231	Karbl	97
232	6king6colt6	96
233	Cryptacity	93
234	LeauVox4921	91
235	loveseeker	90
236	RoskobiOne	87
236	GLLogan2	87
238	Diavri	84
238	_TCARREIRA_	84
240	MrExplorer	83
241	burbankbuilder28	82
242	Kubeusz2010	80
243	Shin69	79
244	UrbanPlanner1978	77
245	Deodorante	75
246	starbits140	74
247	Elprone266	73
247	Quaintster	73
249	Tommhh	72
249	nocturne78	72
251	Jovaphobic	71
251	PhantomsGhost_	71
251	Ozixar	71
254	Natty	69
254	epiksk8erduck	69
254	ogoa	69
257	KingMatthew506	68
258	TheSeismicDuck	67
258	Cocoamallows	67
260	youhjjhhhjj	65
260	Fildyr	65
260	Airem_Core	65
260	SSytex_X	65
260	RadarHz	65
265	NotTrixi	64
265	eiC_	64
265	Kars_Requiem	64
265	Decaying_Lotus	64
265	PlzNoBM	64
265	TheOuterCore	64
271	_naturell	63
271	MissCeleste7	63
273	jacxhadow	59
274	Reamdin	57
274	NoChumpChange	57
276	HollieDaNugget	56
276	AlphaWolfPlaysMC	56
276	PortlyPete69	56
279	John6970	55
279	Barlycorn	55
281	SammiWolfGirl	52
282	Wowful	51
283	TheBiggestFeller	48
283	Mr_Byzantine	48
283	Ze_BaronKrigler	48
283	Slapface522	48
287	pappaberg	46
288	BlancoFlaco	45
288	Enigma0251	45
288	GoofyBread	45
288	fffMike	45
292	StinkyDiplomat	44
293	Stynxy	43
293	MinttyFressh	43
293	AlexxO_o	43
293	RoboTramp7865	43
297	Smashic	42
297	Zaridey	42
297	xo_Marren_xo	42
297	Blamphe	42
