rank	username	minecraft:crafted/minecraft:netherite_scrap
1	Enderslayerxz3	1346
2	Dedalus36	1145
3	NomadicRobin_	943
4	Smoke____	652
5	TheSecondLord	603
6	bigstankyy	518
7	set67	342
8	Winklepicker279	340
9	500am	287
10	thewindmillman	235
11	RadarHz	210
12	beeperbeeper5	203
13	BlancoFlaco	184
14	Racengan	173
15	EcksD	158
16	PortlyPete69	144
17	_NieToksikpl_	142
18	KG1999	140
19	Hyp3rion_	138
19	Skylord_Luke	138
21	MinttyFressh	123
22	kekhon	118
23	YungMaki	117
24	SingedBread	116
25	bloodbiter	112
26	Strangemonkey71	109
27	mwrty	105
28	noam464	102
29	_Virify_	96
30	Nicky_H225	95
30	Nycteus_	95
32	Drlzyy	80
32	T045RTY	80
32	HolyVenom	80
32	SammiWolfGirl	80
36	NinjaKnifeKill	78
36	PigDab	78
36	EveryonesUncle	78
39	SkateboardR6	74
40	livingdaydreams	73
41	rarrq	72
42	SuperPooch06	71
43	AuroraValkyrie	70
44	JEWISHBadenBeele	69
44	12Magner05	69
46	Spacewardharpy7	67
47	gabriels543	66
48	Natofthese	63
48	jacxhadow	63
48	diggydog67	63
51	Z3braYTIL	58
52	monky_irl	57
53	CoffeeNoir	56
53	joethahobo	56
55	Wooptey	53
55	TheEnderman548	53
57	Hpdinosaur	52
57	RebelAndroid	52
59	egglapras	51
59	ROY4LE	51
61	eitanzaki	50
62	r123moore	49
62	Kakolbus	49
64	Zythose	47
65	M_Patata	46
65	MasterNueve	46
67	King_Pancake1	45
67	Ezekson	45
69	SvenskaHugo	43
70	DarkS0L	42
70	Dusk_95	42
72	Frozil12	41
72	jnp_gaming	41
74	JohnnyFyes	40
74	MSK__	40
74	jushykins	40
74	__TheNorseMan__	40
74	Lord_Jord	40
74	fluddd	40
74	MakeHistory157	40
74	Ze_BaronKrigler	40
74	07shiny	40
74	HesDemonPants	40
84	Legendosh	39
85	Jovaphobic	38
85	SteveWithClout	38
85	pappaberg	38
88	pintsizedrogue	37
88	nataliecool	37
88	error10101	37
88	PuFY	37
92	Incinere	36
92	jiggywraps	36
92	KartivGal	36
92	NoChumpChange	36
92	Blaiku	36
92	MissCeleste7	36
98	DeGodz4life	35
98	sp00ky_ghost977	35
98	Miko_Fullbuster	35
101	Xalithia	34
101	MeetTheWollo	34
103	Myszoaz	33
103	KnightmareD	33
103	Razzgriz	33
103	AltnumberF4	33
107	censorsheep	32
108	paranoid_plant	31
108	Marbz_	31
108	Erased_Identity	31
111	djancak	30
112	Steven1282598	29
113	TheDankPlatypus	28
113	fred870d	28
115	hm947	27
116	Wolf_Mauler_73	26
116	UltraZombie	26
118	VentiHilton	25
119	I_Am_Mushkin	24
119	Blackberry1310	24
119	CyrusIsTired	24
119	yulgur1	24
119	Eraxa	24
119	Dreamdbr14	24
125	littlesophiagirl	22
125	q_wq	22
127	CollinMH06	21
127	Kubeusz2010	21
129	ShedJr_	20
129	gaziter10	20
129	Rocco_Lane	20
129	TheShyPig	20
129	KeruNatsema	20
129	Deathkob	20
129	LordBlaze11	20
129	Kowcio_	20
129	tartanboy	20
138	Krasnal1337	19
138	_Razar	19
138	The_Fulgurator	19
138	remmisrat	19
142	NotTrixi	18
142	CharlieButt	18
142	fffMike	18
145	Groovy_MoonBird	17
145	Sleek_Storm_721	17
145	DarlaMeow	17
148	Kkanot	16
148	ReverendSmith	16
148	Airem_Core	16
148	GlitchyPlate810	16
152	Leyna3	15
152	DanTheBuilderino	15
152	Quotary	15
155	Yatitay	14
155	SquadMonster	14
155	Di_infiri	14
155	Snowflowe	14
159	TAKrules	13
159	Swexti	13
159	HellsSponge	13
159	_Karmaa	13
159	YoshikageBites	13
164	Cowison	12
164	Historical_Sand	12
164	CliffEmAll	12
164	YungJakobo	12
164	Inchef	12
164	XboxPanda	12
164	whoaluv	12
164	Chromary	12
164	Arceus1975	12
164	Maenara	12
164	ogoa	12
164	Nagasaki_Riku	12
176	MangoTheFish	11
176	HAIRYCLOUD626	11
176	pixelviolin	11
179	pumpfonzo	10
179	FishyBoy3811	10
179	MAns_44	10
179	ProfessorDiaper	10
179	hdtpm	10
184	soundad	9
184	Boboczus	9
184	mexicancharlie	9
184	CalebDHawk	9
188	Paint	8
188	Awyrlas	8
188	LotusProject	8
188	Werbe	8
188	xo_Marren_xo	8
188	gustarbite	8
188	MyNameIsDakar	8
188	AssEatrAndLicker	8
188	stahouo	8
197	Joestra	7
197	chipklip	7
197	striker90333	7
200	Nach0Bear	6
200	xxPipperDipperxx	6
200	brofrickcheaters	6
203	Keith_Stark	5
203	Hail_the_wombat	5
203	RodSerlingCringe	5
203	Winston_Ingram	5
203	oxfordschool	5
203	EcksDofficial	5
209	MixerDixer	4
209	Flores991	4
209	Myrlewen	4
209	xPixelRainx	4
209	gcaisawesome	4
209	lizardfightclub	4
209	Akoot_	4
209	GlitchMixed	4
209	claivin	4
209	the__Reaper4999	4
209	WyngGoy	4
209	ZoharGoldMine	4
209	Luigipunch989	4
209	obzii	4
209	Eczbek	4
209	FishisTTV	4
225	ratglock	3
225	noodlepack	3
225	mimbo1211	3
225	jcool7	3
229	strongman951753	2
229	chimpmunker	2
229	Freak_Genius	2
229	Spenduh	2
229	MilleGrug	2
229	PlasticOtari	2
235	Syropatathe	1
235	CACTUSLAD	1
235	Njensen7	1
235	Hylo482y	1
235	WYFYoyo	1
