rank	username	minecraft:crafted/minecraft:sugar
1	TechnoNinja64	28956
2	kekhon	16106
3	Lez_	14766
4	fade_emerge78823	10427
5	Inbefour	10276
6	ApophisNova	5266
6	MyNamaSheff	5266
8	Akoot_	4688
9	noam464	4683
10	Hyp3rion_	3557
11	teslawolf38	3474
12	KingMatthew506	2873
13	pintsizedrogue	2623
14	Deodorante	2432
15	SammiWolfGirl	2151
16	Spacewardharpy7	2078
17	jushykins	1962
18	Huwulling	1728
18	Zoeyfortnite	1728
20	H72l9w	1713
21	xxPipperDipperxx	1574
22	sp00ky_ghost977	1522
23	Mahoose	1511
24	Mr_Byzantine	1455
25	Jackattack53	1441
26	PhantomsGhost_	1297
27	thewindmillman	1176
28	UrbanPlanningEx	1034
29	surfinggiraffejp	1024
30	luseis	938
31	Fullut	917
32	Blackberry1310	909
33	starbits140	825
34	GooseWithin	784
35	bloodbiter	778
36	EMC_	751
37	skrongus	718
38	Skylord_Luke	704
39	joethahobo	688
40	Di_infiri	653
41	Badenbeele	646
42	Tolhart	615
43	6king6colt6	591
44	beeperbeeper5	589
45	Powowowow	586
46	ougstur	578
47	Spenduh	577
48	Arceus1975	558
49	EveryonesUncle	529
50	Ezekson	526
51	yheece	524
52	cedric72	512
53	ConnorDanky_	503
54	_Boipl_	469
55	MakeHistory157	466
56	PortlyPete69	462
57	HellsSponge	453
58	Groovy_MoonBird	451
59	IamCL4SSY	448
60	Ssor69	447
61	bigstankyy	442
62	TheSecondLord	426
63	CliffEmAll	398
63	ProfessorBee	398
65	titanlax	396
66	500am	394
67	IAmTheWalrus910	386
68	eitanzaki	352
69	MineMaster0012	348
70	Tyrannosplart	322
71	Doom_melon	321
72	Snowflowe	311
73	Typadopoulos	301
74	eviltunix	276
75	Auseawesome	270
76	Smashic	267
77	Blu3beast	260
78	TheTrueClipse	257
79	Vorlice	256
80	Killercatty78	254
81	lordpipe	252
82	AdmiralSmoke	247
83	Prodiginus	242
84	Kowcio_	240
85	YungMaki	208
86	SingedBread	207
87	NormanFetus	200
88	k_ce	199
89	ECstardust	196
90	thescout7	195
91	Hoid_the_Roamer	193
92	XxCookiequeenxX	192
92	fkGrim	192
92	MoogMush	192
92	__Auspicious	192
92	mihimihimihi	192
97	Enderxz3	191
98	corpsecity	189
99	m_be9	181
