rank	username	minecraft:broken/minecraft:bow
1	Kamflame10	10
2	Ezekson	7
3	eviltunix	5
3	El_Jalapeno	5
5	Euclidoris	4
5	Blackberry1310	4
5	gcaisawesome	4
5	Blaiku	4
5	SingedBread	4
10	noam464	3
10	YungMaki	3
10	Smoke____	3
13	pintsizedrogue	2
13	Merv__	2
13	eitanzaki	2
13	TheDiamondCG	2
13	Marbz_	2
13	fr_ser	2
13	Onennon	2
13	FreakGenius	2
13	GravitySaint	2
13	Spacewardharpy7	2
13	RealGroot	2
13	lcvezra	2
13	annoyingenderman	2
13	ConnorDanky_	2
13	h2p_emrld	2
28	Groovy_MoonBird	1
28	CadenSteele	1
28	soundad	1
28	Tommhh	1
28	EMC_	1
28	ImNotYuqii	1
28	ImpavidArcher	1
28	Furiuosbeast0404	1
28	Batman922	1
28	Reamdin	1
28	Jackster03	1
28	tsohomie	1
28	joethahobo	1
28	H72l9w	1
28	QuiCreans	1
28	Ssor69	1
28	rarrq	1
28	picardred	1
28	NieToksikpl	1
28	TheSecondLord	1
28	bloodbiter	1
28	12Magner05	1
28	Megarboh	1
28	500am	1
28	BilboBaggins23	1
28	redikul	1
28	Tmb1	1
28	set67	1
28	mwrty	1
28	ciemacigans	1
28	mimbo1211	1
28	drunkeeez	1
28	M_Patata	1
28	Zaridey	1
28	breadbowlgamer	1
28	thatbeanyboi	1
28	Rumpletaezer	1
28	thewindmillman	1
28	Zythose	1
28	Silvo614	1
28	_Boipl_	1
28	CrateOfBoxes	1
28	Azmodan_246	1
28	TheWildMateo	1
28	seramalen	1
28	Invisie	1
28	Luminad3	1
28	KliBeast21	1
28	SaintJosie	1
28	Akoot_	1
28	luseis	1
28	IsabellasOF	1
28	Tyrannosplart	1
28	Fuad_R	1
28	Quaintster	1
28	bluefragmentt	1
28	FlashMigma	1
28	Blu3beast	1
28	Nycteus_	1
28	Fildyr	1
28	THEKINGLyric10	1
28	MovingFish7	1
28	MasterNueve	1
28	WyngGoy	1
28	MakeHistory157	1
28	Optiprimus	1
28	sleepdrifter_	1
28	pixelviolin	1
28	BlankityMcBlank	1
28	UCP_TheKingK	1
28	Soplight	1
28	brofrickcheaters	1
28	infiniteQuery	1
28	CalebDHawk	1
28	_Wannabe_	1
28	Kubeusz2010	1
28	amkold	1
28	anbbang	1
28	Iamthejo	1
28	QueenOfDirt	1
28	Jimb0nat0r	1
28	NoobyandApple	1
28	Kateesaur	1
