rank	username	minecraft:broken/minecraft:iron_boots
1	ooga47	7
2	whoaluv	6
2	cedric72	6
2	Meatlaugh	6
2	Smoke____	6
6	KarlKaek	5
6	SaintJosie	5
6	Njensen7	5
6	jnp_gaming	5
10	livingdaydreams	4
10	CoffeeNoir	4
10	Paintz	4
10	Corbsman	4
10	sufjanlover	4
10	Deathkob	4
10	Tyrannosplart	4
10	DanTheBuilderino	4
10	monky_irl	4
10	RadarHz	4
20	bigstankyy	3
20	ExtraDumb	3
20	Batman922	3
20	Natty	3
20	tramizu	3
20	rarrq	3
20	Notta	3
20	corvidpartyfor6	3
20	noam464	3
20	PeteO1995	3
20	Arceus1975	3
20	J4ko8_	3
20	thgrocks	3
20	yulgur1	3
20	El_Jalapeno	3
20	Racengan	3
20	MS_Pryxx	3
20	WyngGoy	3
20	Razzgriz	3
20	Kura2218	3
20	Decaying_Lotus	3
20	YungMaki	3
20	djancak	3
20	Vellu21	3
20	anbbang	3
20	xolstoi	3
20	WYFYoyo	3
47	H0UNDFRMH3LL	2
47	pintsizedrogue	2
47	SyK7	2
47	dudcreeper	2
47	Mowelan	2
47	dabloons	2
47	rachcl	2
47	Esme_1	2
47	BlancoFlaco	2
47	Paleshield	2
47	HollieDaNugget	2
47	ShedJr_	2
47	MOSS000	2
47	H72l9w	2
47	IWorkAtIkea	2
47	Sleepy_Time_	2
47	beeperbeeper5	2
47	QuiCreans	2
47	Ssor69	2
47	cheerytomato	2
47	jacxhadow	2
47	Ardennes	2
47	_Dean_123	2
47	AngalexikCZ	2
47	Motsaro	2
47	himak1	2
47	eviltunix	2
47	intropass	2
47	platinumzero	2
47	drunkeeez	2
47	M_Patata	2
47	trixterrx	2
47	SuperPooch06	2
47	AJplaysMC_	2
47	_Boipl_	2
47	RyuNeko932000	2
47	Felenov	2
47	The11thDoctor	2
47	_Cloverbelle_	2
47	lizardfightclub	2
47	Leyna3	2
47	Elastiq	2
47	TheSeismicDuck	2
47	masskedman	2
47	avalan64	2
47	handsome_strong	2
47	Bismarck_KMS	2
47	FreakGenius	2
47	Blu3beast	2
47	marumochis	2
47	MightyWertu	2
47	RedcatVII	2
47	BumbleBeever	2
47	LordAurum	2
47	Warlord324	2
47	SkateboardR6	2
47	MasterNueve	2
47	SvenskaHugo	2
47	Kowcio_	2
47	bloomkieren	2
47	MineMaster0012	2
47	tsitrawhy	2
47	xzvu	2
47	Deguns123	2
47	DennyKai	2
47	CalebDHawk	2
47	Skippeh	2
47	EcksD	2
47	RoboTramp7865	2
47	JayToe	2
47	MelodyGaysharks	2
118	gary_	1
118	Alexanderjac	1
118	SaltineDream	1
118	weezygator	1
118	Groovy_MoonBird	1
118	seanitoo	1
118	NatalieTW	1
118	Mr_Byzantine	1
118	Travasaur	1
118	FazeObama69	1
118	Jalvajar	1
118	RoskobiOne	1
118	fanofbands101	1
118	Cowison	1
118	soundad	1
118	ItsColin11	1
118	hollowww	1
118	pZygh0st	1
118	jspwn	1
118	teslawolf38	1
118	shineh10	1
118	q_wq	1
118	KingFaenor	1
118	Ilinca_Io	1
118	6king6colt6	1
118	Sleek_Storm_721	1
118	I_Am_Mushkin	1
118	chimpmunker	1
118	TheMilkerOfCats	1
118	Iagoku	1
118	IronArshXS	1
118	SaucyDark	1
118	Lukeee33	1
118	TooManyDuck	1
118	Allchemy	1
118	RatatJuice	1
118	tuckerdoodle	1
