rank	username	minecraft:mined/minecraft:red_nether_brick_stairs
1	k_ce	1290
2	Legendosh	378
3	kekhon	347
4	m_be9	215
5	FreakGenius	102
6	himak1	66
7	ooga47	61
8	TheShyPig	30
9	doublemaki	27
10	Marbz_	18
10	Kowcio_	18
12	Spaghettatron	16
13	Eraxa	15
13	jnp_gaming	15
15	beeperbeeper5	14
15	noam464	14
15	thewindmillman	14
18	rarrq	13
18	ApophisNova	13
18	MyNamaSheff	13
21	Yamdalorian	12
22	_Dean_123	11
23	master9067	10
24	Sral7	9
25	stavgod	8
26	Snowflowe	7
26	The_slideV3	7
26	Blu3beast	7
29	Lez_	6
30	livingdaydreams	5
30	Vorlice	5
32	Mr_Byzantine	4
32	Soplight	4
34	pintsizedrogue	3
34	shineh10	3
36	Bandito_Roamer	2
36	Merv__	2
36	2Stout	2
36	es0th	2
40	Caribouse	1
40	heckface	1
40	Fullut	1
40	Manaateee	1
40	wwwwinnebagoooo	1
40	h2p_emrld	1
