rank	username	minecraft:mined/minecraft:bee_nest
1	Rebytre	128
2	Smoke____	126
3	TheSecondLord	91
4	Fullut	87
5	EMC_	56
6	MangoTheFish	55
6	Eczbek	55
8	00000000-0000-0000-0009-01ff0c3e5e4f	52
9	Freak_Genius	51
10	PortlyPete69	48
10	PlasticOtari	48
12	joethahobo	39
12	MightyWertu	39
14	masskedman	36
15	noam464	35
16	eitanzaki	32
17	Di_infiri	31
18	Kakolbus	30
18	Spacewardharpy7	30
20	Legendosh	28
21	claivin	26
21	lordpipe	26
23	thewindmillman	25
23	Steelynan	25
25	Awyrlas	24
25	sp00ky_ghost977	24
27	500am	23
27	Enderslayerxz3	23
29	pintsizedrogue	22
30	Mahoose	21
30	Prismyst	21
32	xxPipperDipperxx	20
32	diggydog67	20
34	AlexxO_o	18
35	_stets	17
36	Blackberry1310	16
36	MyNameIsJobo	16
36	Jackattack53	16
36	jnp_gaming	16
40	YungMaki	15
41	M_Patata	14
41	Kouridragon	14
41	MasterNueve	14
44	prizm_	13
45	Sleek_Storm_721	12
45	MSK__	12
45	beeperbeeper5	12
45	Nicky_H225	12
45	Xalithia	12
45	Nicserso	12
51	Vizzoid	11
52	Menthas	10
52	RebelAndroid	10
52	gabriels543	10
52	Skylord_Luke	10
52	ToastedGamingYT	10
57	hm947	9
57	kekhon	9
57	Onennon	9
57	groofles	9
57	Blaiku	9
57	Kubeusz2010	9
63	Wowful	8
63	AssFullaCum	8
63	djancak	8
66	Cowison	7
66	ImpavidArcher	7
66	jacxhadow	7
66	Covalents	7
66	pixelviolin	7
66	trexgb	7
72	Jovaphobic	6
72	Ryker	6
72	LeauVox4921	6
72	burbankbuilder28	6
72	wezzzi	6
72	NomadicRobin_	6
72	Deathkob	6
72	KingMatthew506	6
72	Skippeh	6
72	2blox	6
72	WYFYoyo	6
83	Alteriity	5
83	bloodbiter	5
83	egglapras	5
83	ApophisNova	5
83	_naturell	5
83	DTwenty	5
83	Segotep999	5
83	Sheldor097	5
83	MyNamaSheff	5
92	Groovy_MoonBird	4
92	PhantomsGhost_	4
92	RatatJuice	4
92	CoffeeNoir	4
92	Scathra	4
92	mwrty	4
92	Arceus1975	4
92	KnightmareD	4
92	XxCookiequeenxX	4
92	EveryonesUncle	4
92	KlausVonStiglitz	4
92	Fuad_R	4
92	Nycteus_	4
92	07shiny	4
92	SvenskaHugo	4
92	SammiWolfGirl	4
92	EcksD	4
92	Lowjinx	4
110	Drlzyy	3
110	6king6colt6	3
110	BlancoFlaco	3
110	T045RTY	3
110	Shazzyling	3
110	rarrq	3
110	12Magner05	3
110	MrExplorer	3
110	Inchef	3
110	ROY4LE	3
110	r123moore	3
110	Kubelz	3
110	Snowflowe	3
110	BRRRN179	3
110	Cattoh	3
110	lizardfightclub	3
110	RodSerlingCringe	3
110	Maenara	3
110	AuroraSkies	3
110	chipklip	3
110	DarlaMeow	3
110	monky_irl	3
110	HesDemonPants	3
133	teslawolf38	2
133	tuckerdoodle	2
133	SyntheticSurgeon	2
133	NinjaKnifeKill	2
133	Historical_Sand	2
133	Da_Boss_Rani	2
133	Ozixar	2
133	_Dean_123	2
133	set67	2
133	LotusProject	2
133	orxngejuice	2
133	2Stout	2
133	Minecraftmad687	2
133	Queen_Jalapeno	2
133	andy_rex	2
133	Silvo614	2
133	Werbe	2
133	fred870d	2
133	Vetral1	2
133	Huic_ostiarius	2
133	Akoot_	2
133	aldplaysmc	2
133	Jiminie	2
133	MAns_44	2
133	Blu3beast	2
133	Cyntrical	2
133	Racengan	2
133	Dusk_95	2
133	Eraxa	2
133	KG1999	2
133	Spenduh	2
133	microcrisp	2
133	Luigipunch989	2
133	Dogcorn69420	2
133	Hermanni__	2
133	RadarHz	2
133	FelixPSY375	2
133	Zoeyfortnite	2
133	_Dri_	2
172	Mr_Byzantine	1
172	Ze1ig	1
172	soundad	1
172	Merv__	1
172	DiscardedCE	1
172	Begformurrcy	1
172	Dedalus36	1
172	Saltymart	1
172	Incinere	1
172	Homokappa	1
172	Os_qq	1
172	Lez_	1
172	Myszoaz	1
172	CedeMC	1
172	Freebolt	1
172	Swexti	1
172	IWorkAtIkea	1
172	Sleepy_Time_	1
172	Alfred603	1
172	FirsTimeGamingTV	1
172	Valoth	1
172	Khelvoryk	1
172	titanlax	1
172	CliffEmAll	1
172	BobDeBouwer1337	1
172	MinttyFressh	1
172	TheThomas69	1
172	shyshyannne	1
172	Z3braYTIL	1
172	Hoshi	1
172	Diavri	1
172	HypixelForums	1
172	CharlieButt	1
172	PeteO1995	1
172	Winklepicker279	1
172	mariominejedi	1
172	CollinMH06	1
172	Marbz_	1
172	StarPlanetMoon	1
172	Hyp3rion_	1
172	S4tox	1
172	Prayingninja	1
172	Flucxks	1
172	TheWildMateo	1
172	wilgot_	1
172	ooga47	1
172	Moofyman	1
172	Jonte0599	1
172	TheShyPig	1
172	KeruNatsema	1
172	YahooScreen9000	1
172	MrQuanQuan	1
172	Inbefour	1
172	Syropatathe	1
172	lillips	1
172	DarkS0L	1
172	HellsSponge	1
172	_Karmaa	1
172	Quaintster	1
172	501g	1
172	EfficientC52	1
172	El_Jalapeno	1
172	SkateboardR6	1
172	NotMeowMix	1
172	HeyGoat	1
172	Airem_Core	1
172	TheTommyGun63	1
172	Xovalt_	1
172	CheifJumbo	1
172	Ze_BaronKrigler	1
172	SexcMf	1
172	CSG_Haru	1
172	TheEnderman548	1
172	IdeallyGrey	1
172	BlankityMcBlank	1
172	EtherealEspresso	1
172	fffMike	1
172	Kferno	1
172	TheALV	1
172	K_a__a_n	1
172	VentiHilton	1
172	tartanboy	1
172	mobunni	1
172	Ezekson	1
172	oxfordschool	1
172	Quotary	1
172	cichy096	1
172	GigiDuru	1
172	AstroLightz_	1
172	JasmineGK	1
172	momis24	1
172	kinas45y5	1
172	EcksDofficial	1
172	Teebone15	1
172	remmisrat	1
172	h2p_emrld	1
172	Freedrik	1
172	00000000-0000-0000-0009-01fbab7ea71d	1
172	00000000-0000-0000-0009-01f898304150	1
