rank	username	minecraft:mined/minecraft:nether_wart
1	Snowflowe	8778
2	MilleGrug	8213
3	lordpipe	7606
4	TechnoNinja64	6183
5	Legendosh	5096
6	TheShyPig	4857
7	himak1	2979
8	ApophisNova	2878
8	MyNamaSheff	2878
10	Freak_Genius	2508
11	noam464	2470
12	thewindmillman	2099
13	Hyp3rion_	1955
14	kekhon	1684
15	Smoke____	1536
16	eiC_	1503
17	Xclax101	1433
18	ooga47	1381
19	pintsizedrogue	1233
20	bloodbiter	1221
21	eitanzaki	1118
22	m_be9	1086
23	Lord_Jord	985
24	ProfessorBee	901
25	Arceus1975	866
26	ZeroKraken	856
27	beeperbeeper5	844
28	El_Jalapeno	842
29	PigDab	800
30	Vorlice	693
31	Blu3beast	660
32	DarlaMeow	659
33	RoskobiOne	644
33	lizardfightclub	644
35	rarrq	623
36	fluddd	620
37	EMC_	571
38	6king6colt6	570
39	YungMaki	558
40	Soplight	542
41	fallingemma	526
42	claivin	460
43	Eraxa	452
44	TheSecondLord	440
45	SammiWolfGirl	428
46	HellsSponge	411
47	Bandito_Roamer	396
48	Merv__	372
49	Rumpletaezer	371
50	Kakolbus	363
51	Di_infiri	356
52	Eczbek	345
53	Blackberry1310	339
54	Lowjinx	327
55	mwrty	326
56	Hoid_the_Roamer	316
57	TheOnlyRake	312
58	Marbz_	302
59	brofrickcheaters	286
60	Dogcorn69420	276
61	Blaiku	267
62	EveryonesUncle	255
63	Steelynan	226
64	wezzzi	224
65	Awyrlas	206
66	RobotMinion101	202
67	BuildTheGondola	198
68	Luigipunch989	190
69	Ezekson	189
70	Winston_Ingram	188
71	Maenara	187
71	Hisiste	187
73	KomputerDude	186
74	Fullut	185
74	FishisTTV	185
76	_Nuf	184
76	Paintz	184
76	_AAZAR	184
76	Sral7	184
80	ori0le	182
81	Chazinat0r	181
82	crying_wolf_13	178
83	Akoot_	177
84	JayToe	176
85	Nicserso	173
86	DScatgirls	165
87	UCP_TheKingK	162
88	EcksD	160
89	xxPipperDipperxx	158
90	joethahobo	150
90	Lord_Lollo	150
92	eviltunix	147
93	Inbefour	146
94	Ssor69	144
95	set67	140
96	Racengan	133
97	RebelAndroid	131
98	IEatBooty	130
98	stavgod	130
100	Njensen7	123
101	OfficerAnvil	122
102	FirsTimeGamingTV	118
103	Hiryu27	115
104	Ardennes	114
105	CoffeeNoir	113
105	AlphaWolfPlaysMC	113
107	ROY4LE	112
108	ItsAki_	107
109	luckykill123	106
109	EcksDofficial	106
111	master9067	104
112	H72l9w	101
112	Kynigito	101
114	SuperPooch06	98
114	mawileite	98
116	ratglock	97
117	awesomeoneme	96
117	CaptainDeadBread	96
119	Jovaphobic	95
119	Groovy_MoonBird	95
119	Euclidoris	95
122	Inchef	94
122	Quaintster	94
124	Myszoaz	93
125	DeGodz4life	92
126	ehunt54	91
127	egglapras	90
128	Paint	88
129	kinas45y5	87
130	Zythose	86
131	Smashic	85
132	UncreativeArtist	83
132	loveseeker	83
134	Auseawesome	80
134	SSytex_X	80
136	MAns_44	77
136	33sudo	77
138	301851	76
139	Sheldor097	72
140	TooManyDuck	68
140	zorin123	68
142	surfinggiraffejp	67
142	2blox	67
144	Fildyr	66
145	MattieHD	65
145	Fuhrer_Teemo	65
145	djancak	65
148	PhantomsGhost_	64
148	MSK__	64
148	RadarHz	64
151	monky_irl	62
152	dudcreeper	61
152	pixelviolin	61
154	Cryptacity	60
154	Kubelz	60
154	RodSerlingCringe	60
154	Groundler	60
154	Zetsey	60
154	_TCARREIRA_	60
154	tartanboy	60
161	Batoser	59
162	Ailmast	55
162	gabriels543	55
162	Queen_Jalapeno	55
165	AnnieBathory	54
165	Sky_light_KING	54
165	chipklip	54
168	Barlycorn	53
169	KatieBelle04	52
170	Vizzoid	50
170	__tomato	50
172	LetsDoItLive	49
173	milkedit	47
173	sp00ky_ghost977	47
175	fred870d	46
175	Skippeh	46
177	Houstonion	45
178	ivorico	44
178	Mahoose	44
180	Lutres_Torane	42
181	GoofyBread	41
182	Ryker	40
182	livingdaydreams	40
182	youhjjhhhjj	40
182	IWorkAtIkea	40
182	Unitas_isa	40
182	500am	40
182	Tmb1	40
182	Zaridey	40
182	masskedman	40
182	fkGrim	40
182	Quincannon	40
182	SingedBread	40
182	07shiny	40
182	SvenskaHugo	40
182	vandmanden	40
197	JingleLizi	39
197	Stynxy	39
197	BilboBaggins23	39
197	popcanter	39
197	drumine	39
197	Spacewardharpy7	39
203	Tolhart	38
204	Digcove	37
204	ABUSNA1996	37
206	DarkFisto	35
206	Apicomplexa	35
208	Cerbric	33
208	Leyna3	33
208	Jiminbub	33
208	1442	33
208	Segotep999	33
213	ShedJr_	32
214	MyNameIsJobo	31
214	Kouridragon	31
214	Ender_Souls	31
214	HolyVenom	31
214	censorsheep	31
214	Professor_x8	31
214	h2p_emrld	31
221	Sleek_Storm_721	30
221	tramizu	30
221	Nyxiom_	30
221	KnightmareD	30
221	audiocracked	30
221	MyNameIsDakar	30
221	Dusk_95	30
221	mobunni	30
229	gaziter10	29
229	Donutt	29
229	GravitySaint	29
229	NotMeowMix	29
233	Comma__	28
233	wiqor	28
233	120s	28
233	Hermanni__	28
237	sea_otter_h	27
238	MrExplorer	26
239	shyshyannne	25
239	_Dean_123	25
239	tobinwilliams	25
239	stijnbro	25
239	laron58	25
244	Historical_Sand	24
244	cog	24
244	Enderslayerxz3	24
244	Yahrto	24
248	SlowMoNinja1994	23
248	SquashyHydra	23
248	LeeMcGee30	23
251	Cowison	22
251	Guillemet	22
251	SeverianTheLame	22
251	andy_rex	22
251	Kijiki	22
251	5712	22
257	TAKrules	21
257	marumochis	21
257	trexgb	21
260	eotzuca	20
260	CliffEmAll	20
260	Mewar	20
260	SharpDev	20
260	AJplaysMC_	20
260	selectrix	20
260	Kim_Jong_eel	20
260	LibertyMutual	20
260	Leithz6	20
260	Kowcio_	20
260	striker90333	20
