rank	username	minecraft:mined/minecraft:pink_bed
1	HellsSponge	160
2	4774	120
3	Werbe	112
4	LordSpeed37	49
5	lordpipe	39
6	Tyrannosplart	30
7	EcksD	20
8	CliffEmAll	18
9	pintsizedrogue	17
9	lorpus	17
9	Blu3beast	17
9	djancak	17
9	Soplight	17
14	joethahobo	14
15	Motsaro	12
16	Alteriity	10
17	Shogunite	9
18	squigglybones	8
18	ShedJr_	8
18	GingerNeutron	8
18	bndo	8
22	Hpdinosaur	7
22	Steelynan	7
24	Nycteus_	6
25	NatalieTW	5
25	Frozil20	5
25	eitanzaki	5
25	Huwulling	5
25	beeperbeeper5	5
25	500am	5
25	Fullut	5
25	AnnieBathory	5
25	LilLizardWizard	5
25	MustaLoordi	5
25	Racengan	5
25	monky_irl	5
25	anbbang	5
38	T045RTY	4
38	NameGenerat0r	4
38	stellarjay	4
38	Kateesaur	4
42	ergoalias	3
42	Mahoose	3
42	whoaluv	3
42	UCP_TheKingK	3
42	Njensen7	3
42	Ezekson	3
42	Legendosh	3
49	ItsColin11	2
49	Adlair	2
49	kekhon	2
49	rebichuu	2
49	_Dean_123	2
49	Smashic	2
49	insanepace	2
49	Xalithia	2
49	Windo_licker	2
49	Arceus1975	2
49	AlexxO_o	2
49	lillips	2
49	RoofTyler	2
49	mobunni	2
49	TheOnlyRake	2
49	xolstoi	2
49	Smoke____	2
66	Jalvajar	1
66	TildaAndrea	1
66	No_u4	1
66	Ozixar	1
66	Mercadies	1
66	Devintronix	1
66	Crowman1	1
66	ProfessorBee	1
66	BilboBaggins23	1
66	Z3braYTIL	1
66	CrookedKaptain	1
66	Tjhodskins19	1
66	olliebollie48	1
66	noam464	1
66	UncleDanDan	1
66	ehunt54	1
66	TakeThis2UrGrave	1
66	burbankbuilder28	1
66	seramalen	1
66	Kryktal	1
66	Maenara	1
66	Akoot_	1
66	JoeSaysBingBong	1
66	Syropatathe	1
66	toelong	1
66	LexMakesHistory	1
66	handsome_strong	1
66	CurvedCubes	1
66	Blaiku	1
66	LordAurum	1
66	Spacewardharpy7	1
66	babyjimmyneutron	1
66	Kowcio_	1
66	RealGroot	1
66	CalebDHawk	1
66	Vivacia	1
66	ConnorDanky_	1
66	CattSoup	1
66	camando92	1
66	MelodyGaysharks	1
