rank	username	minecraft:mined/minecraft:jungle_button
1	QuiCreans	21
2	Kubelz	17
3	SvenskaHugo	15
4	noodlepack	13
4	FreakGenius	13
6	Steelynan	9
7	Hyp3rion_	8
8	Jackattack53	6
8	ese_wn_po	6
10	CLG_Kata	5
10	Fullbit_	5
10	jnp_gaming	5
10	annebolyn	5
14	eitanzaki	4
14	FreddyFart	4
14	Yamdalorian	4
17	Lez_	3
17	12Magner05	3
17	SuperPooch06	3
17	Mattesco	3
17	PlasticOtari	3
22	mwrty	2
22	Maenara	2
24	Mr_Byzantine	1
24	joethahobo	1
24	beeperbeeper5	1
24	himak1	1
24	PigDab	1
24	Tank_Kuma	1
24	EveryonesUncle	1
24	Fuad_R	1
24	SwooshBoi	1
24	MovingFish7	1
24	YungMaki	1
24	Ezekson	1
