rank	username	minecraft:mined/minecraft:cobbled_deepslate
1	non089	9813
2	corvidpartyfor6	2810
3	k_ce	2806
4	Mattesco	2280
5	doublemaki	2202
6	Manaateee	2006
7	TheBananaKat	1794
8	MuffinManzz	1660
9	shineh10	1584
10	Mr_Byzantine	1473
11	TheSecondLord	1387
12	hydrothebot	1377
13	fade_emerge78823	1260
14	Galactic_Badger	1044
15	Yamdalorian	952
16	tuckerdoodle	929
17	11Brewer	860
18	LuvLuvLove	855
19	kalzor	825
20	Crowman1	813
21	Winklepicker279	807
21	TheWickedBird	807
23	beeperbeeper5	804
24	TheDankPlatypus	735
25	milltesco	724
26	prizm_	710
27	Nicserso	706
28	Kowcio_	703
29	Jackattack53	682
30	PlasticOtari	671
31	MC_Gamer_Geek	668
31	Iamthejo	668
33	mihimihimihi	641
34	Buuck_	632
35	MAns_44	607
36	12Magner05	603
37	xxPipperDipperxx	588
38	QuiCreans	579
39	pintsizedrogue	578
40	00000000-0000-0000-0009-01ff0c3e5e4f	550
41	EMC_	548
42	Apollo_993	519
43	TheALV	516
44	xPixelRainx	512
45	luseis	501
46	ChronoSounds	499
47	groofles	495
48	NATE_the_HALO	480
49	PazinGaming	476
50	HUNTERmaun	459
51	ECstardust	454
51	AlexxO_o	454
53	_Huge_Male_	446
54	Alteriity	440
55	Touched_Bread	417
56	zToasty69z	410
57	U_Mos_	398
58	thewindmillman	395
59	Sleepy_Time_	369
60	dartwaffle	368
61	fffMike	364
62	TJawesome09	354
63	ItsDeltaMC	345
64	Prismyst	341
65	Elastiq	325
66	Enderxz3	313
67	_witch_craft_	311
68	500am	306
69	cuddlyMonster	302
70	AltnumberF4	290
71	OreTheBear	279
72	rarrq	269
73	Lez_	264
74	FormulaNewt3627	259
75	SvenskaHugo	258
76	ZaneABrain	248
77	EveryonesUncle	247
78	skroobiez	246
79	Krowuss	245
80	MrKrabOnCoke	229
81	CattSoup	217
82	Weepingbiel	214
82	Jimb0nat0r	214
84	Pumpkin_P_Patch	213
85	TheKingK_	212
86	Huwulling	208
87	Morgf	204
88	Smashic	198
89	Wowful	196
90	BPTY4618	195
91	MC_Skribble	193
92	StarCookiees_	191
93	Lord_Doob	190
94	goldyx	187
95	MinttyFressh	185
96	Hahaa_0	167
97	Sleepy_Evelyn	166
98	NLKBuilder	163
99	Shortest_	159
100	Rani_R	157
101	gamerlord1324	150
102	mymayowasgone	147
103	LagVibes	144
104	Hyp3rion_	143
105	bl1ss0	142
105	2blox_	142
107	Moofyman	140
108	craaaash	133
109	Segotep999	131
110	Hetti301	128
110	theonlymagikarp	128
110	PaperCanvas	128
113	Valoth	125
114	SpacesickPrism	123
115	H0UNDFRMH3LL	118
116	weabis	116
117	_flud	115
118	Tersea_	114
119	Rebytre	113
120	Fuad_R	111
121	Btabtab	109
122	Koalander	108
123	FadedSpade82	107
123	Legendosh	107
125	powercas_gamer	105
126	fw3xy	104
127	TheWildMateo	100
127	GooseWithin	100
127	AstreaTSS	100
130	Silvo614	97
130	kyouma777	97
132	DracZz	92
133	WinterSepp	91
134	hanaryheatwave	90
135	Njensen7	88
135	WYFYoyo	88
137	gabukun_	86
138	royal_2	85
139	Moss_2006	84
140	thebaddruid	82
140	LordZacler	82
140	Lord_Zacler	82
143	LeEricc	81
144	Archsam	78
144	EcksD	78
146	StinkyDiplomat	77
146	DairyNickel756	77
148	PhantomBionic	75
149	RoskobiOne	74
149	Marbz_	74
151	RebelAndroid	72
151	Lazy_geniusig	72
151	noam464	72
151	91stCataclysm	72
155	lorywithay	71
156	Olib3ar	68
156	AuroraSkies	68
156	Soplight	68
159	Mr_Froxy	67
159	bobbydoodledot	67
161	hm947	64
162	_Duckery	61
163	benediktine1	60
163	PigDab	60
165	Yahir091	59
165	robonya_	59
167	MattieHD	57
167	KGTV	57
167	Sorry_Arey07	57
170	BeardBois	56
171	Paguz01	55
172	_Nat666	54
172	LeauVox4921	54
174	Solar_Power	53
175	Niklas20114552	52
176	Kakolbus	49
176	Spenduh	49
178	orxngejuice	48
179	Invintic	47
179	hermmm_	47
181	Frigzy_	46
181	philandr	46
181	Jekyll	46
181	Pearlescents	46
185	Deu_Stew	45
186	nattybears	44
186	albus0x	44
186	ZoomieZoomie	44
189	teslawolf38	43
190	LugusMcGrugus	41
190	shrimp_flips	41
190	lordpipe	41
193	Lorcout	40
193	SpicyDuckMan	40
195	gcaisawesome	39
196	MogusBussy69	38
196	Kubelz	38
196	Samificator	38
196	coobert42	38
200	ScootOfBoot	37
200	That_tech_head	37
202	olliebollie48	36
202	RoBe__	36
202	Cache3	36
205	MisfitsMike	35
206	lorpus	34
206	Werbe	34
208	Koffeeinz	33
208	JitteryJared2	33
210	gren_ben	32
211	nut_e	31
211	masskedman	31
213	Mahoose	29
213	Gzrdy	29
213	Jimi7hits	29
216	I_Moose	28
216	EdGalbraith	28
218	Admiral_Fizzy	27
218	SBean737	27
218	Boipl	27
221	N00bula	26
221	WET_WET_WET	26
221	CheifJumbo	26
224	NameGenerat0r	24
225	joethahobo	23
225	Jonafrog99	23
225	EtherealSilveon	23
225	Cavetorch	23
229	AppleJacks	22
230	Creativebuilder2	21
230	drunkeeez	21
230	Penguinllama517	21
230	infiniteQuery	21
230	EmrotoL	21
235	ImpavidArcher	20
235	Kronos42	20
235	Dark_Crusader21	20
235	The_Fulgurator	20
235	Gryglu583	20
235	DarkS0L	20
235	00000000-0000-0000-0009-01fc3bb26159	20
242	j5ylim	19
242	JuuustYeet	19
242	ZeroAbyssTTV	19
242	Snowflowe	19
242	Dan_Scha	19
242	_i_ERROR_i_	19
242	CalvinCandie17	19
249	nopekk	18
249	Vol_Rod33	18
249	ATurtle4936	18
252	Dynamic_wolf_1	17
252	Synthoum	17
252	mobunni	17
255	Miroryk	16
255	Skylord_Luke	16
255	parodypatient	16
255	NomadicRobin_	16
255	Sepulcro	16
255	CalebDHawk	16
255	zOnlyKroks	16
262	KarlKaek	15
262	fuyyuu_oke	15
262	Nach0Bear	15
262	alanbleachdemon	15
266	RatatJuice	14
266	crying_wolf_13	14
266	Malware_Mara	14
266	Arceus1975	14
266	BenPenguin	14
266	Mekae	14
266	Hisidae	14
273	EdaterPure	13
273	Raspberry_Sodas	13
273	ee_echo_oo	13
273	Zackran	13
273	wwwwinnebagoooo	13
278	Groovy_MoonBird	12
278	Myszoaz	12
278	ccwildfire1	12
278	Reneedium	12
278	Nadhorion	12
278	Veillax135	12
278	Lutres_	12
278	Methalox1	12
278	Toriankel	12
278	IdeallyGrey	12
278	bungalowbeet	12
289	Flex_Tape_Phil	11
289	Lo_zio_Diego	11
289	QuesoCrusaderIII	11
289	Spankathor	11
293	SquadMonster	10
293	SnowyAvi	10
293	Masssonnn	10
293	Fullbit_	10
293	Cellcorgi649	10
293	oscminus	10
293	Mr_Sun15	10
293	Kekoo	10
