rank	username	minecraft:mined/minecraft:yellow_wall_banner
1	Legendosh	87
2	Smashic	54
3	UCP_TheKingK	32
4	beeperbeeper5	26
5	EveryonesUncle	18
6	kekhon	14
7	starbits140	13
8	Soplight	11
9	Huwulling	8
9	WyngGoy	8
11	Kakolbus	7
11	Rasmanden	7
13	Groovy_MoonBird	6
13	shineh10	6
13	luseis	6
13	Kowcio_	6
17	pintsizedrogue	5
17	PhantomsGhost_	5
17	Lez_	5
17	Xclax101	5
21	whoaluv	4
21	Lord_Jord	4
21	ZoomieZoomie	4
24	Mahoose	3
25	FazeObama69	2
25	Isaac70096	2
25	RatatJuice	2
25	noam464	2
25	Hoid_the_Roamer	2
25	Skylord_Luke	2
25	TheShyPig	2
25	88Hazza88	2
25	Enderxz3	2
34	Merv__	1
34	Frozil20	1
34	LionelHutzESQ	1
34	Shadoko_	1
34	Blackberry1310	1
34	m_be9	1
34	MattieHD	1
34	SteveCraftBlocks	1
34	xxPipperDipperxx	1
34	arcanemagic	1
34	Fuad_R	1
34	HellsSponge	1
34	claivin	1
34	Quaintster	1
34	Dreamdbr14	1
34	Smoke____	1
