rank	username	minecraft:mined/minecraft:stone_brick_wall
1	TheShyPig	2215
2	Freak_Genius	1407
3	thescout7	1333
4	Di_infiri	643
5	thewindmillman	514
6	Arceus1975	488
7	Onennon	487
8	radioactv_jelly	473
9	beeperbeeper5	442
10	Cowison	427
11	MyNameIsDakar	421
12	noam464	417
13	HellsSponge	387
14	Kakolbus	345
15	Smoke____	329
16	burbankbuilder28	281
17	500am	276
18	Legendosh	271
19	Xalithia	242
20	Fildyr	241
21	The_SlideV5	236
22	_Karmaa	216
23	claivin	208
24	Historical_Sand	201
25	Euclidoris	194
26	Maenara	182
27	DermeinUser	178
28	m_be9	172
29	sebastiensaborio	169
30	Soplight	164
31	Warlord324	158
32	Racengan	157
33	Merv__	156
34	DanTheBuilderino	155
35	WyngGoy	154
36	Xclax101	151
37	Ezekson	149
38	soundad	145
39	rarrq	142
39	SkateboardR6	142
41	ImpavidArcher	138
42	ROY4LE	136
43	Lord_Jord	130
44	Drlzyy	129
44	Mahoose	129
46	07shiny	124
47	Skylord_Luke	121
48	Smiguli_	119
49	El_Jalapeno	118
50	pintsizedrogue	114
51	Doom_melon	113
51	OtariCharlie	113
53	Comma__	110
54	bigstankyy	109
54	xxPipperDipperxx	109
56	PhantomsGhost_	106
57	GlitchyPlate810	105
58	Eraxa	102
59	Jackattack53	99
60	The_slideV3	98
61	benediktine1	94
62	dudcreeper	89
63	RodSerlingCringe	88
64	loveseeker	84
65	Meatlaugh	83
66	Inbefour	80
67	Jovaphobic	78
67	Frozil12	78
69	Chromary	74
70	kekhon	73
71	the_fireminer	71
72	LAVA129	70
73	Snowflowe	69
74	Stiar	68
75	Soffbord	66
76	_NieToksikpl_	62
77	SvenskaHugo	61
78	Groundler	60
79	Fuhrer_Teemo	59
80	BlueZabu	58
80	PigDab	58
82	TheSecondLord	57
82	stahouo	57
84	pappaberg	54
85	theofiel	50
86	Kowcio_	47
86	Enderslayerxz3	47
88	Winklepicker279	46
88	Zythose	46
88	Toiton	46
91	xyfrs	45
92	Blackberry1310	41
92	XboxPanda	41
94	himak1	40
95	Ssor69	38
95	RobotMinion101	38
95	avalan64	38
98	Fullut	37
98	SlayerCrypto	37
98	Kubeusz2010	37
101	AnnieBathory	35
101	bitsplease	35
103	HELLO_I_AM_BEAR	34
104	TheBiggestFeller	33
104	ShedJr_	33
104	Sky_light_KING	33
104	YungMaki	33
108	Incinere	32
109	MinttyFressh	31
109	Werbe	31
109	AssEatrAndLicker	31
109	mobunni	31
113	Dusk_95	30
113	EcksD	30
113	Sral7	30
116	Mr_Byzantine	29
117	MixerDixer	28
117	Hisiste	28
119	SoftSix	27
119	yulgur1	27
119	Sheldor097	27
122	EcksDofficial	26
123	Bumpy419	25
123	EveryonesUncle	25
123	Deathkob	25
126	teslawolf38	24
126	eitanzaki	24
126	Nycteus_	24
126	Spacewardharpy7	24
126	laron58	24
131	NotMeanttoChange	23
131	fluddd	23
133	DarkDescent2392	22
133	_Dean_123	22
133	impossibleteapot	22
133	PortlyPete69	22
137	Bandito_Roamer	20
137	ApophisNova	20
137	jewbacaman	20
137	CarryLine	20
