rank	username	minecraft:mined/minecraft:light_blue_concrete
1	lordpipe	4845
2	RoboTramp7865	4125
3	Groovy_MoonBird	1901
4	Merv__	1610
5	TheSecondLord	1599
6	500am	1526
7	Frozil12	1415
8	beeperbeeper5	1247
9	YungMaki	1129
10	Spacewardharpy7	782
11	lcvezra	700
12	Onennon	674
13	Hoid_the_Roamer	641
14	Blackberry1310	613
15	noam464	610
16	Legendosh	533
17	Nicserso	517
18	ssleepless	466
19	TheShyPig	373
20	EMC_	329
21	Winston_Ingram	320
22	_NieToksikpl_	307
23	pintsizedrogue	275
24	oxfordschool	247
25	fluddd	198
26	MightyWertu	188
27	Notta	170
28	ImpavidArcher	169
29	Iagoku	144
30	Akoot_	141
31	AuroraValkyrie	129
31	OtariCharlie	129
31	Dusk_95	129
34	Maenara	107
35	MakeHistory157	105
36	Mahoose	97
36	kekhon	97
38	Kowcio_	78
39	fkGrim	75
40	sebastiensaborio	72
41	diamondgolem35	67
42	TechnoNinja64	65
43	Bumpy419	64
44	TheBiggestFeller	63
45	Rumpletaezer	57
46	HellsSponge	48
47	Smoke____	44
48	6king6colt6	43
49	Arceus1975	41
50	Ezekson	39
51	Deathkob	34
52	gcaisawesome	29
53	LexMakesHistory	26
54	jnp_gaming	21
55	eitanzaki	19
55	thewindmillman	19
57	SammiWolfGirl	17
58	Blaiku	16
58	WyngGoy	16
60	ROY4LE	12
60	sp00ky_ghost977	12
62	joethahobo	11
63	stahouo	10
64	RobotMinion101	8
64	Groundler	8
64	BlankityMcBlank	8
67	Fullut	5
67	Ahketen	5
67	Di_infiri	5
70	ColeSnyder	4
70	BodaciousCake	4
70	MinttyFressh	4
70	pr33tu	4
70	Scathra	4
70	_Bguette_	4
70	Soplight	4
77	WarHammer3	3
77	mwrty	3
79	Sabby65	2
79	youhjjhhhjj	2
79	Hiimdeath	2
79	Eraxa	2
79	Goldiethebear03	2
84	PhantomsGhost_	1
84	ShedJr_	1
84	MousePlays	1
84	Spenduh	1
