rank	username	minecraft:mined/minecraft:red_concrete_powder
1	mwrty	402
2	Steelynan	219
3	Manaateee	172
4	Optiprimus	117
5	ExtraDumb	96
6	TheSecondLord	95
7	fluddd	91
7	YungMaki	91
9	PlasticOtari	90
10	Tyrannosplart	84
11	beeperbeeper5	83
12	annebolyn	61
13	DinoDoctor_	59
14	EveryonesUncle	57
14	Deathkob	57
16	NoChumpChange	55
17	Freedrik	53
18	QuiCreans	50
19	Enderxz3	48
20	Nicky_H225	44
21	Mimiir345	39
22	The_slideV3	38
23	EMC_	33
24	k_ce	31
25	KarlKaek	30
26	SpacesickPrism	29
27	ImpavidArcher	28
27	SteveCraftBlocks	28
29	Merv__	26
29	FreakGenius	26
31	Niklas20114552	25
32	IamCL4SSY	22
33	emrekn	19
33	PortlyPete69	19
33	PlzNoBM	19
36	ConnorDanky_	18
37	LordSpeed37	17
38	jnp_gaming	16
39	PazinGaming	15
40	CollinMH06	14
40	Dakar_	14
40	miramyu	14
43	Winston_Ingram	13
44	Archsam	12
44	h2p_emrld	12
46	lorywithay	11
46	Jackattack53	11
46	emreknugrlu	11
46	Majonezzon	11
46	UrbanPlanningEx	11
51	bloodbiter	10
52	Fullut	7
52	lordpipe	7
52	Zoeyfortnite	7
55	Lez_	6
55	noodlepack	6
55	StarCookiees_	6
55	Ezekson	6
59	Mahoose	5
59	caesarleon	5
59	Arceus1975	5
59	LexMakesHistory	5
59	pretty_pink_reno	5
59	The_SlideV5	5
65	AuroraValkyrie	4
65	rarrq	4
65	fragrantmonke444	4
65	Mattesco	4
65	HellsSponge	4
65	Blaiku	4
65	Yamdalorian	4
72	Groovy_MoonBird	3
72	bigstankyy	3
72	Franco093	3
72	Tersea_	3
72	m_be9	3
72	Krowuss	3
72	TheWildMateo	3
72	Onennon	3
72	GoofyBread	3
72	ElKaySVK	3
82	eitanzaki	2
82	NieToksikpl	2
82	ROY4LE	2
82	TheDankPlatypus	2
82	bl1ss0	2
82	thewindmillman	2
82	Werbe	2
82	lunkuku	2
82	Kowcio_	2
82	Pumpkin_P_Patch	2
82	Jimb0nat0r	2
93	pintsizedrogue	1
93	ShedJr_	1
93	Blackberry1310	1
93	Crowman1	1
93	noam464	1
93	crashomon	1
93	burbankbuilder28	1
93	epiksk8erduck	1
93	MousePlays	1
93	Maenara	1
93	MightyWertu	1
93	CornOnTheCobalt	1
93	IAmTheWalrus910	1
93	SvenskaHugo	1
93	__tomato	1
