rank	username	minecraft:mined/minecraft:orange_carpet
1	Ezekson	1436
2	beeperbeeper5	1009
3	Hermanni__	919
4	SkateboardR6	484
5	Mahoose	459
6	joethahobo	386
7	TheSecondLord	337
8	lordpipe	331
9	Freak_Genius	195
10	wezzzi	153
11	Spacewardharpy7	150
12	MakeHistory157	121
13	Blackberry1310	120
14	HellsSponge	119
15	Smoke____	76
16	_Virify_	61
17	500am	57
18	Quotary	47
19	Kowcio_	27
20	awesomeoneme	26
21	YungMaki	23
21	Legendosh	23
23	Rumpletaezer	22
24	Historical_Sand	19
24	mwrty	19
26	Sleek_Storm_721	18
27	heckface	15
27	lcvezra	15
29	sebastiensaborio	14
30	SaucyDark	12
30	LexMakesHistory	12
32	NomadicRobin_	11
32	Njensen7	11
34	seramalen	10
34	Lord_Jord	10
36	Cowison	9
36	Frozil12	9
38	pintsizedrogue	8
38	Reamdin	8
38	Swexti	8
38	The_Fulgurator	8
42	Hoid_the_Roamer	7
43	Meatlaugh	6
43	obzii	6
45	Tommhh	5
45	Di_infiri	5
45	PigDab	5
45	EcksDofficial	5
49	Mr_Byzantine	4
49	RebelAndroid	4
49	thewindmillman	4
49	TechnoNinja64	4
53	_NieToksikpl_	3
53	Chromary	3
53	Maenara	3
56	eitanzaki	2
56	Jokerman369	2
56	Windo_licker	2
56	Racengan	2
56	MrAveragePenguin	2
56	KingMatthew506	2
56	oxfordschool	2
56	EcksD	2
64	Merv__	1
64	InfernalMound	1
64	kekhon	1
64	Torza	1
64	xo_Marren_xo	1
64	FishyBoy3811	1
64	420BreadLizard	1
64	FreddyFart	1
64	chipklip	1
64	tsitrawhy	1
64	stahouo	1
64	PortlyPete69	1
64	GlitchyPlate810	1
64	Sral7	1
64	trexgb	1
