rank	username	minecraft:mined/minecraft:orange_carpet
1	Ezekson	1436
2	beeperbeeper5	1011
3	Hermanni__	919
4	SkateboardR6	484
5	Mahoose	459
6	joethahobo	386
7	TheSecondLord	337
8	lordpipe	331
9	Freak_Genius	195
10	wezzzi	153
11	Spacewardharpy7	150
12	MakeHistory157	121
13	Blackberry1310	120
14	HellsSponge	119
15	Smoke____	76
16	_Virify_	61
16	500am	61
18	Quotary	47
19	Kowcio_	27
20	awesomeoneme	26
21	YungMaki	25
22	Legendosh	23
23	Rumpletaezer	22
24	Historical_Sand	19
24	mwrty	19
26	Sleek_Storm_721	18
27	heckface	15
27	lcvezra	15
29	Lord_Jord	14
29	sebastiensaborio	14
31	SaucyDark	12
31	LexMakesHistory	12
33	NomadicRobin_	11
33	Njensen7	11
35	seramalen	10
36	Cowison	9
36	Frozil12	9
38	pintsizedrogue	8
38	Reamdin	8
38	Swexti	8
38	The_Fulgurator	8
42	Hoid_the_Roamer	7
43	Meatlaugh	6
43	obzii	6
45	Tommhh	5
45	Di_infiri	5
45	PigDab	5
45	EcksDofficial	5
49	Mr_Byzantine	4
49	RebelAndroid	4
49	thewindmillman	4
49	TechnoNinja64	4
53	_NieToksikpl_	3
53	RoskobiOne	3
53	Chromary	3
53	Maenara	3
57	eitanzaki	2
57	12Magner05	2
57	Jokerman369	2
57	Windo_licker	2
57	Racengan	2
57	MrAveragePenguin	2
57	KingMatthew506	2
57	Aryamanee	2
57	oxfordschool	2
57	EcksD	2
57	PlasticOtari	2
68	Merv__	1
68	InfernalMound	1
68	kekhon	1
68	Torza	1
68	regulator75	1
68	xo_Marren_xo	1
68	FishyBoy3811	1
68	420BreadLizard	1
68	FreddyFart	1
68	chipklip	1
68	tsitrawhy	1
68	stahouo	1
68	PortlyPete69	1
68	GlitchyPlate810	1
68	Sral7	1
68	trexgb	1
