rank	username	minecraft:mined/minecraft:polished_blackstone_pressure_plate
1	thewindmillman	35
2	Manaateee	18
3	TheSecondLord	17
4	pintsizedrogue	16
5	noam464	15
6	PlasticOtari	11
7	beeperbeeper5	9
8	Ze_BaronKrigler	7
9	hm947	6
9	Hyp3rion_	6
11	Lez_	5
12	joethahobo	4
12	XboxPanda	4
12	Eczbek	4
15	Cowison	3
15	Enderxz3	3
17	Smashic	2
17	Werbe	2
19	Mahoose	1
19	ShedJr_	1
19	fade_emerge78823	1
19	oscminus	1
19	EveryonesUncle	1
19	MAns_44	1
19	FreakGenius	1
19	pixelviolin	1
19	Soplight	1
19	EcksD	1
19	AdmiralSmoke	1
