rank	username	minecraft:mined/minecraft:birch_sign
1	beeperbeeper5	255
2	lordpipe	169
3	joethahobo	104
4	Smoke____	92
5	_Dean_123	72
5	TheShyPig	72
7	kekhon	69
8	Di_infiri	52
9	cichy096	48
10	EcksDofficial	46
11	Wooptey	42
11	kinas45y5	42
13	Kubeusz2010	41
14	Paint	40
14	Werbe	40
16	eitanzaki	39
17	thewindmillman	38
18	Mahoose	37
18	noam464	37
20	Merv__	35
20	ImpavidArcher	35
22	bigstankyy	33
23	EcksD	31
24	Akoot_	30
25	pintsizedrogue	29
26	PhantomsGhost_	28
27	Legendosh	27
28	IAmTheWalrus910	26
28	Enderslayerxz3	26
30	Blaiku	25
30	Ezekson	25
32	sp00ky_ghost977	24
33	Blackberry1310	23
34	Awyrlas	22
34	PortlyPete69	22
36	CoffeeNoir	21
36	Fullut	21
36	Vellu21	21
39	ROY4LE	20
39	__tomato	20
39	jnp_gaming	20
42	Inbefour	19
42	Spacewardharpy7	19
42	YungMaki	19
42	h2p_emrld	19
46	Soplight	18
46	SammiWolfGirl	18
48	thescout7	17
48	Hyp3rion_	17
48	PigDab	17
48	KeruNatsema	17
48	Lord_Jord	17
48	NomadicRobin_	17
54	TheSecondLord	16
54	Freak_Genius	16
56	HellsSponge	15
56	Blu3beast	15
56	TechnoNinja64	15
56	PlasticOtari	15
60	ShedJr_	14
60	Sky_light_KING	14
60	Winston_Ingram	14
63	rarrq	13
63	fluddd	13
63	oxfordschool	13
66	teslawolf38	12
66	BlancoFlaco	12
66	Rich_Kat	12
66	burbankbuilder28	12
70	Arceus1975	11
70	Snowflowe	11
70	fffMike	11
70	SirBreadward	11
74	Dedalus36	10
74	Wowful	10
74	Airem_Core	10
74	sebastiensaborio	10
74	LeeMcGee30	10
79	oreee	9
79	himak1	9
79	MangoTheFish	9
79	Onennon	9
79	stahouo	9
79	Eczbek	9
85	Reamdin	8
85	intropass	8
85	Hiryu27	8
85	_naturell	8
85	masskedman	8
85	The_Quack_Dealer	8
85	claivin	8
85	Nicserso	8
93	KarlKaek	7
93	mwrty	7
93	CollinMH06	7
93	fred870d	7
93	Maenara	7
93	chipklip	7
93	DarlaMeow	7
93	TheEnderman548	7
93	jcool7	7
102	EMC_	6
102	Winklepicker279	6
102	Windo_licker	6
102	gabriels543	6
102	cedric72	6
102	_Bguette_	6
102	lillips	6
102	Frozil12	6
102	Eraxa	6
102	djancak	6
112	Mr_Byzantine	5
112	SaucyDark	5
112	jacxhadow	5
112	G1ldor	5
112	Nicky19	5
112	Steven1282598	5
112	TheTommyGun63	5
112	brofrickcheaters	5
112	ediballbearings	5
112	Njensen7	5
112	Quotary	5
112	trexgb	5
124	The_Great_Jake	4
124	Yatitay	4
124	I_Am_Mushkin	4
124	gaziter10	4
124	Malorn_Aetherius	4
124	xxPipperDipperxx	4
124	eiC_	4
124	Chromary	4
124	Skylord_Luke	4
124	KartivGal	4
124	KlausVonStiglitz	4
124	LetsDoItLive	4
124	MakeHistory157	4
124	Nagasaki_Riku	4
124	Kowcio_	4
124	Spenduh	4
124	561cool	4
141	Groovy_MoonBird	3
141	Menthas	3
141	Cowison	3
141	6king6colt6	3
141	hm947	3
141	Ssor69	3
141	heckface	3
141	Nicky_H225	3
141	ProfessorBee	3
141	SoftSix	3
141	egglapras	3
141	XboxPanda	3
141	Zythose	3
141	SokaOtaku	3
141	ApophisNova	3
141	Kouridragon	3
141	seramalen	3
141	gustarbite	3
141	Lord_Zacler	3
141	Soap_Bender	3
141	NameGenerat0r	3
141	Leithz6	3
141	Xovalt_	3
141	ZoharGoldMine	3
141	Cocoamallows	3
141	layabout100	3
141	SquidZooka2	3
141	AssFullaCum	3
141	KingMatthew506	3
141	MyNamaSheff	3
141	Powowowow	3
172	Jovaphobic	2
172	_Virify_	2
172	BenHomie	2
172	Ze1ig	2
172	soundad	2
172	AES784	2
172	Historical_Sand	2
172	RainbowSpaceCow	2
172	CliffEmAll	2
172	aluminumhelmet	2
172	Austine6698	2
172	NotMeanttoChange	2
172	Inchef	2
172	Tjhodskins19	2
172	2Stout	2
172	NoxxxxiS	2
172	benediktine1	2
172	M_Patata	2
172	CarltheCuck	2
172	Jackattack53	2
172	BigManMcCombie	2
172	Rocco_Lane	2
172	dendydoom	2
172	CruncyIsTaken	2
172	xKhoshekh	2
172	theofiel	2
172	Drewen24	2
172	Rasmanden	2
172	sxc_	2
172	RodSerlingCringe	2
172	Klerick	2
172	Negriuke	2
172	NoChumpChange	2
172	Syropatathe	2
172	The_slideV3	2
172	Groundler	2
172	BumbleBeever	2
172	SingedBread	2
172	JoCoLi	2
172	SkateboardR6	2
172	Vorlice	2
172	MasterNueve	2
172	teakings	2
172	Optiprimus	2
172	ayamefag	2
172	Shin69	2
172	SvenskaHugo	2
172	MineMaster0012	2
172	SSytex_X	2
172	Fizznut909	2
172	MilleGrug	2
172	Sral7	2
224	seanitoo	1
224	DoorlessDoor433	1
224	jspwn	1
224	chimpmunker	1
224	ColeSnyder	1
224	Bad_At_Names_Guy	1
224	TooManyDuck	1
224	Gundam_Steven	1
224	Hpdinosaur	1
224	1dss	1
224	ManyVoices	1
224	Incinere	1
224	youhjjhhhjj	1
224	sumsungfridge	1
224	Barjas	1
224	Arteriana	1
224	H72l9w	1
224	picardred	1
224	Upstro10	1
224	bloodbiter	1
224	12Magner05	1
224	MattieHD	1
224	TheThomas69	1
224	eclipseboi	1
224	SteveCraftBlocks	1
224	TheDiamondCG	1
224	500am	1
224	set67	1
224	Motsaro	1
224	eviltunix	1
224	Xalithia	1
224	Stiar	1
224	r123moore	1
224	CaptainBadKid	1
224	Kakolbus	1
224	fallingemma	1
224	moderncraft	1
224	Aiko_Kawashima	1
224	mariominejedi	1
224	Marbz_	1
224	loveseeker	1
224	SuperPooch06	1
224	Rumpletaezer	1
224	RacismIsBadDude	1
224	Green__Terrorist	1
224	Bumpy419	1
224	beespooky	1
224	RobotMinion101	1
224	NNikitas	1
224	p4lp	1
224	FishyBoy3811	1
224	Kryktal	1
224	CynicalRuntime	1
224	lizardfightclub	1
224	Leyna3	1
224	ADEXTV	1
224	ChrisKyleST3	1
224	2321	1
224	Retro_311	1
224	fw3xywashere	1
224	AlphaWolfPlaysMC	1
224	Gryglu583	1
224	EveryonesUncle	1
224	Quinasin	1
224	2_vl	1
224	ChocolatePepsi	1
224	the_russell1611	1
224	Katthaj	1
224	GoofyBread	1
224	MAns_44	1
224	DukBob	1
224	Xclax101	1
224	the__Reaper4999	1
224	Racengan	1
224	WyngGoy	1
224	ItsDeltaMC	1
224	Chaotic1s	1
