rank	username	minecraft:mined/minecraft:cyan_concrete
1	weabis	2779
2	beeperbeeper5	2398
3	shrimp_flips	2263
4	teslawolf38	2257
5	ImpavidArcher	2211
6	Swexti	1839
7	lordpipe	718
8	ConnorDanky_	702
9	Hoid_the_Roamer	651
10	r123moore	643
11	NieToksikpl	572
12	Kowcio_	528
13	Blackberry1310	527
14	Spacewardharpy7	489
15	Druid95	487
16	Ezekson	486
17	TheShyPig	462
18	h2p_emrld	426
19	Crowman1	403
20	YungMaki	397
21	sp00ky_ghost977	354
22	ROY4LE	338
23	Di_infiri	310
24	Iagoku	303
25	Frozil20	299
26	stellarjay	244
27	Sral7	196
28	EveryonesUncle	193
29	TheSecondLord	187
30	Manaateee	181
31	rarrq	176
32	ShedJr_	134
33	Huwulling	128
34	Dreamdbr14	119
35	Merv__	117
36	RoboTramp7865	105
37	joethahobo	85
38	noam464	83
39	pintsizedrogue	81
39	ibarker21	81
41	fkGrim	75
42	Eraxa	72
43	Notta	71
44	The_Thund	64
44	mihimihimihi	64
46	PlasticOtari	61
47	Hiryu27	56
47	Optiprimus	56
49	HellsSponge	49
50	Steelynan	27
51	SvenskaHugo	22
52	jnp_gaming	21
53	thewindmillman	20
54	Groundler	16
55	500am	13
55	Rumpletaezer	13
57	KingMatthew506	11
58	TeenMomTom	10
58	SammiWolfGirl	10
60	IamCL4SSY	8
60	Jimb0nat0r	8
62	AuroraValkyrie	7
63	CuzIm2Kev	6
63	Hermanni__	6
65	ooga47	5
66	Mahoose	3
66	SteveCraftBlocks	3
68	MightyWertu	2
68	CalebDHawk	2
70	mwrty	1
70	TheWildMateo	1
70	MousePlays	1
70	Blaiku	1
70	ZoomieZoomie	1
70	EcksD	1
