rank	username	minecraft:mined/minecraft:weeping_vines
1	Snowflowe	282
2	_Dean_123	191
3	Blackberry1310	111
4	CliffEmAll	85
5	thewindmillman	82
6	Enderslayerxz3	74
7	ShedJr_	69
8	Fullut	60
9	6king6colt6	57
10	PlasticOtari	54
11	SammiWolfGirl	52
12	DarlaMeow	49
12	trexgb	49
14	TheSecondLord	48
14	Winklepicker279	48
16	YungMaki	39
17	Jackattack53	38
18	pintsizedrogue	37
18	Yatitay	37
18	djancak	37
21	r123moore	32
22	Cowison	26
23	noam464	24
23	fffMike	24
25	iHuntWeeaboos	23
25	Smoke____	23
27	Kubelz	22
27	Marbz_	22
29	beeperbeeper5	20
29	lordpipe	20
31	ooga47	17
31	Blaiku	17
31	monky_irl	17
34	soundad	16
35	RoskobiOne	15
36	Lord_Jord	13
37	Historical_Sand	12
37	gcaisawesome	12
37	Steelynan	12
37	jnp_gaming	12
41	Awyrlas	11
41	athereall	11
43	BlancoFlaco	10
43	Deathkob	10
43	Lutres_Torane	10
43	Vegvisir	10
47	Mahoose	9
47	kekhon	9
47	Kakolbus	9
47	Chromary	9
47	TheWildMateo	9
47	HellsSponge	9
47	TheEnderman548	9
47	Segotep999	9
47	Soplight	9
56	RebelAndroid	8
56	Lumien_	8
56	KartivGal	8
56	Kowcio_	8
56	Hermanni__	8
56	oxfordschool	8
62	BasedEphex	7
62	ApophisNova	7
62	Freak_Genius	7
62	Dusk_95	7
62	MyNamaSheff	7
67	PhantomsGhost_	6
67	eitanzaki	6
67	gustarbite	6
67	Gryglu583	6
67	Eon_57	6
67	Kubeusz2010	6
67	00000000-0000-0000-0009-01ff0c3e5e4f	6
74	joethahobo	5
74	crying_wolf_13	5
74	egglapras	5
74	TheShyPig	5
74	Akoot_	5
74	sp00ky_ghost977	5
74	Eraxa	5
74	Luigipunch989	5
74	MilleGrug	5
74	EcksD	5
74	cichy096	5
85	titanlax	4
85	bloodbiter	4
85	12Magner05	4
85	UncreativeArtist	4
85	Inchef	4
85	Arceus1975	4
85	lizardfightclub	4
85	Sheldor097	4
93	AuroraValkyrie	3
93	CoffeeNoir	3
93	MSK__	3
93	set67	3
93	KeruNatsema	3
93	Frozil12	3
93	SingedBread	3
93	Spacewardharpy7	3
93	07shiny	3
93	Eczbek	3
93	mobunni	3
93	diggydog67	3
105	Menthas	2
105	RatatJuice	2
105	TAKrules	2
105	BobDeBouwer1337	2
105	500am	2
105	breadbowlgamer	2
105	Di_infiri	2
105	Skylord_Luke	2
105	PigDab	2
105	ToastedGamingYT	2
105	Jiminie	2
105	MyNameIsDakar	2
105	DanTheBuilderino	2
105	Nycteus_	2
105	brofrickcheaters	2
105	PortlyPete69	2
105	2blox	2
122	KarlKaek	1
122	Hpdinosaur	1
122	tuckerdoodle	1
122	livingdaydreams	1
122	Alteriity	1
122	Whiterooster001	1
122	rarrq	1
122	NieToksikpl	1
122	ratglock	1
122	MinttyFressh	1
122	xX_HaroldHolt_Xx	1
122	Z3braYTIL	1
122	Scathra	1
122	himak1	1
122	Xalithia	1
122	SuperPooch06	1
122	whoaluv	1
122	burbankbuilder28	1
122	HolyVenom	1
122	NomadicRobin_	1
122	masskedman	1
122	EveryonesUncle	1
122	MAns_44	1
122	Nagasaki_Riku	1
122	Optiprimus	1
122	lcvezra	1
122	UltraZombie	1
122	anbbang	1
122	RadarHz	1
122	Legendosh	1
122	TechnoNinja64	1
122	coobert42	1
122	00000000-0000-0000-0009-01f898304150	1
