rank	username	minecraft:mined/minecraft:diorite_slab
1	Xalithia	419
2	HellsSponge	367
3	Mahoose	241
4	MrExplorer	207
5	Freak_Genius	159
6	Legendosh	140
7	Zythose	104
8	EMC_	82
9	DanTheBuilderino	66
10	PegLegPete93	61
11	Cryptacity	50
12	Stiar	46
13	KarlKaek	43
14	Snowflowe	38
15	purpolepickle	37
16	diggydog67	35
17	TheShyPig	26
18	ediballbearings	25
19	NotMeanttoChange	23
19	Inbefour	23
21	rarrq	18
21	Meatlaugh	18
23	Jiminie	16
24	awesomeoneme	13
24	EcksDofficial	13
26	Njensen7	12
26	trexgb	12
28	YungMaki	11
28	Enderslayerxz3	11
30	EllaBellaChu	10
31	GLLogan2	7
32	NameGenerat0r	6
32	Racengan	6
34	GlitchyPlate810	5
35	himak1	4
35	Chromary	4
35	Werbe	4
35	MilleGrug	4
39	ImpavidArcher	3
39	oreee	3
39	noam464	3
39	Bumpy419	3
39	DemTechAlpha	3
39	Leeeegend	3
39	Blu3beast	3
39	tartanboy	3
47	orxngejuice	2
47	benediktine1	2
47	AlexChristian	2
47	Airem_Core	2
47	anbbang	2
47	EcksD	2
53	PhantomsGhost_	1
53	joethahobo	1
53	IWorkAtIkea	1
53	LilyNova	1
53	cog	1
53	Barlycorn	1
53	Spenduh	1
53	HAruSAme14	1
53	Smoke____	1
