rank	username	minecraft:mined/minecraft:crimson_fence
1	Legendosh	167
2	Lord_Jord	64
3	beeperbeeper5	52
4	Syropatathe	51
5	Smoke____	46
6	livingdaydreams	39
7	BobDeBouwer1337	32
8	rarrq	23
9	FreakGenius	22
10	Marbz_	20
11	Mahoose	14
12	Lez_	13
12	shadowthemonkey	13
14	luseis	11
14	anbbang	11
16	bladeefan2009	8
17	pintsizedrogue	7
17	noam464	7
17	Kowcio_	7
17	Steelynan	7
17	PlasticOtari	7
22	jessewegottacook	6
22	Spacewardharpy7	6
22	SvenskaHugo	6
22	underscore_2	6
26	ShedJr_	5
26	himak1	5
26	Jonafrog99	5
26	TheWildMateo	5
26	RealGroot	5
26	Sheldor097	5
26	RadarHz	5
33	RebelAndroid	4
33	CoffeeNoir	4
35	PigDab	3
35	Optiprimus	3
35	EcksD	3
38	_Razaria	2
38	lordpipe	2
40	thewindmillman	1
40	SussySmurf	1
40	TheShyPig	1
40	Lutres_Torane	1
40	Nycteus_	1
40	Meeerkat	1
