rank	username	minecraft:mined/minecraft:oak_wall_sign
1	EveryonesUncle	1207
2	TheShyPig	688
3	HellsSponge	650
4	kekhon	315
5	beeperbeeper5	313
6	Legendosh	248
7	thescout7	244
8	eitanzaki	236
9	Marbz_	223
10	_Dean_123	209
11	Freak_Genius	191
11	Xclax101	191
13	Hermanni__	176
14	Blackberry1310	175
15	ROY4LE	169
16	PlasticOtari	163
17	Di_infiri	146
18	joethahobo	141
19	CrateOfBoxes	132
20	El_Jalapeno	131
21	lordpipe	126
22	ShedJr_	123
23	Mahoose	121
23	Groundler	121
25	TechnoNinja64	118
26	lcvezra	109
27	pintsizedrogue	108
28	noam464	107
29	Rumpletaezer	106
30	CharlieButt	105
31	MattieHD	103
32	Inbefour	99
32	Soplight	99
34	Strangemonkey71	98
35	Akoot_	92
36	Historical_Sand	91
36	TheSecondLord	91
38	Sheldor097	89
39	Onennon	87
40	MightyWertu	86
40	YungMaki	86
42	Blaiku	85
43	Merv__	83
44	Lord_Jord	82
45	500am	80
46	Fullut	79
47	MovingFish7	78
48	Njensen7	77
49	m_be9	69
50	xxPipperDipperxx	68
50	_k2x	68
52	bloodbiter	67
53	_Karmaa	66
54	6king6colt6	65
54	SteveCraftBlocks	65
56	Ssor69	58
57	BumbleBeever	55
58	ApophisNova	54
58	claivin	54
58	SkateboardR6	54
58	MyNamaSheff	54
62	Paintz	53
62	Blu3beast	53
62	Eraxa	53
65	Werbe	52
66	Mr_Byzantine	51
67	Nicky19	50
67	__tomato	50
67	MilleGrug	50
70	youhjjhhhjj	49
70	Arceus1975	49
72	SlayerCrypto	47
72	Smoke____	47
74	Vorlice	45
75	Frozil12	44
75	BlankityMcBlank	44
77	mwrty	43
77	Enderslayerxz3	43
79	oreee	41
79	_Nuf	41
79	kinas45y5	41
82	teslawolf38	39
82	The11thDoctor	39
82	Racengan	39
82	Quotary	39
86	Guillemet	38
86	Bumpy419	38
86	Rebytre	38
86	AlphaWolfPlaysMC	38
86	xorompole	38
91	PhantomsGhost_	37
91	alderban107	37
91	cichy096	37
94	2Stout	36
94	Zaridey	36
94	vandmanden	36
97	ImpavidArcher	35
97	ewsophie	35
97	Spacewardharpy7	35
97	EcksD	35
101	G1ldor	34
101	fluddd	34
103	Covalents	33
103	epiksk8erduck	33
105	Snowflowe	31
105	Maenara	31
105	wezzzi	31
105	Spenduh	31
105	SammiWolfGirl	31
110	Groovy_MoonBird	30
110	H72l9w	30
110	Hyp3rion_	30
110	lizardfightclub	30
110	Warlord324	30
115	Incinere	29
115	BobDeBouwer1337	29
115	himak1	29
118	bigstankyy	28
118	jcool7	28
118	Ezekson	28
118	Sral7	28
122	loveseeker	27
123	rarrq	26
123	tyraxxx	26
123	fffMike	26
126	Sleek_Storm_721	25
126	TooManyDuck	25
126	ooga47	25
126	stahouo	25
130	Menthas	23
130	T045RTY	23
130	RobotMinion101	23
130	Vellu21	23
134	yaboo88	22
134	NomadicRobin_	22
134	audiocracked	22
134	Deerfoot	22
134	censorsheep	22
134	CSG_Haru	22
134	Jij0	22
141	slkiey	21
141	The_slideV3	21
143	Dedalus36	20
143	egglapras	20
143	gcaisawesome	20
143	purpolepickle	20
143	AvaRosey	20
148	weezygator	19
148	eiC_	19
148	Karetoko	19
148	AJplaysMC_	19
148	UrbanPlanner1978	19
148	00000000-0000-0000-0009-01f898304150	19
154	Drlzyy	18
154	CoffeeNoir	18
154	ItzYaBoiPicard	18
154	WyngGoy	18
154	hdtpm	18
154	Zoeyfortnite	18
154	ThatBurritoTh0	18
161	awesomeoneme	17
161	Frxnkz	17
161	Awyrlas	17
161	r123moore	17
161	Sky_light_KING	17
161	yulgur1	17
161	JoCoLi	17
161	MakeHistory157	17
161	gaming4Naming	17
161	oxfordschool	17
161	Teebone15	17
172	EMC_	16
172	Bad_At_Names_Guy	16
172	ivorico	16
172	titanlax	16
172	Auseawesome	16
172	redikul	16
172	Truckoss	16
172	_naturell	16
172	stavgod	16
172	Kubeusz2010	16
182	Zippyzam	15
182	Myszoaz	15
182	SuperPooch06	15
182	Skylord_Luke	15
182	CruncyIsTaken	15
182	Fildyr	15
182	IAmTheWalrus910	15
182	CalebDHawk	15
182	mawileite	15
182	Skippeh	15
182	h2p_emrld	15
193	FirsTimeGamingTV	14
193	ProfessorBee	14
193	Hoshi	14
193	jillian12345	14
193	natajimi	14
193	_Bguette_	14
193	chipklip	14
193	Cocoamallows	14
193	ayamefag	14
193	sebastiensaborio	14
203	Matemaks2137	13
203	AuroraValkyrie	13
203	jimbo61101jr	13
203	Comma__	13
203	Motsaro	13
203	Xalithia	13
203	Jackattack53	13
203	Zythose	13
203	FishyBoy3811	13
203	LexMakesHistory	13
213	livingdaydreams	12
213	Tmb1	12
213	XboxPanda	12
213	sxc_	12
213	bpmm	12
213	DarlaMeow	12
213	yatsuta	12
213	Kyrum2169	12
213	_TCARREIRA_	12
213	Powowowow	12
223	Flores991	11
223	YungJakobo	11
223	MrExplorer	11
223	eclipseboi	11
223	Jokerman369	11
223	King_Pancake1	11
223	LilyNova	11
223	seramalen	11
223	Steven1282598	11
223	PortlyPete69	11
223	laron58	11
223	anbbang	11
235	Swexti	10
235	wiqor	10
235	Skomo	10
235	Drewen24	10
235	Tap2304	10
235	izzybearh	10
235	EtherealEspresso	10
235	SSytex_X	10
235	Luigipunch989	10
235	BreadBacon	10
235	jnp_gaming	10
246	Minimize501	9
