rank	username	minecraft:mined/minecraft:azure_bluet
1	500am	485
2	Winklepicker279	383
3	TheShyPig	369
4	Mahoose	261
5	Di_infiri	240
6	EMC_	226
7	Rasmanden	186
8	YungMaki	183
9	Steelynan	149
10	Fullut	144
11	Hyp3rion_	139
11	lordpipe	139
13	__tomato	136
13	Njensen7	136
15	Lord_Jord	132
16	beeperbeeper5	127
17	pintsizedrogue	122
18	Blackberry1310	120
19	El_Jalapeno	116
20	epiksk8erduck	115
21	Jiminie	114
21	LordSpeed37	114
23	Skylord_Luke	107
23	lcvezra	107
25	Kakolbus	102
26	EveryonesUncle	98
27	orxngejuice	96
28	Rumpletaezer	95
29	SuperPooch06	92
29	DarlaMeow	92
31	_k2x	86
32	Onennon	84
33	PeteO1995	83
34	cedric72	82
35	kekhon	79
36	Freak_Genius	77
37	Legendosh	75
38	EcksDofficial	71
39	pappaberg	67
39	jnp_gaming	67
41	BlancoFlaco	60
42	claivin	59
43	SaucyDark	58
44	eitanzaki	57
44	HellsSponge	57
46	Avrelion	55
46	Lutres_Torane	55
46	SammiWolfGirl	55
49	IAmTheWalrus910	54
49	djancak	54
51	Merv__	53
52	CoffeeNoir	52
52	TheSecondLord	52
54	AuroraValkyrie	51
55	Smoke____	50
56	breadbowlgamer	48
57	CollinMH06	47
58	_TCARREIRA_	46
59	Wolf_Mauler_73	45
59	xxPipperDipperxx	45
59	Deathkob	45
62	RobotMinion101	44
63	wezzzi	43
63	RedcatVII	43
65	Reamdin	42
65	joethahobo	42
65	Snowflowe	42
65	ApophisNova	42
65	MyNamaSheff	42
70	Xclax101	41
70	PortlyPete69	41
72	ImpavidArcher	40
73	titanlax	37
73	_zzoe	37
75	The_slideV3	36
76	thescout7	35
76	M_Patata	35
76	Marbz_	35
76	chipklip	35
76	Racengan	35
76	MasterNueve	35
76	GlitchyPlate810	35
83	AnnieBathory	32
83	diggydog67	32
85	Bandito_Roamer	31
85	m_be9	31
85	Akoot_	31
85	MyNameIsDakar	31
89	Kubelz	30
89	_Boipl_	30
89	Werbe	30
89	pixelviolin	30
93	Bumpy419	29
94	Windo_licker	28
94	MyNameIsJobo	28
94	TrollerYT	28
97	MSK__	26
97	PlasticOtari	26
99	Arceus1975	25
99	Frozil12	25
99	Kowcio_	25
102	CompAir	24
102	_Dean_123	24
102	toetagnyc	24
102	RodSerlingCringe	24
102	sufjanlover	24
102	Lirael42	24
102	The_SlideV5	24
109	teslawolf38	23
109	Malorn_Aetherius	23
109	slkiey	23
109	FishyBoy3811	23
109	Blaiku	23
109	oxfordschool	23
115	Dragonfest	22
115	Chromary	22
115	NormanFetus	22
115	Barlycorn	22
115	Warlord324	22
115	monky_irl	22
115	Mistruth	22
122	surfinggiraffejp	21
122	noam464	21
122	0nly_sn1per	21
122	Fast_Turtle	21
126	NoxxxxiS	20
126	AJplaysMC_	20
126	thewindmillman	20
126	tobinwilliams	20
126	TheSeismicDuck	20
126	Spacewardharpy7	20
126	ReyTheLegend	20
126	stellarjay	20
134	seanitoo	19
134	ItsAki_	19
134	Inbefour	19
134	MovingFish7	19
138	6king6colt6	18
138	RebelAndroid	18
138	12Magner05	18
138	StanceTB	18
138	TheDiamondCG	18
138	Awyrlas	18
138	Fuhrer_Teemo	18
138	gaming4Naming	18
146	RatatJuice	17
146	Roosje69	17
146	the_russell1611	17
146	DanTheBuilderino	17
150	Ssor69	16
150	ATrojansLegend	16
150	The11thDoctor	16
150	LilLizardWizard	16
150	wobn	16
150	CalebDHawk	16
