rank	username	minecraft:mined/minecraft:furnace
1	noam464	2178
2	lordpipe	1773
3	MOSS000	1119
4	HellsSponge	1052
5	fffMike	413
6	Snowflowe	399
7	pintsizedrogue	394
8	Yamdalorian	384
9	obzii	383
10	NameGenerat0r	332
11	mwrty	327
12	Di_infiri	319
13	eitanzaki	315
14	PlasticOtari	284
15	Jimb0nat0r	248
16	Mr_Byzantine	244
16	Hyp3rion_	244
18	Kakolbus	233
19	Lord_Jord	230
20	Jovaphobic	225
21	Fullut	222
22	Gregward_Smith	214
23	Legendosh	203
24	rarrq	180
25	12Magner05	179
26	PigDab	176
26	sp00ky_ghost977	176
28	Lez_	170
28	Kowcio_	170
30	TheShyPig	169
30	Ezekson	169
32	Deathkob	164
33	kekhon	163
34	TheSecondLord	157
35	Akoot_	156
35	Enderxz3	156
37	Blaiku	150
38	pixelviolin	143
39	MyNameIsJobo	141
40	Blackberry1310	137
41	Studio4x32	130
42	Eraxa	129
43	Frozil20	127
44	Bumpy419	121
45	Iamthejo	115
46	Nicserso	113
47	FreakGenius	110
48	Blu3beast	106
49	diamondgolem35	105
49	Jonafrog99	105
51	QuiCreans	104
51	Jackattack53	104
51	Spaghettatron	104
54	Skippeh	103
55	yheece	102
55	cedric72	102
57	El_Jalapeno	101
58	Spacewardharpy7	100
59	_Huge_Male_	98
59	Mahoose	98
59	craaaash	98
62	Vanni9	96
63	ImpavidArcher	94
63	MattieHD	94
63	WyngGoy	94
63	SSytex_X	94
63	MilleGrug	94
68	Steelynan	93
69	Wooptey	92
69	Historical_Sand	92
69	royal_2	92
69	IamCL4SSY	92
69	MakeHistory157	92
74	_Karmaa	88
75	Segotep999	87
76	NinjaKnifeKill	86
76	Secret_Canary	86
78	TheDankPlatypus	85
79	robertsnose	84
79	m_be9	84
79	wezzzi	84
82	thescout7	83
82	Werbe	83
84	thewindmillman	82
84	Hiryu27	82
86	Saucepeh	81
86	luseis	81
88	Caribouse	78
88	eviltunix	78
88	Zythose	78
88	Spenduh	78
92	non089	76
93	miramyu	74
94	NatalieTW	73
94	Comma__	73
94	oscminus	73
97	XboxPanda	72
97	jnp_gaming	72
99	ApophisNova	71
99	MyNamaSheff	71
101	King_Pancake1	70
101	EveryonesUncle	70
103	BadenOnGod	68
103	Syropatathe	68
105	teslawolf38	67
105	EngagedGrub41	67
107	ROY4LE	65
108	RatatJuice	64
108	beeperbeeper5	64
108	TechnoNinja64	64
111	Stiar	63
112	ShedJr_	62
112	layabout100	62
114	John6970	61
115	Merv__	60
115	shineh10	60
115	Jackster03	60
115	Lutres_	60
115	Xclax101	60
115	Gus2005	60
115	EcksD	60
122	500am	59
122	Krowuss	59
122	radioactv_jelly	59
122	vandmanden	59
126	Awyrlas	58
126	doublemaki	58
128	kalzor	56
129	Kubelz	55
129	MAns_44	55
129	Quotary	55
132	U_Mos_	54
132	claivin	54
134	yuuxxii	53
134	DemTechAlpha	53
136	Arceus1975	52
136	Racengan	52
136	Sheldor097	52
139	yulgur1	51
139	TheSandwhich_	51
141	CLG_Kata	50
141	powercas_gamer	50
141	EMC_	50
141	Dreamdbr14	50
145	Deerfoot	49
146	Bandito_Roamer	48
146	himak1	48
146	Inchef	48
146	MustaLoordi	48
146	Kferno	48
151	Euclidoris	47
151	Cruncy_	47
151	fkGrim	47
151	Vorlice	47
151	bndo	47
151	hermmm_	47
157	dopplexd	46
157	LexMakesHistory	46
157	Shin69	46
157	djancak	46
161	301851	45
161	BobDeBouwer1337	45
161	SellyZ	45
161	Rumpletaezer	45
165	Alteriity	44
165	MightyWertu	44
165	Soplight	44
168	_Dean_123	43
168	__tomato	43
170	Nach0Bear	42
170	xzvu	42
170	11Brewer	42
173	censorsheep	41
173	Burge_r	41
173	TheWickedBird	41
176	Ze1ig	40
176	Huwulling	40
176	titanlax	40
176	Cryptacity	40
176	weabis	40
176	PortlyPete69	40
176	UltraZombie	40
183	gcaisawesome	39
183	Manaateee	39
183	Buuck_	39
183	OG_Songsee	39
183	_i_ERROR_i_	39
183	bitsplease	39
189	TheBiggestFeller	38
189	k_ce	38
189	TooManyDuck	38
189	jacxhadow	38
189	set67	38
189	milltesco	38
189	Optiprimus	38
189	SvenskaHugo	38
197	ECstardust	37
197	RebelAndroid	37
197	joethahobo	37
197	Swexti	37
197	Rebytre	37
197	2blox_	37
203	6king6colt6	36
203	Incinere	36
203	Hoid_the_Roamer	36
203	blackeemperor	36
203	mihimihimihi	36
203	Luigipunch989	36
203	Kubeusz2010	36
210	soundad	35
210	Hpdinosaur	35
210	Xalithia	35
210	WET_WET_WET	35
210	Mattesco	35
210	AlphaWolfPlaysMC	35
210	Jiminbub	35
210	_flud	35
210	Airem_Core	35
219	SkateboardR6	34
219	MC_Skribble	34
219	Njensen7	34
222	Crowman1	33
222	catandmoose	33
222	prizm_	33
222	FishyBoy3811	33
222	_k2x	33
222	Warlord324	33
222	00000000-0000-0000-0009-01ff0c3e5e4f	33
229	SpartanNamor	32
229	T045RTY	32
229	FirsTimeGamingTV	32
229	drunkeeez	32
229	trixterrx	32
229	Onennon	32
229	Inbefour	32
229	brofrickcheaters	32
237	Franco093	31
237	Tyrannosplart	31
237	The_slideV3	31
237	Toriankel	31
237	yyatsuta	31
242	Literally_Rat	30
242	Myszoaz	30
242	2Stout	30
242	burbankbuilder28	30
242	RobotMinion101	30
242	Truckoss	30
242	ClemenPine	30
242	NormanFetus	30
242	Gryglu583	30
242	Hisiste	30
242	Factoroni	30
242	TheDumbHuman	30
242	ConnorDanky_	30
242	DkansK	30
256	Touched_Bread	29
256	LovableFemboy	29
256	F_Uhre	29
256	Groundler	29
256	Decaying_Lotus	29
256	voiding_	29
256	starbits140	29
256	DennyKai	29
264	q_wq	28
264	_witch_craft_	28
264	NoChumpChange	28
264	Fuhrer_Teemo	28
264	shrimp_flips	28
264	SUN_DREAM	28
264	IvarEXE	28
264	Nekomin0	28
272	NotMyLucKMC	27
272	Tolhart	27
272	Flores991	27
272	Reamdin	27
272	Vizzoid	27
272	GingerNeutron	27
272	hcb238	27
272	DisgruntledKoala	27
272	Winklepicker279	27
272	PaperCanvas	27
282	Ssor69	26
282	Zaridey	26
282	pappaberg	26
282	emreknugrlu	26
282	CornOnTheCobalt	26
282	07shiny	26
282	Pumpkin_P_Patch	26
282	_3Stump_	26
290	Valoth	25
290	xxPipperDipperxx	25
290	BlueZabu	25
290	Freeman666	25
290	SuperPooch06	25
290	zToasty69z	25
290	XxCookiequeenxX	25
290	Matorz	25
298	PhantomsGhost_	24
298	Ryan_GEMS	24
298	jimbo61101jr	24
