rank	username	minecraft:mined/minecraft:dark_oak_door
1	RatatJuice	108
2	FreakGenius	82
3	pintsizedrogue	53
4	Ezekson	42
5	kekhon	36
6	Megarboh	29
7	EveryonesUncle	28
8	beeperbeeper5	25
8	Eraza	25
10	Lez_	24
10	burbankbuilder28	24
12	joethahobo	22
13	k_ce	21
13	NieToksikpl	21
15	shadowthemonkey	20
16	Skylord_Luke	19
17	EMC_	18
17	Prismyst	18
17	LeauVox4921	18
17	HesDemonPants	18
21	500am	17
21	Sorry_Arey	17
23	PaperCanvas	16
23	Manaateee	16
23	StinkyDiplomat	16
26	Mr_Byzantine	15
26	djancak	15
26	tsitrawhy	15
29	Smashic	14
29	xolstoi	14
31	PlasticOtari	13
32	CLG_Kata	12
32	_stets	12
32	Archsam	12
32	Lord_Jord	12
32	UCP_TheKingK	12
32	Kubeusz2010	12
38	xxPipperDipperxx	11
38	seramalen	11
38	luseis	11
41	Napoleonpancake	10
41	Merv__	10
41	teslawolf38	10
41	Nicky_H225	10
41	imcombxt	10
41	CharlieButt	10
41	Lord_Zacler	10
48	MuffinManzz	9
48	diamondgolem35	9
48	_Razaria	9
48	bearlystraight	9
48	KingMatthew506	9
53	ShedJr_	8
53	Ssor69	8
53	Fullut	8
53	olliebollie48	8
53	TheDankPlatypus	8
53	Arceus1975	8
53	Mattesco	8
53	Druid95	8
61	Blackberry1310	7
61	KliBeast21	7
61	LexMakesHistory	7
61	CattSoup	7
61	Legendosh	7
66	KarlKaek	6
66	Ryan_GEMS	6
66	Prodiginus	6
66	Chromary	6
66	KeruNatsema	6
66	iSammael	6
66	Enderxz3	6
73	lorywithay	5
73	Mahoose	5
73	PegLegPete93	5
73	2Stout	5
73	purpolepickle	5
73	prizm_	5
73	hanaryheatwave	5
73	Rebytre	5
73	Moofyman	5
73	Y_A_N_N_I	5
73	SvenskaHugo	5
73	YungMaki	5
73	2blox_	5
86	Frozil20	4
86	DinoDoctor_	4
86	ImpavidArcher	4
86	UncreativeArtist	4
86	Nach0Bear	4
86	lorpus	4
86	DarkS0L	4
86	Dakar_	4
86	weabis	4
86	Optiprimus	4
86	Kowcio_	4
86	Biites	4
98	Alteriity	3
98	PhantomBionic	3
98	Miroryk	3
98	Crowman1	3
98	Auseawesome	3
98	MinttyFressh	3
98	Touched_Bread	3
98	benediktine1	3
98	yheece	3
98	Zythose	3
98	Reneedium	3
98	halfwayup	3
98	LeonelSalamanca	3
98	MightyWertu	3
98	Yahir091	3
98	Ze_BaronKrigler	3
98	_Mythic____	3
98	Soplight	3
98	Nekomin0	3
98	fffMike	3
98	Jimb0nat0r	3
119	Hpdinosaur	2
119	tuckerdoodle	2
119	SyntheticSurgeon	2
119	ZaneABrain	2
119	Huwulling	2
119	titanlax	2
119	ZigzagLily43042	2
119	TheSecondLord	2
119	ItsHydroMC	2
119	jacxhadow	2
119	gcaisawesome	2
119	ZeroAbyssTTV	2
119	SuperPooch06	2
119	LAVA129	2
119	Blaiku	2
119	Toriankel	2
119	SkateboardR6	2
119	Eraxa	2
119	_i_ERROR_i_	2
119	ConnorDanky_	2
119	trexgb	2
140	Sleek_Storm_721	1
140	CoffeeNoir	1
140	ITDV	1
140	Da_Boss_Rani	1
140	musique99	1
140	CliffEmAll	1
140	SteveCraftBlocks	1
140	Awyrlas	1
140	CollinMH06	1
140	Krowuss	1
140	d4mndaniel2	1
140	Werbe	1
140	Sharkbyte0	1
140	Onennon	1
140	Mr_Sun15	1
140	Jimi7hits	1
140	groofles	1
140	Quaintster	1
140	Lunkuku	1
140	monky_irl	1
140	pixelviolin	1
140	MineMaster0012	1
140	starbits140	1
140	Njensen7	1
140	TheOuterCore	1
140	MirielThePastor	1
140	Jordan_R	1
140	AdmiralSmoke	1
140	_Dri_	1
140	00000000-0000-0000-0009-01f9013b764e	1
