rank	username	minecraft:mined/minecraft:spruce_sign
1	beeperbeeper5	159
2	Mahoose	86
3	joethahobo	80
4	ROY4LE	78
5	EcksDofficial	72
6	HellsSponge	70
7	Soplight	63
8	Blackberry1310	54
9	Eraxa	53
10	kekhon	50
11	m_be9	48
12	Arceus1975	41
13	TechnoNinja64	35
14	lordpipe	33
15	set67	32
15	thescout7	32
15	Chromary	32
18	Di_infiri	30
18	TheShyPig	30
20	__tomato	29
21	Jackattack53	26
22	TheSecondLord	24
22	_Boipl_	24
22	Skippeh	24
25	pixelviolin	23
26	Dedalus36	22
26	eitanzaki	22
26	Smoke____	22
29	noam464	21
30	ImpavidArcher	19
30	Fullut	19
30	Ezekson	19
30	PlasticOtari	19
34	KarlKaek	18
34	rarrq	18
34	Blu3beast	18
37	pintsizedrogue	17
38	Merv__	16
38	_Dean_123	16
38	Skylord_Luke	16
41	Jackster03	15
41	Hyp3rion_	15
41	Enderslayerxz3	15
41	Legendosh	15
45	Kakolbus	14
45	obzii	14
45	anbbang	14
48	stahouo	13
48	sebastiensaborio	13
50	12Magner05	12
50	gabriels543	12
50	chipklip	12
53	BlancoFlaco	11
53	selectrix	11
53	DarlaMeow	11
53	Freak_Genius	11
53	lcvezra	11
58	Groovy_MoonBird	10
58	ProfessorBee	10
58	Windo_licker	10
58	Onennon	10
58	Sky_light_KING	10
58	Akoot_	10
58	NomadicRobin_	10
58	claivin	10
58	ewpunk	10
67	UncleDanDan	9
67	thgrocks	9
67	IAmTheWalrus910	9
70	6king6colt6	8
70	Wooptey	8
70	CoffeeNoir	8
70	H72l9w	8
70	Ssor69	8
70	500am	8
70	Frozil12	8
70	Ze_BaronKrigler	8
70	YungMaki	8
70	BlankityMcBlank	8
70	Spenduh	8
70	Powowowow	8
70	Teebone15	8
83	Incinere	7
83	LotusProject	7
83	Inchef	7
83	SuperPooch06	7
83	EveryonesUncle	7
83	rotten_mango	7
83	Racengan	7
83	jcool7	7
83	HesDemonPants	7
83	Zoeyfortnite	7
93	Yatitay	6
93	diamondgolem35	6
93	fr0stss	6
93	Historical_Sand	6
93	titanlax	6
93	PeteO1995	6
93	fr_ser	6
93	Rumpletaezer	6
93	Maenara	6
93	Deathkob	6
93	MovingFish7	6
93	LetsDoItLive	6
93	_TCARREIRA_	6
93	Winston_Ingram	6
93	Nicserso	6
93	kinas45y5	6
109	roxycherry	5
109	xxPipperDipperxx	5
109	Werbe	5
109	CruncyIsTaken	5
109	KartivGal	5
109	PigDab	5
109	Dragonlfw	5
109	ILoveCarrot	5
109	Negriuke	5
109	natajimi	5
109	AssEatrAndLicker	5
109	Blaiku	5
109	robotemo	5
109	Kowcio_	5
109	Sheldor097	5
109	Hermanni__	5
109	VentiHilton	5
109	MeetTheWollo	5
127	Paint	4
127	Drlzyy	4
127	Natty	4
127	SpaceGrenadier	4
127	SDMNAEK	4
127	Cryptacity	4
127	Cambo5000	4
127	Xalithia	4
127	Paintz	4
127	DermeinUser	4
127	fallingemma	4
127	RodSerlingCringe	4
127	Jiminbub	4
127	_Bguette_	4
127	Meatlaugh	4
127	NameGenerat0r	4
127	DanTheBuilderino	4
127	MangoSalad316	4
127	Spacewardharpy7	4
127	Razzgriz	4
127	SammiWolfGirl	4
148	Jovaphobic	3
148	CueMix	3
148	Flores991	3
148	MSK__	3
148	Swexti	3
148	Malorn_Aetherius	3
148	Guillemet	3
148	UncreativeArtist	3
148	orxngejuice	3
148	RocketRidge	3
148	MyNameIsJobo	3
148	CrateOfBoxes	3
148	ooga47	3
148	fred870d	3
148	FishyBoy3811	3
148	yulgur1	3
148	audiocracked	3
148	Xclax101	3
148	Bloo2406	3
148	fluddd	3
148	Warlord324	3
148	cytotoxaint	3
148	Dusk_95	3
148	NebulousBadger	3
148	Optiprimus	3
148	Kiki_Majiki	3
148	jnp_gaming	3
175	PhantomsGhost_	2
175	soundad	2
175	jspwn	2
175	Lukeee33	2
175	Hpdinosaur	2
175	ShedJr_	2
175	bloodbiter	2
175	zorin123	2
175	SteveCraftBlocks	2
175	redikul	2
175	BreadFruggis	2
175	IforgotCS_Source	2
175	Septemb3r	2
175	theonlymagikarp	2
175	XboxPanda	2
175	Orcus113	2
175	__Fanda__	2
175	Ristebraaten	2
175	vampgey	2
175	thewindmillman	2
175	Snowflowe	2
175	burbankbuilder28	2
175	killmeiamtraitor	2
175	ApophisNova	2
175	RobotMinion101	2
175	Truckoss	2
175	xo_Marren_xo	2
175	420BreadLizard	2
175	jambvds	2
175	The_Quack_Dealer	2
175	Karbl	2
175	Quincannon	2
175	Quaintster	2
175	MAns_44	2
175	FlashMigma	2
175	NotMeowMix	2
175	Omar_Alone	2
175	CSG_Haru	2
175	Ripzch	2
175	PortlyPete69	2
175	CalebDHawk	2
175	Njensen7	2
175	ZeroKraken	2
175	oxfordschool	2
175	EcksD	2
175	MyNamaSheff	2
175	Serval2000	2
175	h2p_emrld	2
223	_NieToksikpl_	1
223	JEWISHBadenBeele	1
223	_stets	1
223	squigglybones	1
223	ItsColin11	1
223	hollowww	1
223	Ilinca_Io	1
223	Tommhh	1
223	Sleek_Storm_721	1
223	chimpmunker	1
223	MikeIsSalty	1
223	rachcl	1
223	JingleLizi	1
223	Tolhart	1
223	Vynser	1
223	1dss	1
223	RebelAndroid	1
223	Franco093	1
223	T045RTY	1
223	Base_Tempest	1
223	KomputerDude	1
223	Reamdin	1
223	awesomeoneme	1
223	Barjas	1
223	Arteriana	1
223	MOSS000	1
223	Myszoaz	1
223	FS0L0	1
223	gaziter10	1
223	ChampPog_	1
223	LoboTheLobster	1
223	dopplexd	1
223	Frxnkz	1
223	shdesolt	1
223	Comma__	1
223	jushykins	1
223	Nicky_H225	1
223	SirMinza	1
223	shyshyannne	1
223	CyrusIsTired	1
223	potato292	1
223	Kkanot	1
223	switchNat	1
223	Nach0Bear	1
223	mwrty	1
223	NotMeanttoChange	1
223	r123moore	1
223	NoxxxxiS	1
223	Covalents	1
223	ColdPath	1
223	Avrelion	1
223	celerey_eater_95	1
223	CaptainSteve345	1
223	Winklepicker279	1
223	TakeThis2UrGrave	1
223	SlayerCrypto	1
223	whoaluv	1
223	Armattillo	1
223	Zythose	1
223	andy_rex	1
223	MangoTheFish	1
223	Blue9390	1
223	regulator75	1
223	Bumpy419	1
223	Judah_Ra	1
223	seramalen	1
223	738b4f65-6cbd-4ead-ba31-c14211abfb06	1
223	HyperCave	1
223	Vetral1	1
223	theofiel	1
223	TheTrueClipse	1
223	AlphaWolfPlaysMC	1
223	Wowful	1
223	ogoa	1
223	Joestra	1
223	ese_wn_po	1
223	lillips	1
223	Babushka0430	1
