rank	username	minecraft:mined/minecraft:spruce_sign
1	beeperbeeper5	157
2	Mahoose	85
3	joethahobo	80
4	ROY4LE	78
5	EcksDofficial	72
6	HellsSponge	70
7	Soplight	63
8	Blackberry1310	54
9	Eraxa	53
10	kekhon	50
11	m_be9	48
12	Arceus1975	39
13	TechnoNinja64	35
14	lordpipe	33
15	set67	32
15	thescout7	32
15	Chromary	32
18	Di_infiri	30
18	TheShyPig	30
20	__tomato	29
21	TheSecondLord	24
21	_Boipl_	24
21	Skippeh	24
24	Dedalus36	22
24	eitanzaki	22
24	pixelviolin	22
24	Smoke____	22
28	noam464	21
29	ImpavidArcher	19
29	Fullut	19
29	Ezekson	19
32	KarlKaek	18
32	rarrq	18
32	Blu3beast	18
35	Merv__	16
35	_Dean_123	16
37	pintsizedrogue	15
37	Jackster03	15
37	Hyp3rion_	15
37	Enderslayerxz3	15
37	Legendosh	15
42	Kakolbus	14
42	Jackattack53	14
42	obzii	14
42	anbbang	14
46	Skylord_Luke	13
46	stahouo	13
46	sebastiensaborio	13
49	12Magner05	12
49	gabriels543	12
49	chipklip	12
52	BlancoFlaco	11
52	selectrix	11
52	DarlaMeow	11
52	Freak_Genius	11
52	lcvezra	11
57	Groovy_MoonBird	10
57	ProfessorBee	10
57	Windo_licker	10
57	Onennon	10
57	OtariCharlie	10
57	Sky_light_KING	10
57	Akoot_	10
57	NomadicRobin_	10
57	claivin	10
57	ewpunk	10
67	UncleDanDan	9
67	thgrocks	9
67	IAmTheWalrus910	9
70	6king6colt6	8
70	Wooptey	8
70	CoffeeNoir	8
70	H72l9w	8
70	Ssor69	8
70	500am	8
70	Frozil12	8
70	Ze_BaronKrigler	8
70	YungMaki	8
70	BlankityMcBlank	8
70	Spenduh	8
70	Powowowow	8
70	Teebone15	8
83	Incinere	7
83	LotusProject	7
83	Inchef	7
83	SuperPooch06	7
83	EveryonesUncle	7
83	rotten_mango	7
83	Racengan	7
83	jcool7	7
83	HesDemonPants	7
83	Zoeyfortnite	7
93	Yatitay	6
93	diamondgolem35	6
93	fr0stss	6
93	Historical_Sand	6
93	titanlax	6
93	PeteO1995	6
93	fr_ser	6
93	Rumpletaezer	6
93	Maenara	6
93	Deathkob	6
93	MovingFish7	6
93	LetsDoItLive	6
93	_TCARREIRA_	6
93	Winston_Ingram	6
93	Nicserso	6
93	kinas45y5	6
109	roxycherry	5
109	xxPipperDipperxx	5
109	Werbe	5
109	CruncyIsTaken	5
109	KartivGal	5
109	PigDab	5
109	Dragonlfw	5
109	ILoveCarrot	5
109	Negriuke	5
109	natajimi	5
109	AssEatrAndLicker	5
109	Blaiku	5
109	robotemo	5
109	Kowcio_	5
109	Sheldor097	5
109	Hermanni__	5
109	VentiHilton	5
109	MeetTheWollo	5
127	Paint	4
127	Drlzyy	4
127	Natty	4
127	SpaceGrenadier	4
127	SDMNAEK	4
127	Cryptacity	4
127	Cambo5000	4
127	Xalithia	4
127	Paintz	4
127	DermeinUser	4
127	fallingemma	4
127	RodSerlingCringe	4
127	Jiminbub	4
127	_Bguette_	4
127	Meatlaugh	4
127	NameGenerat0r	4
127	DanTheBuilderino	4
127	MangoSalad316	4
127	Razzgriz	4
127	SammiWolfGirl	4
147	Jovaphobic	3
147	CueMix	3
147	Flores991	3
147	MSK__	3
147	Swexti	3
147	Malorn_Aetherius	3
147	Guillemet	3
147	UncreativeArtist	3
147	orxngejuice	3
147	RocketRidge	3
147	MyNameIsJobo	3
147	ooga47	3
147	fred870d	3
147	FishyBoy3811	3
147	yulgur1	3
147	audiocracked	3
147	Xclax101	3
147	Bloo2406	3
147	fluddd	3
147	Warlord324	3
147	cytotoxaint	3
147	Spacewardharpy7	3
147	Dusk_95	3
147	NebulousBadger	3
147	Optiprimus	3
147	Kiki_Majiki	3
147	jnp_gaming	3
174	PhantomsGhost_	2
174	soundad	2
174	jspwn	2
174	Lukeee33	2
174	Hpdinosaur	2
174	ShedJr_	2
174	bloodbiter	2
174	zorin123	2
174	SteveCraftBlocks	2
174	redikul	2
174	BreadFruggis	2
174	IforgotCS_Source	2
174	Septemb3r	2
174	theonlymagikarp	2
174	XboxPanda	2
174	Orcus113	2
174	__Fanda__	2
174	Ristebraaten	2
174	vampgey	2
174	thewindmillman	2
174	Snowflowe	2
174	burbankbuilder28	2
174	killmeiamtraitor	2
174	ApophisNova	2
174	RobotMinion101	2
174	Truckoss	2
174	xo_Marren_xo	2
174	420BreadLizard	2
174	jambvds	2
174	The_Quack_Dealer	2
174	Karbl	2
174	Quincannon	2
174	Quaintster	2
174	FlashMigma	2
174	NotMeowMix	2
174	Omar_Alone	2
174	CSG_Haru	2
174	Ripzch	2
174	PortlyPete69	2
174	CalebDHawk	2
174	Njensen7	2
174	ZeroKraken	2
174	oxfordschool	2
174	EcksD	2
174	MyNamaSheff	2
174	Serval2000	2
174	h2p_emrld	2
221	_NieToksikpl_	1
221	JEWISHBadenBeele	1
221	_stets	1
221	squigglybones	1
221	ItsColin11	1
221	hollowww	1
221	Ilinca_Io	1
221	Tommhh	1
221	Sleek_Storm_721	1
221	chimpmunker	1
221	MikeIsSalty	1
221	rachcl	1
221	JingleLizi	1
221	Tolhart	1
221	Vynser	1
221	1dss	1
221	RebelAndroid	1
221	Franco093	1
221	T045RTY	1
221	Base_Tempest	1
221	KomputerDude	1
221	Reamdin	1
221	awesomeoneme	1
221	Barjas	1
221	Arteriana	1
221	MOSS000	1
221	Myszoaz	1
221	FS0L0	1
221	gaziter10	1
221	LoboTheLobster	1
221	dopplexd	1
221	Frxnkz	1
221	shdesolt	1
221	Comma__	1
221	jushykins	1
221	Nicky_H225	1
221	SirMinza	1
221	shyshyannne	1
221	CyrusIsTired	1
221	potato292	1
221	Kkanot	1
221	switchNat	1
221	Nach0Bear	1
221	mwrty	1
221	NotMeanttoChange	1
221	r123moore	1
221	NoxxxxiS	1
221	Covalents	1
221	ColdPath	1
221	Avrelion	1
221	celerey_eater_95	1
221	CaptainSteve345	1
221	Winklepicker279	1
221	TakeThis2UrGrave	1
221	SlayerCrypto	1
221	whoaluv	1
221	Armattillo	1
221	Zythose	1
221	andy_rex	1
221	MangoTheFish	1
221	Blue9390	1
221	regulator75	1
221	Bumpy419	1
221	Judah_Ra	1
221	seramalen	1
221	iElijah	1
221	HyperCave	1
221	Vetral1	1
221	theofiel	1
221	TheTrueClipse	1
221	AlphaWolfPlaysMC	1
221	Wowful	1
221	ogoa	1
221	Joestra	1
221	ese_wn_po	1
221	lillips	1
221	Babushka0430	1
221	KermitTheKripple	1
221	MyNameIsDakar	1
221	Soap_Bender	1
