rank	username	minecraft:mined/minecraft:waxed_copper_block
1	hanaryheatwave	1297
2	thewindmillman	764
3	Buuck_	581
4	12Magner05	449
5	Spaghettatron	397
6	Mr_Byzantine	369
7	j5ylim	153
8	craaaash	149
9	bl1ss0	146
10	Lez_	131
11	Mattesco	121
12	Caribouse	105
13	Jackattack53	101
14	MyMawgDonaldsGon	83
15	RoskobiOne	53
16	oscminus	46
17	ScootOfBoot	44
18	Soplight	40
19	net_flex	35
20	Nicserso	34
21	TheSecondLord	22
22	CoffeeNoir	21
23	Enderxz3	20
24	Pumpkin_P_Patch	19
25	pintsizedrogue	17
26	PlasticOtari	13
27	TheKingK_	10
27	Eczbek	10
29	MattieHD	9
30	Huwulling	7
30	Touched_Bread	7
32	FreakGenius	6
33	PazinGaming	5
33	500am	5
33	lpinfinity	5
33	Jimb0nat0r	5
37	Manaateee	4
38	nev_s	2
38	Hyp3rion_	2
38	Kowcio_	2
38	doublemaki	2
42	Secret_Canary	1
42	_witch_craft_	1
42	NameGenerat0r	1
42	cutelilreno	1
42	Steelynan	1
42	TheWickedBird	1
