rank	username	minecraft:mined/minecraft:dark_oak_wall_sign
1	Snowflowe	449
2	500am	350
3	beeperbeeper5	300
4	Merv__	164
5	Soplight	144
6	Hyp3rion_	143
7	Fullut	139
8	HellsSponge	138
9	pintsizedrogue	103
10	TheSecondLord	96
11	Eraxa	87
12	Freak_Genius	85
13	CalebDHawk	82
14	Sky_light_KING	80
15	thescout7	75
16	jnp_gaming	74
17	TheShyPig	73
18	Ssor69	71
19	Werbe	70
19	Maenara	70
21	Hiryu27	68
21	EveryonesUncle	68
23	Blackberry1310	67
24	kekhon	63
25	6king6colt6	58
26	Rumpletaezer	48
27	joethahobo	45
28	Steelynan	43
29	eitanzaki	40
29	EcksDofficial	40
31	Historical_Sand	38
31	Ezekson	38
33	Groovy_MoonBird	37
33	ImpavidArcher	37
33	burbankbuilder28	37
33	stahouo	37
37	Di_infiri	34
37	Kyrum2169	34
39	Onennon	32
40	Lord_Jord	31
41	r123moore	29
41	fluddd	29
41	Dusk_95	29
44	TheDankPlatypus	26
44	lordpipe	26
46	SaucyDark	25
46	Skippeh	25
46	Powowowow	25
49	BlankityMcBlank	24
50	rarrq	23
50	Awyrlas	23
50	Avrelion	23
50	Jiminie	23
50	The_slideV3	23
55	Enderslayerxz3	21
56	lillips	20
56	Dreamdbr14	20
58	Akoot_	19
59	Inbefour	18
59	NameGenerat0r	18
59	Legendosh	18
62	noam464	17
63	Mahoose	16
63	MSK__	16
63	set67	16
63	Tjhodskins19	16
63	fr_ser	16
63	Blaiku	16
63	Racengan	16
63	IdeallyGrey	16
71	Smoke____	15
72	m_be9	14
73	12Magner05	13
73	ROY4LE	13
73	Honor555	13
73	Karbl	13
73	TrollerYT	13
78	CliffEmAll	12
78	Ardennes	12
78	SteveCraftBlocks	12
78	xxPipperDipperxx	12
78	Felenov	12
78	dartwaffle	12
78	YungMaki	12
78	_TCARREIRA_	12
86	CompAir	11
86	claivin	11
86	Wanjibon	11
89	bigstankyy	10
89	ShedJr_	10
89	LotusProject	10
89	SuperPooch06	10
89	Spacewardharpy7	10
89	Vellu21	10
89	EcksD	10
96	TildaAndrea	9
96	_Bguette_	9
96	SammiWolfGirl	9
96	h2p_emrld	9
100	Myszoaz	8
100	ChosenBruh	8
100	Rich_Kat	8
100	ProfessorBee	8
