rank	username	minecraft:mined/minecraft:lantern
1	beeperbeeper5	1530
2	EveryonesUncle	1283
3	Freak_Genius	965
4	Mahoose	636
5	diamondgolem35	517
6	kekhon	468
7	500am	438
8	m_be9	410
9	pintsizedrogue	392
10	Airem_Core	309
11	OtariCharlie	306
12	r123moore	269
13	Merv__	267
13	TheShyPig	267
15	Ezekson	246
16	Enderslayerxz3	240
17	sebastiensaborio	235
18	Hiryu27	224
19	HellsSponge	209
20	Smoke____	205
21	EcksDofficial	195
22	KarlKaek	193
22	Prodiginus	193
24	burbankbuilder28	187
25	SkateboardR6	184
26	KingMatthew506	180
27	Xclax101	177
28	Dedalus36	176
28	Blackberry1310	176
30	SaucyDark	168
31	Eraxa	162
32	_Dean_123	152
33	Drlzyy	137
34	Fullut	120
35	RatatJuice	118
36	_stets	117
36	TheSecondLord	117
38	Historical_Sand	115
38	yulgur1	115
40	2Stout	112
41	Legendosh	110
42	CoffeeNoir	107
42	Kakolbus	107
44	PigDab	104
45	RebelAndroid	100
46	Akoot_	98
47	xxPipperDipperxx	97
48	jacxhadow	95
49	Soplight	94
50	Nicserso	89
51	Kubelz	88
52	YungMaki	87
53	Onennon	84
54	ImpavidArcher	83
55	noam464	81
55	Skylord_Luke	81
57	ROY4LE	80
57	Rumpletaezer	80
57	BlankityMcBlank	80
60	fanofbands101	77
60	rarrq	77
62	Dusk_95	76
62	WyngGoy	76
62	SvenskaHugo	76
65	titanlax	75
66	Jackster03	72
66	MysticalKitty139	72
68	Bandito_Roamer	69
68	_Bguette_	69
70	BlancoFlaco	65
71	_Razar	64
71	thescout7	64
73	_TCARREIRA_	63
74	TechnoNinja64	61
75	Racengan	60
75	Kubeusz2010	60
77	Maenara	59
77	jnp_gaming	59
79	Ardennes	56
79	Lord_Jord	56
81	Arceus1975	54
81	Meatlaugh	54
81	Skippeh	54
84	fkGrim	53
84	SammiWolfGirl	53
86	BlueZabu	51
86	lillips	51
86	lcvezra	51
86	oxfordschool	51
90	Inbefour	50
91	Bumpy419	49
91	Sky_light_KING	49
93	Kim_Jong_eel	48
94	UncreativeArtist	46
94	Syropatathe	46
96	Chromary	45
97	Kkanot	44
