rank	username	minecraft:mined/minecraft:cobblestone_wall
1	burbankbuilder28	2718
2	Manaateee	1995
3	TheShyPig	1649
4	Mr_Byzantine	1393
5	El_Jalapeno	1139
6	Frozil20	814
7	Kakolbus	764
8	EveryonesUncle	665
9	Druid95	577
10	noam464	488
11	pintsizedrogue	483
12	beeperbeeper5	482
13	HesDemonPants	465
14	HellsSponge	446
15	Bandito_Roamer	442
16	AdmiralSmoke	390
17	Eraxa	382
18	QueenOfDirt	364
19	PlasticOtari	361
20	Xclax101	353
21	Jackattack53	345
22	Racengan	344
23	Hyp3rion_	341
24	Mahoose	338
25	Airem_Core	326
26	rarrq	303
27	censorsheep	302
28	ApophisNova	288
28	MyNamaSheff	288
30	Shiirazu	280
31	mihimihimihi	277
32	eitanzaki	270
33	Jackster03	261
34	MightyWertu	238
35	Legendosh	225
36	mwrty	222
37	jushykins	220
37	sxc_	220
39	Onennon	219
40	Prodiginus	218
41	EMC_	210
42	Quincannon	205
43	m_be9	202
44	Njensen7	201
45	Maenara	199
45	lcvezra	199
47	Blackberry1310	198
48	__tomato	197
48	Ezekson	197
50	AstreaTSS	193
51	kekhon	176
51	SHAOBADMAN	176
53	thescout7	174
54	4774	171
55	Malorn_Aetherius	168
56	Tommhh	166
57	Lord_Jord	163
57	MovingFish7	163
59	UncreativeArtist	152
59	DanTheBuilderino	152
61	eiC_	150
61	Kowcio_	150
63	jacxhadow	147
63	Enderxz3	147
65	RebelAndroid	146
66	joethahobo	139
67	Spacewardharpy7	134
68	rachcl	133
68	ROY4LE	133
70	LexMakesHistory	132
71	Hyugo	125
71	StinkyDiplomat	125
73	Thaumatarge	123
73	Di_infiri	123
75	500am	120
76	Cowison	119
76	EngagedGrub41	119
78	PigDab	107
79	PortlyPete69	106
80	gilesmcriles	102
81	Soplight	99
82	Merv__	95
82	youhjjhhhjj	95
84	I_Am_Mushkin	91
85	xxPipperDipperxx	90
85	E775	90
87	YungMaki	89
88	Soul_Atreus	87
88	TechnoNinja64	87
90	ItsHydroMC	86
91	LeeMcGee30	85
92	Natty	84
93	CharlieButt	83
94	_Karmaa	82
95	SkateboardR6	80
95	LetsDoItLive	80
95	EcksD	80
98	JETrotter	79
99	SyntheticSurgeon	78
99	Alteriity	78
99	markaus77	78
102	Winklepicker279	77
102	non089	77
104	Fuhrer_Teemo	75
104	pixelviolin	75
106	WYFYoyo	74
107	luseis	73
108	CarryLine	72
109	madderfall	71
109	monolu	71
111	SammiWolfGirl	70
112	diamondgolem35	69
113	TheSecondLord	68
114	Deathkob	67
115	_TCARREIRA_	65
116	MixerDixer	64
117	Eczbek	61
118	JoCoLi	60
119	Mookle96	59
119	Skylord_Luke	59
121	Motsaro	58
121	benediktine1	58
123	impossibleteapot	57
124	Jovaphobic	56
124	Werbe	56
126	xolstoi	54
127	PegLegPete93	53
127	Joestra	53
127	MAns_44	53
127	Sral7	53
131	_Virify_	52
132	Meatlaugh	51
133	PhantomsGhost_	49
134	H72l9w	48
134	oscminus	48
134	Dakar_	48
137	titanlax	47
137	ewpunk	47
139	Rumpletaezer	46
139	wezzzi	46
141	FirsTimeGamingTV	45
142	HollieDaNugget	44
142	Akoot_	44
142	MineMaster0012	44
142	djancak	44
146	Drewen24	43
147	ZeroAbyssTTV	42
147	thewindmillman	42
147	killmeiamtraitor	42
147	mawileite	42
151	Donutt	41
151	Luigipunch989	41
153	__Fanda__	39
153	yatsuta	39
155	JohnPrice	38
156	Ssor69	37
156	CaptainAvenger7	37
158	Arceus1975	36
159	Drawgirl	35
160	spaece	34
160	groofles	34
162	ShedJr_	33
163	NotMeanttoChange	32
163	VentiHilton	32
165	Soap_Bender	31
165	Buuck_	31
165	Sheldor097	31
168	soundad	30
168	Factoroni	30
170	FishyBoy3811	29
170	Fildyr	29
172	ImpavidArcher	28
172	boog4loo	28
172	Steelynan	28
175	j5ylim	27
175	Cryptacity	27
175	Gamergirl420628	27
175	TheWildMateo	27
179	ergoalias	26
179	MattieHD	26
179	Inchef	26
179	fw3xy74	26
179	MakeHistory157	26
184	Louiis123	25
184	NatalieTW	25
184	Historical_Sand	25
184	set67	25
184	fluddd	25
189	Alphanzt99	24
190	Ryan_GEMS	23
190	orxngejuice	23
190	Stiar	23
190	Ze_BaronKrigler	23
190	xzvu	23
190	momis24	23
196	Myszoaz	22
196	Vizzoid	22
196	Crowman1	22
196	MinttyFressh	22
196	GingerNeutron	22
196	LeauVox4921	22
196	F_Uhre	22
196	Lirael42	22
196	SvenskaHugo	22
205	_Huge_Male_	21
205	Stynxy	21
205	slkiey	21
205	FreakGenius	21
209	Ilinca_Io	20
209	DeeDeeThonk	20
