rank	username	minecraft:mined/minecraft:horn_coral_wall_fan
1	Kouridragon	783
2	Legendosh	558
3	ImpavidArcher	262
4	Enderxz3	236
5	pintsizedrogue	211
6	doublemaki	188
7	TheShyPig	181
8	Hyp3rion_	174
9	MilleGrug	138
10	500am	126
11	12Magner05	108
12	noam464	90
13	Nicserso	86
14	AlexxO_o	85
15	Alteriity	79
16	RoskobiOne	78
16	Onennon	78
18	ApophisNova	69
18	MyNamaSheff	69
20	MattieHD	68
21	Lez_	66
21	skroobiez	66
21	luseis	66
24	Merv__	64
25	_Dean_123	63
26	Mahoose	61
27	j5ylim	60
28	Spacewardharpy7	57
29	Di_infiri	54
30	AuroraValkyrie	53
30	Mewar	53
32	Fullut	48
32	lordpipe	48
34	Jackattack53	46
35	livingdaydreams	45
36	thewindmillman	42
37	PazinGaming	40
37	Vetral1	40
39	milltesco	39
40	mihimihimihi	38
41	HellsSponge	34
42	Kura2218	33
43	XxCookiequeenxX	31
44	Blackberry1310	30
45	__tomato	28
46	Vanni9	27
47	craaaash	26
47	Mattesco	26
47	Kowcio_	26
50	SaucyDark	25
50	Marbz_	25
50	Xclax101	25
50	IdeallyGrey	25
54	cytotoxaint	24
55	djancak	23
56	Blu3beast	22
57	Xalithia	21
57	Inbefour	21
57	Manaateee	21
57	_3Stump_	21
61	Kakolbus	20
61	Krowuss	20
61	KingMatthew506	20
61	TheWickedBird	20
65	mymayowasgone	19
66	Jovaphobic	18
66	Ssor69	18
66	Maenara	18
69	Iagoku	17
69	eiC_	17
69	EcksD	17
69	Yamdalorian	17
73	kekhon	16
73	Luigipunch989	16
75	surfinggiraffejp	15
75	Rumpletaezer	15
75	PigDab	15
78	ShedJr_	14
78	_witch_craft_	14
80	dimondking777	13
80	EdGalbraith	13
80	Deathkob	13
80	Druid95	13
80	PlasticOtari	13
80	h2p_emrld	13
86	Archsam	12
86	urbeans	12
86	TheDankPlatypus	12
86	ZoharGoldMine	12
90	eitanzaki	11
90	joethahobo	11
90	bloodbiter	11
90	Rebytre	11
94	_Nat666	10
94	lpinfinity	10
94	Arceus1975	10
94	HolyVenom	10
94	PortlyPete69	10
94	Jimb0nat0r	10
100	r123moore	9
100	EveryonesUncle	9
100	monky_irl	9
100	Powowowow	9
104	oscminus	8
104	aec9	8
104	TheSeismicDuck	8
104	Fuad_R	8
104	Gus2005	8
104	TechnoNinja64	8
