rank	username	minecraft:mined/minecraft:redstone_wall_torch
1	Xclax101	724
2	thescout7	702
3	HellsSponge	361
4	eitanzaki	321
5	AdmiralSmoke	284
6	ProfessorBee	264
7	Eraxa	237
8	noam464	232
9	SteveCraftBlocks	229
10	Di_infiri	207
11	beeperbeeper5	194
12	slkiey	193
13	mihimihimihi	187
14	Jackattack53	184
15	m_be9	161
16	EMC_	144
17	MattieHD	140
18	Soplight	137
19	_Nuf	125
20	YungMaki	124
21	Kakolbus	122
22	Zythose	116
23	thewindmillman	114
23	TechnoNinja64	114
25	EcksD	102
26	burbankbuilder28	98
27	MyNameIsJobo	97
27	Vorlice	97
29	kekhon	93
29	Hyp3rion_	93
31	Ryan_GEMS	87
32	catandmoose	85
33	12Magner05	80
34	T045RTY	79
35	Rainaldus	77
36	jessewegottacook	74
37	Prismyst	73
37	500am	73
37	DanTheBuilderino	73
40	The_Cruncy	71
41	El_Jalapeno	70
42	pintsizedrogue	69
43	Onennon	67
44	PhantomsGhost_	64
44	non089	64
46	Werbe	63
46	MightyWertu	63
48	Frozil20	62
49	Warlord324	60
50	PortlyPete69	56
51	Lez_	54
51	xxPipperDipperxx	54
53	Groundler	50
53	sp00ky_ghost977	50
53	Jimb0nat0r	50
56	masskedman	48
57	SaucyDark	47
57	Racengan	47
59	joethahobo	46
59	HesDemonPants	46
61	FreakGenius	45
61	Segotep999	45
63	Euclidoris	44
63	imcombxt	44
63	Hiryu27	44
66	Ozixar	43
66	Skippeh	43
68	Mattesco	42
69	Akoot_	41
70	pixelviolin	40
71	Ssor69	39
71	ApophisNova	39
71	Ezekson	39
71	MyNamaSheff	39
75	r123moore	38
75	wwwwinnebagoooo	38
75	WyngGoy	38
78	Maenara	37
78	BumbleBeever	37
80	bigstankyy	36
80	Alteriity	36
82	Awyrlas	35
82	kyouma777	35
84	Jovaphobic	34
84	ImpavidArcher	34
84	Deathkob	34
84	_Bguette_	34
88	Rich_Kat	33
88	Manaateee	33
88	Blaiku	33
88	Spacewardharpy7	33
88	__tomato	33
88	EngagedGrub41	33
94	Jimi7hits	32
94	Lord_Jord	32
96	AnnieBathory	31
96	Kouridragon	31
96	cedric72	31
96	Tyrannosplart	31
96	Blu3beast	31
96	OffWithTheirHead	31
96	fffMike	31
103	Franco093	30
103	Arceus1975	30
103	Inbefour	30
103	Fuad_R	30
103	SvenskaHugo	30
108	Apollo_993	29
108	Arteriana	29
108	picardred	29
108	PigDab	29
108	TheSeismicDuck	29
113	Houstonion	28
113	jcool7	28
113	xolstoi	28
116	Historical_Sand	27
116	Barlycorn	27
116	Eczbek	27
116	ConnorDanky_	27
120	diamondgolem35	26
120	domagawha	26
120	audiocracked	26
120	jnp_gaming	26
124	Bumpy419	25
124	RobotMinion101	25
124	07shiny	25
127	_Karmaa	24
128	Secret_Canary	23
128	CrateOfBoxes	23
128	TheShyPig	23
128	Luigipunch989	23
128	alderban107	23
133	soundad	22
133	q_wq	22
133	WET_WET_WET	22
133	Conrad139	22
133	Powowowow	22
133	vandmanden	22
139	ECstardust	21
139	ssleepless	21
139	Tiberonus	21
139	Rasmanden	21
139	_Mythic____	21
139	Spenduh	21
145	Winklepicker279	20
145	The_slideV3	20
145	Kowcio_	20
145	Jordan_R	20
149	RebelAndroid	19
149	Doom_melon	19
149	Snowflowe	19
149	Quotary	19
149	Nicserso	19
154	Inchef	18
154	mariominejedi	18
154	Elastiq	18
157	Mahoose	17
157	Swexti	17
157	rarrq	17
157	SharpDev	17
157	gcaisawesome	17
157	Rumpletaezer	17
157	Hisiste	17
157	lordpipe	17
157	UCP_TheKingK	17
157	SpacesickPrism	17
167	Blackberry1310	16
167	LilyNova	16
167	Skylord_Luke	16
167	StinkyDiplomat	16
167	fluddd	16
167	OfficerAnvil	16
173	_Virify_	15
173	SmashingPump	15
173	FirsTimeGamingTV	15
173	heckface	15
173	Fullut	15
173	Legendosh	15
179	abramgray	14
179	Cowison	14
179	ivorico	14
179	TheSecondLord	14
179	oscminus	14
179	lillips	14
179	NameGenerat0r	14
179	claivin	14
179	Typadopoulos	14
179	MineMaster0012	14
179	SSytex_X	14
179	anbbang	14
179	Enderxz3	14
179	PlasticOtari	14
179	skrongus	14
194	CLG_Kata	13
194	excelsionprime	13
194	eiC_	13
194	kalzor	13
194	stellarjay	13
194	Sral7	13
200	Bandito_Roamer	12
200	Huwulling	12
200	Prodiginus	12
200	CarltheCuck	12
200	luseis	12
200	IAmTheWalrus910	12
200	lcvezra	12
200	AltnumberF4	12
208	Incinere	11
208	H72l9w	11
208	jacxhadow	11
208	eviltunix	11
208	Drewen24	11
208	madderfall	11
208	weabis	11
208	Optiprimus	11
216	Groovy_MoonBird	10
216	MuffinManzz	10
216	Comma__	10
216	Smashic	10
216	Motsaro	10
216	KGTV	10
216	tobinwilliams	10
216	Syropatathe	10
216	sufjanlover	10
216	Lutres_	10
216	Druid95	10
216	CalebDHawk	10
216	Winston_Ingram	10
216	tartanboy	10
230	Sleek_Storm_721	9
230	Tmb1	9
230	Covalents	9
230	SuperPooch06	9
230	Nyxiom_	9
230	IamCL4SSY	9
230	BigCronkin	9
230	obzii	9
230	Moetis	9
230	Steelynan	9
230	Hermanni__	9
241	DepressedCubic	8
241	chimpmunker	8
241	livingdaydreams	8
241	MoistMicrowave	8
241	Eraza	8
241	Hoid_the_Roamer	8
241	MinerDec	8
241	Moofyman	8
241	groofles	8
241	GooseWithin	8
241	handsome_strong	8
241	Karbl	8
241	Fildyr	8
241	SkateboardR6	8
241	BlankityMcBlank	8
241	SammiWolfGirl	8
241	Iamthejo	8
258	ItsGrayWolf	7
258	seanitoo	7
258	Merv__	7
258	nattybears	7
258	Nach0Bear	7
258	ROY4LE	7
258	Paintz	7
258	TheDankPlatypus	7
258	Ripleey	7
258	seramalen	7
258	Skomo	7
258	LeonelSalamanca	7
258	FreddyFart	7
258	NATE_the_HALO	7
258	KingMatthew506	7
258	mobunni	7
258	2blox_	7
275	rats_life	6
275	teslawolf38	6
275	ColeSnyder	6
275	Jackster03	6
275	Aatronix	6
275	NotMeanttoChange	6
275	Mewar	6
275	GreedyFern8581	6
275	pappaberg	6
275	FishyBoy3811	6
275	thgrocks	6
275	JESS_THE_RERE	6
275	AstreaTSS	6
275	BartekB19	6
275	_i_ERROR_i_	6
275	Aryamanee	6
291	AshleeCW	5
291	Ryker	5
291	ActualPatbaf	5
291	InfernalMound	5
291	John6970	5
291	andy_rex	5
291	ooga47	5
291	F_Uhre	5
291	Shiirazu	5
291	AuroraSkies	5
