rank	username	minecraft:mined/minecraft:iron_ore
1	joethahobo	54494
2	gcaisawesome	32464
3	Spacewardharpy7	32216
4	pintsizedrogue	21645
5	Werbe	21498
6	TheShyPig	20706
7	Enderxz3	19780
8	Iamthejo	19401
9	EMC_	18408
10	Di_infiri	17481
11	PigDab	15836
12	HellsSponge	15425
13	Ezekson	14617
14	Yamdalorian	14116
15	12Magner05	13862
16	Kowcio_	13572
17	thewindmillman	13102
18	EcksD	11761
19	doublemaki	11645
20	noam464	9593
21	m_be9	8692
22	EveryonesUncle	8472
23	Blaiku	8328
24	vandmanden	8260
25	RebelAndroid	8028
26	livingdaydreams	7860
27	lordpipe	7676
28	Steelynan	7605
29	Zythose	6997
30	NatalieTW	6878
31	Deathkob	6767
32	Snowflowe	6734
33	HelloIamSora	6527
34	PhantomsGhost_	6176
35	Cowison	6097
36	Skippeh	5915
37	beeperbeeper5	5898
38	BobDeBouwer1337	5886
39	TheSecondLord	5562
40	Blackberry1310	5459
41	Mewar	5237
42	Kakolbus	5163
43	rarrq	5050
44	Fullut	5048
45	Bumpy419	5025
46	MyNameIsJobo	5011
47	Onennon	4947
48	wezzzi	4835
49	500am	4808
50	ApophisNova	4790
50	MyNamaSheff	4790
52	yulgur1	4737
53	Vetral1	4716
54	luseis	4637
55	SuperPooch06	4556
56	sp00ky_ghost977	4362
57	Barlycorn	4349
58	kekhon	4302
58	PlasticOtari	4302
60	Literally_Rat	4255
61	censorsheep	4232
62	T045RTY	4151
63	mwrty	4145
64	Rumpletaezer	4019
65	Hyp3rion_	3858
66	Cocoamallows	3697
67	Franco093	3667
68	PeteO1995	3621
69	Njensen7	3544
70	masskedman	3535
71	_i_ERROR_i_	3457
72	Ecplosive	3433
73	Xclax101	3430
74	corvidpartyfor6	3391
75	6king6colt6	3379
76	Lord_Jord	3334
77	Nicserso	3278
78	TheDankPlatypus	3268
79	MightyWertu	3187
80	Malorn_Aetherius	3180
81	Akoot_	3169
82	royal_2	3102
83	RedcatVII	3021
84	SaucyDark	2958
85	RadarHz	2926
86	SkateboardR6	2912
87	ConnorDanky_	2911
88	taengoos	2838
89	Bandito_Roamer	2827
90	TooManyDuck	2817
91	oscminus	2788
92	Skylord_Luke	2784
93	ROY4LE	2758
94	SammiWolfGirl	2748
95	GoofyBread	2677
96	SingedBread	2637
97	SvenskaHugo	2620
98	ImpavidArcher	2544
99	j5ylim	2541
100	Alteriity	2531
101	Saucepeh	2530
102	AuroraValkyrie	2521
103	TheThomas69	2505
104	TechnoNinja64	2501
105	Mr_Byzantine	2493
106	Zaridey	2492
107	Lutres_	2458
108	Maenara	2450
109	Toriankel	2434
110	Hisiste	2410
111	eviltunix	2403
111	TheSandwhich_	2403
113	Inbefour	2381
114	Mahoose	2369
115	Flores991	2344
116	audiocracked	2342
117	FelixPSY375	2336
118	Caribouse	2330
119	Frozil20	2293
120	Studio4x32	2283
121	PlzNoBM	2281
122	Airem_Core	2271
123	hanaryheatwave	2269
124	Arceus1975	2268
125	TheBananaKat	2239
126	cedric72	2222
127	Jimb0nat0r	2219
128	Windo_licker	2217
129	h2p_emrld	2204
130	eitanzaki	2195
131	_Nuf	2179
132	_TCARREIRA_	2177
133	Legendosh	2167
134	Groundler	2129
135	Kubelz	2108
136	M_Patata	2105
137	thescout7	2101
138	Meatlaugh	2098
139	MyMawgDonaldsGon	2092
140	MattieHD	2079
141	Soplight	2077
142	El_Jalapeno	2046
143	pixelviolin	2032
144	ooga47	2028
145	FreakGenius	2026
146	Tyrannosplart	2020
147	Jackattack53	2018
148	Jovaphobic	2013
149	DTwenty	2007
150	MasterNueve	1998
151	miramyu	1970
152	UncreativeArtist	1962
153	set67	1952
154	Galactic_Badger	1946
155	Groovy_MoonBird	1940
156	starbits140	1934
157	FishyBoy3811	1905
158	_3Stump_	1888
159	WyngGoy	1872
160	CoffeeNoir	1871
161	amkold	1854
162	_MeowMix	1838
