rank	username	minecraft:mined/minecraft:heavy_weighted_pressure_plate
1	thescout7	37
2	joethahobo	30
3	kekhon	22
4	Werbe	16
4	AssEatrAndLicker	16
6	DanTheBuilderino	14
6	YungMaki	14
8	beeperbeeper5	13
8	egglapras	13
8	RobotMinion101	13
11	BlankityMcBlank	11
12	Bandito_Roamer	10
12	Winklepicker279	10
12	TheShyPig	10
15	eitanzaki	9
15	Mahoose	9
15	Factoroni	9
18	500am	8
18	YoshikageBites	8
20	ThePoliteG	7
20	noam464	7
20	Hyp3rion_	7
20	Inbefour	7
20	Nagasaki_Riku	7
20	KingMatthew506	7
26	Freak_Genius	6
26	fluddd	6
26	oxfordschool	6
29	eviltunix	5
29	ROY4LE	5
29	MyNameIsJobo	5
29	fkGrim	5
29	lillips	5
29	Blaiku	5
29	Groundler	5
29	WyngGoy	5
29	sebastiensaborio	5
38	Fullut	4
38	Rumpletaezer	4
38	Onennon	4
38	PigDab	4
38	ogoa	4
38	Jaka_Saurus_715	4
38	censorsheep	4
38	Kyrum2169	4
38	__tomato	4
47	ImpavidArcher	3
47	jimintyy	3
47	T045RTY	3
47	TheThomas69	3
47	DermeinUser	3
47	Arceus1975	3
47	ApophisNova	3
47	TheSeismicDuck	3
47	Blu3beast	3
47	Fildyr	3
47	Nargotah	3
47	MyNamaSheff	3
47	FelixPSY375	3
47	PlasticOtari	3
61	jspwn	2
61	hm947	2
61	ShedJr_	2
61	Historical_Sand	2
61	NanoShot	2
61	Ssor69	2
61	Sparky_KT	2
61	Frxnkz	2
61	Cryptacity	2
61	_Nuf	2
61	Noah_Bez	2
61	benediktine1	2
61	Purplehere	2
61	Jackattack53	2
61	domagawha	2
61	Hoid_the_Roamer	2
61	selectrix	2
61	fred870d	2
61	NYJ	2
61	balin55	2
61	ReyTheLegend	2
61	Soplight	2
61	PlzNoBM	2
61	Hermanni__	2
61	kinas45y5	2
86	KingFaenor	1
86	Sleek_Storm_721	1
86	EkkoTraveler	1
86	ssleepless	1
86	HollieDaNugget	1
86	Rox_The_Box	1
86	301851	1
86	TheSecondLord	1
86	Comma__	1
86	bloodbiter	1
86	12Magner05	1
86	Austine6698	1
86	slkiey	1
86	SellyZ	1
86	Paintz	1
86	arcanemagic	1
86	Zaridey	1
86	SuperPooch06	1
86	Chromary	1
86	epiksk8erduck	1
86	aec9	1
86	Leyna3	1
86	Akoot_	1
86	Lord_Jord	1
86	RoyalDorrr	1
86	Captain_Nasty	1
86	Quincannon	1
86	Quaintster	1
86	MustaLoordi	1
86	Frozil12	1
86	RedcatVII	1
86	Racengan	1
86	sp00ky_ghost977	1
86	Optiprimus	1
86	Spenduh	1
86	lcvezra	1
86	GlitchyPlate810	1
86	ProbsNotNova	1
86	Ir0npack	1
86	EcksD	1
86	_AAZAR	1
86	Lowjinx	1
86	adiccting01	1
86	TechnoNinja64	1
86	JayToe	1
86	Smoke____	1
